#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-2173228.1518091764,300.3337343075512,0
70000,-2173500.7162623014,300.0731859716944,184
80000,-2174584.0365748014,300.54097909009755,184
90000,-2175336.5404810514,298.8739550640679,184
100000,-2170765.6889185514,300.8381715684379,184
110000,-2179343.2514185514,301.05752167308873,184
120000,-2175004.6830591764,300.2323362467598,184
130000,-2173993.9584498014,297.9134489476586,184
140000,-2172904.5697779264,299.8824058411164,184
150000,-2176429.5814966764,299.7924213343178,184
160000,-2175326.9682154264,300.69754797092867,184
170000,-2173723.9838404264,299.8142799953204,184
180000,-2171889.1850123014,298.8397307784559,184
190000,-2174212.7650904264,299.46402929282414,184
200000,-2176142.4408716764,299.0230421618354,184
210000,-2175745.1459498014,301.0888062559446,184
220000,-2175768.7514185514,301.2242845674234,184
230000,-2173311.7201685514,300.0876968181178,184
240000,-2175387.3666529264,298.58766644044516,184
250000,-2173104.8197779264,301.7843103360072,184
260000,-2175109.4076685514,299.51421539713425,184
270000,-2174050.9076685514,300.73743155744336,184
280000,-2174520.6908716764,301.1990146462352,184
290000,-2174287.1420435514,299.6054129992444,183
300000,-2174582.8764185514,300.246593662959,183
310000,-2174501.4564966764,300.2592520316462,183
320000,-2174039.5424341764,298.35117271983125,183
330000,-2177285.5756373014,300.02869717512374,183
340000,-2173802.4682154264,300.2375311054685,183
350000,-2175931.8705591764,300.1358598587725,183
360000,-2176260.6068873014,302.11391270607504,183
370000,-2173116.3666529264,301.8748033955616,183
380000,-2169172.3373560514,300.0769593389593,183
390000,-2174879.2475123014,299.1940655718676,183
400000,-2174430.4115748014,299.66315004577086,183
410000,-2172775.3061060514,300.0837675403525,183
420000,-2177608.4135279264,299.60100346183975,183
430000,-2175134.2377466764,299.2258436553836,183
440000,-2174089.6381373014,300.3308681186718,183
450000,-2175101.2787623014,302.59324847733745,183
460000,-2176521.2045435514,299.77703447627255,183
470000,-2174677.8158716764,299.2601089920961,183
480000,-2175823.5854029264,301.68111711993345,183
490000,-2176312.9291529264,300.08601842124995,183
500000,-2176294.3393091764,300.159195764331,183
510000,-2175431.1498560514,299.58464548308604,183
520000,-2174145.4193873014,298.5772816372047,183
530000,-2173031.1029810514,300.3960935867339,183
540000,-2173637.0326685514,300.09007615200835,183
550000,-2177066.8275904264,299.147397960443,183
560000,-2173975.0443873014,300.90418147142805,183
570000,-2172573.8471216764,300.0620127279566,183
580000,-2174004.9369654264,300.2611597309839,183
590000,-2173351.3119654264,301.3708078778362,183
600000,-2177990.1010279264,298.6107500845344,183
610000,-2173568.2826685514,298.9154822385406,183
620000,-2176787.4486841764,300.3018796686624,183
630000,-2174190.2963404264,300.7795770373412,183
640000,-2170433.9545435514,300.19740814745353,183
650000,-2173848.1830591764,301.5868215258615,183
660000,-2172666.3744654264,300.0629853748796,183
670000,-2173550.3451685514,300.68259315245535,183
680000,-2175066.9936060514,300.9524259226154,183
690000,-2176634.3275904264,300.73382149987935,183
700000,-2174371.7846216764,300.25785590050054,183
710000,-2176488.7299341764,300.4770332389009,183
720000,-2173867.9408716764,299.22288038882914,183
730000,-2177473.0229029264,299.08800854322186,183
740000,-2175267.0736841764,301.58251048197286,183
750000,-2172912.8705591764,299.71397648712514,183
760000,-2174630.3842310514,299.64518298354767,183
770000,-2174496.2768091764,300.1860631612253,183
780000,-2173427.8158716764,300.5502198945411,183
790000,-2172762.9330591764,299.3175513423383,183
800000,-2174504.7357935514,300.0857258172691,183
810000,-2175964.8119654264,299.6397955741809,183
820000,-2172227.6713404264,300.4147840392851,183
830000,-2178017.8529810514,300.22418268619265,183
840000,-2176886.1322779264,300.7618197599701,183
850000,-2169728.6537623014,301.0505659681767,183
860000,-2171532.1674341764,300.0740016079818,183
870000,-2174568.4408716764,300.5610496862439,183
880000,-2174930.3314966764,300.4601129663339,183
890000,-2175265.1732935514,300.03057469904144,183
900000,-2173649.9857935514,299.44036673278464,183
910000,-2175666.6479029264,299.62640036189225,183
920000,-2176177.0072779264,300.4028134382644,183
930000,-2175639.7162623014,300.1233886944242,183
940000,-2173787.0814966764,300.13670387775085,183
950000,-2173715.8393091764,299.12512178555573,183
960000,-2175052.5814966764,300.26132662136246,183
970000,-2174734.4076685514,300.8203485404373,183
980000,-2172792.4525904264,300.398999666929,183
990000,-2175927.7514185514,301.17143948213345,183
1000000,-2174389.0912623014,300.1879690577651,183
1010000,-2173546.8041529264,300.460155225805,183
1020000,-2174441.5600123014,299.1823486434785,183
1030000,-2174508.9838404264,299.74723543216436,183
1040000,-2174478.2162623014,300.2294733279455,183
1050000,-2176464.3256373014,300.3225023383293,183
1060000,-2174943.4682154264,301.546555450166,183
1070000,-2174295.6596216764,300.7498472195843,183
1080000,-2173975.8295435514,300.7622277616586,183
1090000,-2172535.0111841764,301.18427177592616,183
1100000,-2177656.3607935514,298.7986014701027,183
1110000,-2173857.5541529264,300.8281692217024,183
1120000,-2173681.2924341764,300.0376328689128,183
1130000,-2174697.9096216764,300.9806725572049,183
1140000,-2173400.7768091764,300.0225983420765,183
1150000,-2175744.8412623014,298.59789461432285,183
1160000,-2174706.5248560514,301.13461025073394,183
1170000,-2176292.8471216764,299.55518155939956,183
1180000,-2175272.1791529264,301.3436450769931,183
1190000,-2173162.2982935514,299.59550508125267,183
1200000,-2176348.3295435514,300.6292719798145,183
1210000,-2173998.1186060514,301.0819408986142,183
1220000,-2172668.9525904264,298.42311814117187,183
1230000,-2174571.4057154264,299.92174563678515,183
1240000,-2172899.2729029264,299.8223563864297,183
1250000,-2174223.8021998014,301.6267907605066,183
1260000,-2176754.5502466764,299.90135153998494,183
1270000,-2174021.8822779264,299.0173181644598,183
1280000,-2175540.1459498014,300.3822511669422,183
1290000,-2174175.3178248014,299.22428601316267,183
1300000,-2177285.2768091764,300.8705218340692,183
1310000,-2174691.4193873014,299.6797366706499,183
1320000,-2176296.4174341764,301.22357925632787,183
1330000,-2176870.2260279264,300.13541587419377,183
1340000,-2176235.7436060514,300.24359596152783,183
1350000,-2173628.7064966764,300.5259235842528,183
1360000,-2174997.8666529264,298.56653089690883,183
1370000,-2173180.2475123014,300.7611548802238,183
1380000,-2175893.9643091764,299.8181969343689,183
1390000,-2175763.8275904264,300.1392855017235,183
1400000,-2172666.7650904264,300.36394365770104,183
1410000,-2176898.2279810514,301.202434183441,183
1420000,-2173469.1400904264,299.8748719245252,183
1430000,-2176670.4838404264,300.43757317039564,183
1440000,-2175105.5385279264,299.99941574148977,183
1450000,-2175927.3607935514,299.9895400353275,183
1460000,-2174211.9545435514,302.2043723263733,183
1470000,-2175274.6732935514,299.6961496576896,183
1480000,-2174297.7025904264,300.5758469817474,183
1490000,-2174460.2689966764,299.906651374674,183
1500000,-2174360.2748560514,301.30526313540224,183
1510000,-2174103.0072779264,300.0532028083236,183
1520000,-2174448.3510279264,299.6981724806971,183
1530000,-2176633.5385279264,298.9641117498379,183
1540000,-2172621.1947779264,300.24592898378427,183
1550000,-2174230.1381373014,300.32524926321116,183
1560000,-2172452.6342310514,299.6551963529468,183
1570000,-2170674.6264185514,298.602867474029,183
1580000,-2174124.5229029264,299.0072274868977,183
1590000,-2174776.5092310514,300.6033166721487,183
1600000,-2174180.4115748014,299.7934903600014,183
1610000,-2175319.1205591764,298.91315851444756,183
1620000,-2173190.3197779264,299.8655977894675,183
1630000,-2174999.0092310514,300.26703382877935,183
1640000,-2175873.1830591764,300.41817405373934,183
1650000,-2174793.1947779264,300.92022621694,183
1660000,-2174067.4330591764,300.84308439005116,183
1670000,-2177414.7846216764,298.63611986909314,183
1680000,-2171757.7846216764,300.3128959381097,183
1690000,-2174927.4389185514,300.4190258104278,183
1700000,-2178381.8744654264,299.3544236653815,183
1710000,-2176521.7143091764,299.1198654777207,183
1720000,-2174382.6771998014,300.23304720791003,183
1730000,-2175993.7572779264,299.9814907851764,183
1740000,-2173259.2143091764,300.1585770166705,183
1750000,-2175529.8881373014,299.42965864732815,183
1760000,-2175650.6498560514,301.0763732875157,183
1770000,-2177954.1479029264,300.27475916407303,183
1780000,-2177551.7572779264,300.0805632742753,183
1790000,-2170654.6576685514,300.4684689688902,183
1800000,-2172665.7631373014,300.13751263387115,183
1810000,-2174004.9232935514,300.2944156317588,183
1820000,-2176772.4252466764,299.4937894503583,183
1830000,-2173458.3021998014,300.535658315868,183
1840000,-2175010.7904810514,301.82686310060956,183
1850000,-2175070.7240748014,299.7511485216166,183
1860000,-2173921.1830591764,300.09140497815673,183
1870000,-2173703.6850123014,299.3525159953645,183
1880000,-2176692.6576685514,299.6955033941049,183
1890000,-2175430.0873560514,300.92323773073804,183
1900000,-2171868.8471216764,301.60408514436665,183
1910000,-2175743.2104029264,298.8111028378035,183
1920000,-2176178.2982935514,301.1917740661626,183
1930000,-2174137.7338404264,300.008367883524,183
1940000,-2174660.3080591764,300.82881044438085,183
1950000,-2172897.4604029264,300.0281911105697,183
1960000,-2173374.6947779264,300.1627705572719,183
1970000,-2175585.4096216764,300.28583275290435,183
1980000,-2172542.1400904264,300.52218213387016,183
1990000,-2176399.3373560514,300.4590920758634,183
2000000,-2176152.5756373014,299.22359150252544,183
2010000,-2174579.5756373014,298.957324533434,183
2020000,-2173891.2318873014,300.1830569975739,183
2030000,-2175258.8275904264,300.8452272441748,183
2040000,-2174092.5307154264,301.38639335152675,183
2050000,-2173973.5385279264,301.10663503783417,183
2060000,-2173330.7924341764,299.9845616532664,183
2070000,-2176184.5268091764,300.57485292212584,183
2080000,-2175438.3314966764,300.13223233204377,183
2090000,-2176301.7396998014,300.26836437226706,183
2100000,-2172416.6518091764,300.29144950682877,183
