#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-2160812.489495551,301.5901191581451,0
70000,-2159570.514886176,301.1313887202345,186
80000,-2160607.411370551,299.48527877413176,186
90000,-2157932.485589301,300.6466435015402,186
100000,-2159288.540276801,301.06941158614853,187
110000,-2162007.610589301,300.85121366356117,187
120000,-2158558.143792426,301.33927427418405,187
130000,-2160556.391839301,298.0781487019687,187
140000,-2160292.546136176,299.2048837268954,187
150000,-2156632.380120551,302.7630176272678,187
160000,-2160715.962151801,300.8202676330455,187
170000,-2158749.930901801,299.9409819654489,187
180000,-2161188.714104926,301.67261576888234,187
190000,-2159428.089104926,301.16430706706603,187
200000,-2159755.216058051,301.0299108339201,187
210000,-2159981.239495551,301.2760216810129,187
220000,-2161695.612542426,300.493542601887,187
230000,-2160327.278558051,301.7024011197917,187
240000,-2160063.067620551,301.45274900140964,187
250000,-2160650.305901801,299.9594436122971,187
260000,-2156825.493401801,298.34066839655446,187
270000,-2159504.729729926,300.5467104026928,187
280000,-2160105.591058051,300.1417924878253,186
290000,-2158936.151604926,300.03589421220846,186
300000,-2158998.415276801,298.40625558162395,186
310000,-2159604.235589301,300.7213912537077,186
320000,-2160057.690667426,299.64581484054713,186
330000,-2158287.684808051,300.8371388723882,186
340000,-2158210.409417426,301.1013922255509,186
350000,-2161588.909417426,299.5037758203987,186
360000,-2160189.581292426,299.5638920388867,186
370000,-2158917.995354926,299.6393116126909,186
380000,-2159333.944573676,299.7849122706314,186
390000,-2162511.971917426,300.21396142066874,186
400000,-2160154.175042426,300.48802460464935,186
410000,-2161352.762933051,301.31030352021986,186
420000,-2161392.866448676,299.7059371738636,186
430000,-2159753.442620551,301.08752476932887,186
440000,-2160391.469964301,300.36202718541887,186
450000,-2161258.680901801,299.2169091939146,186
460000,-2161344.110589301,299.6096951864989,186
470000,-2161722.926995551,299.711917377658,186
480000,-2159401.100823676,301.31555527554576,186
490000,-2160794.536370551,301.0293243681783,186
500000,-2161245.442620551,299.2065121328073,186
510000,-2159900.087151801,299.69739325697316,186
520000,-2159181.009026801,298.9285988832606,186
530000,-2162350.020745551,300.7924870066685,186
540000,-2158864.161370551,300.99614280227854,186
550000,-2159016.811761176,300.84007911091845,186
560000,-2160451.436761176,299.13756586433647,186
570000,-2160335.702386176,300.6538891036747,186
580000,-2162409.942620551,299.9378085572638,186
590000,-2160366.884026801,301.2368065859334,186
600000,-2161445.663323676,299.83868018588436,186
610000,-2160518.678948676,300.2707579823828,186
620000,-2159592.050042426,299.86584747309087,186
630000,-2159075.577386176,299.35047021449145,186
640000,-2159355.399651801,301.3506275274601,186
650000,-2162670.995354926,300.56969820684816,186
660000,-2161998.143792426,300.9538616468942,186
670000,-2160632.792229926,300.2579925692946,186
680000,-2160046.352776801,300.18299337570244,186
690000,-2158784.495354926,299.5353498427474,186
700000,-2161676.368401801,301.503796251108,186
710000,-2160682.223870551,299.036034452012,186
720000,-2158033.253167426,299.91471110931207,186
730000,-2158456.737542426,299.61037298669976,186
740000,-2161633.346917426,299.69029133323073,186
750000,-2156358.005120551,300.3356109894377,186
760000,-2159177.800042426,299.3205086598028,186
770000,-2157603.721917426,300.23306705308227,186
780000,-2157597.028558051,300.072752709905,186
790000,-2160864.067620551,299.65269002815614,186
800000,-2160188.905511176,300.32499414781995,186
810000,-2159343.589104926,299.3687817195619,186
820000,-2159093.827386176,299.3975072273009,186
830000,-2163635.860589301,300.5202924709204,186
840000,-2160717.651604926,301.2917890073948,186
850000,-2160898.298089301,299.2514340420156,186
860000,-2159869.905511176,300.0517978613673,186
870000,-2160657.403558051,299.71069577646637,186
880000,-2159267.958245551,300.15470555018805,186
890000,-2160379.061761176,300.789806994759,186
900000,-2158787.428948676,299.081275729556,186
910000,-2161958.098870551,300.3765934730568,186
920000,-2162024.089104926,300.04021773998517,186
930000,-2159095.704339301,300.3716126335773,186
940000,-2160056.612542426,300.1127556234228,186
950000,-2160782.895745551,301.0087873056594,186
960000,-2159800.696526801,299.9310413024796,186
970000,-2157927.198479926,300.2418719920154,186
980000,-2158898.848870551,299.0592413210823,186
990000,-2158852.803948676,300.65455138874745,186
1000000,-2161743.411370551,299.60343327375193,186
1010000,-2158260.272698676,300.1167785648884,186
1020000,-2158185.839104926,300.0472647913268,186
1030000,-2160256.632073676,299.80200018212247,186
1040000,-2162435.571526801,299.4089556224119,186
1050000,-2161883.534417426,300.2734521914474,186
1060000,-2160338.913323676,301.1760493786549,186
1070000,-2162163.544183051,299.506647538655,186
1080000,-2158941.050042426,299.78839341802757,186
1090000,-2159720.993401801,301.4308082053772,186
1100000,-2161810.692620551,299.92456694675,186
1110000,-2159584.833245551,300.36355913915037,186
1120000,-2158315.971917426,300.2625813620095,186
1130000,-2161075.936761176,300.5438668669788,186
1140000,-2162452.042229926,299.11477338931263,186
1150000,-2158596.425042426,300.07312783652463,186
1160000,-2158064.620354926,300.74792949996856,186
1170000,-2163620.876214301,299.8574235040022,186
1180000,-2162432.694573676,301.1372949380332,186
1190000,-2160936.354729926,300.16748506812456,186
1200000,-2160924.428948676,301.9604122433979,186
1210000,-2160205.807854926,300.1597979879149,186
1220000,-2160223.321526801,299.4377566690466,186
1230000,-2158858.161370551,299.4842259496508,186
1240000,-2162805.2443783637,299.1991675336728,185
1250000,-2160823.909417426,299.8619937423883,185
1260000,-2162141.372308051,300.2905331093787,185
1270000,-2162462.024651801,300.1204249822251,185
1280000,-2160026.669183051,298.24584659655784,185
1290000,-2161775.272698676,300.84994194751306,185
1300000,-2161859.700433051,299.2477287199222,185
1310000,-2159859.782464301,299.2802009098262,185
1320000,-2162225.792229926,300.0038898128312,185
1330000,-2159320.149651801,301.0693544585508,185
1340000,-2162157.130120551,299.25355610347395,185
1350000,-2160544.139886176,299.9454799740657,185
1360000,-2161595.385979926,299.4159622830258,185
1370000,-2160644.132073676,300.67149571795926,185
1380000,-2161282.825433051,299.2657060247407,185
1390000,-2159752.311761176,300.0562852206058,185
1400000,-2159400.317620551,299.61250535881845,185
1410000,-2162891.921136176,300.59344416855174,185
1420000,-2160592.415276801,300.74236965777015,185
1430000,-2162871.766839301,299.4460145267723,185
1440000,-2158131.288323676,300.51261089993096,185
1450000,-2160411.987542426,300.81098715921536,185
1460000,-2161186.719964301,300.57313268173573,185
1470000,-2160856.444573676,299.7771692286427,185
1480000,-2159585.911370551,300.35969013387114,185
1490000,-2159944.751214301,301.1703494059948,185
1500000,-2160176.106683051,300.5352988750379,185
1510000,-2163010.645745551,299.63239805538007,185
1520000,-2155253.600823676,300.22351258323886,185
1530000,-2160679.288323676,300.9742525791782,185
1540000,-2160254.934808051,299.3942960687662,185
1550000,-2162043.440667426,300.9354946784161,185
1560000,-2161101.227776801,300.40660102595456,185
1570000,-2160884.983636176,300.0375441789609,185
