#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
1.0%,100000,200.00000000022686,-48859934.44779557,7497689.881429474,300.34384330870074,0.9872599595729294,0
1.5%,150000,300.00000000070435,-48852440.367084324,7497074.6010303795,300.31919629306003,0.9872599595729294,2.38
2.0%,200000,400.00000000118183,-48856710.976849556,7500532.1940816,300.457701192839,0.9872599595729294,2.38
2.5%,250000,500.0000000016593,-48855825.31498599,7491406.577288293,300.0921455532209,0.9872599595729294,2.39
3.0%,300000,599.9999999996356,-48847182.222620934,7493931.6105491845,300.1932938010214,0.9872599595729294,2.39
3.5%,350000,699.999999997271,-48846177.31020662,7496126.178040046,300.2812041900918,0.9872599595729294,2.39
4.0%,400000,799.9999999949063,-48860350.46645424,7503529.91550348,300.5777844701223,0.9872599595729294,2.38
4.5%,450000,899.9999999925416,-48852900.62381625,7493193.854380646,300.16374062843255,0.9872599595729294,2.38
5.0%,500000,999.9999999901769,-48843712.49021712,7499211.160916446,300.4047830028051,0.9872599595729294,2.38
5.5%,550000,1099.9999999878123,-48848694.829075485,7496619.772007346,300.30097666821734,0.9872599595729294,2.38
6.0%,600000,1199.9999999854476,-48847453.80659795,7497148.507915913,300.32215686870387,0.9872599595729294,2.38
6.5%,650000,1299.999999983083,-48860074.835968316,7499897.003101238,300.4322565954638,0.9872599595729294,2.43
7.0%,700000,1399.9999999807183,-48862328.47143978,7493059.962947192,300.1583771807112,0.9872599595729294,2.52
7.5%,750000,1499.9999999783536,-48851519.81683326,7498075.3950122455,300.3592862828605,0.9872599595729294,2.6
8.0%,800000,1599.9999999759889,-48857986.321383566,7495529.560861129,300.2573047891652,0.9872599595729294,2.67
8.5%,850000,1699.9999999736242,-48848590.60240555,7498349.821052057,300.37027929174786,0.9872599595729294,2.74
9.0%,900000,1799.9999999712595,-48848050.84153885,7494226.508868713,300.20510689226325,0.9872599595729294,2.8
9.5%,950000,1899.9999999688948,-48852946.79529172,7500197.747076426,300.4443038530576,0.9872599595729294,2.85
10.0%,1000000,1999.9999999665301,-48856455.72316706,7495455.2321044635,300.25432731412974,0.9872599595729294,2.9
10.5%,1050000,2099.9999999641655,-48850882.23751968,7498262.389642685,300.3667769482351,0.9872599595729294,2.95
11.0%,1100000,2199.9999999618008,-48866033.56412867,7494947.649791023,300.233994488256,0.9872599595729294,2.99
11.5%,1150000,2299.999999959436,-48866349.954871446,7503176.316707386,300.56361994437003,0.9872599595729294,3.03
12.0%,1200000,2399.9999999570714,-48859224.03958523,7497073.661975004,300.31915867620665,0.9872599595729294,3.07
