#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-15224553.960630223,299.861676840436,0
150000,-15218234.273130223,300.19240643758775,14.5
200000,-15227873.382505223,299.5295751732221,14.5
250000,-15228527.445005223,300.5863311068656,14.5
300000,-15229782.038755223,300.08104981372105,14.4
350000,-15225955.054380223,300.4761082394883,14.4
400000,-15219175.320005223,300.24302505969985,14.4
450000,-15226298.038755223,300.1597223199829,14.4
500000,-15220764.773130223,300.1792641018232,14.4
550000,-15227139.398130223,300.75801832246987,14.4
600000,-15226049.945005223,300.86397593846067,14.4
650000,-15223138.273130223,300.20630307588345,14.4
700000,-15228682.085630223,300.00154730092765,14.4
750000,-15226209.945005223,300.0880774403336,14.4
800000,-15222407.304380223,299.84274500656727,14.4
850000,-15221314.070005223,299.9707245124353,14.4
900000,-15222960.898130223,299.70725258717505,14.4
950000,-15223293.101255223,300.7203967063884,14.4
1000000,-15230242.851255223,300.1954963039148,14.4
1050000,-15220356.226255223,300.5642540420406,14.4
1100000,-15227480.741880223,300.33119393743294,14.4
1150000,-15226830.960630223,300.1633561261917,14.4
1200000,-15227231.695005223,300.0291945647347,14.4
1250000,-15231471.585630223,300.0504310868168,14.4
1300000,-15218092.351255223,300.58582966042263,14.4
1350000,-15229268.116880223,300.506029787358,14.4
1400000,-15227399.054380223,300.49893731083233,14.4
1450000,-15224387.851255223,300.49017739718226,14.4
1500000,-15227297.320005223,300.34028682869905,14.4
1550000,-15226105.491880223,300.27896460576324,14.4
1600000,-15228248.663755223,300.2598680885356,14.4
1650000,-15222869.585630223,300.4400331679126,14.4
1700000,-15225036.148130223,300.3202343269462,14.4
1750000,-15228111.835630223,299.9617286344166,14.4
1800000,-15220240.757505223,300.1464642013507,14.4
1850000,-15222625.648130223,300.70118993202806,14.4
1900000,-15231961.101255223,300.2306188843813,14.4
1950000,-15229936.554380223,300.81672033744053,14.4
2000000,-15225780.991880223,300.2438008951128,14.4
2050000,-15219559.882505223,300.17615405925926,14.4
2100000,-15226554.632505223,300.2468595770057,14.4
2150000,-15230699.913755223,300.31143716373754,14.4
2200000,-15224678.491880223,299.63354945202394,14.4
2250000,-15226867.241880223,300.40798134969947,14.4
2300000,-15223404.445005223,300.46013303614245,14.4
2350000,-15225169.038755223,300.20143453679526,14.4
2400000,-15230039.773130223,300.462869534798,14.4
2450000,-15229712.195005223,299.706307280349,14.4
2500000,-15230444.445005223,300.2931547549269,14.4
2550000,-15224799.023130223,300.89267584905093,14.4
2600000,-15222959.913755223,299.90326983453957,14.4
2650000,-15229297.241880223,300.21699872565335,14.4
2700000,-15225545.273130223,300.2817969076514,14.4
2750000,-15220290.116880223,299.93254193633,14.4
2800000,-15217634.882505223,300.57269747169414,14.4
2850000,-15229244.882505223,300.4220638957646,14.4
2900000,-15224902.085630223,300.3304634441006,14.4
2950000,-15231070.616880223,300.0417680767088,14.4
3000000,-15227375.976255223,300.6621480195113,14.4
3050000,-15227788.554380223,300.0342784212553,14.4
3100000,-15222779.913755223,300.5364580273923,14.4
3150000,-15224471.413755223,299.17952544389703,14.4
3200000,-15229410.523130223,300.3854296472616,14.4
3250000,-15223095.554380223,300.1192525316982,14.4
3300000,-15226753.804380223,300.65156436046806,14.4
3350000,-15228690.601255223,300.55829312945184,14.4
3400000,-15222679.351255223,300.71131600256007,14.4
3450000,-15227235.241880223,300.1522710844133,14.4
3500000,-15226519.679380223,299.72028748423446,14.4
3550000,-15220171.866880223,300.4775790017747,14.4
3600000,-15226706.320005223,300.33484180933914,14.4
3650000,-15221532.445005223,300.45513085858045,14.4
3700000,-15229011.273130223,300.34414732927405,14.4
3750000,-15232352.226255223,299.9545242549139,14.4
3800000,-15226660.913755223,300.1789406867975,14.4
3850000,-15227831.960630223,300.6153730726473,14.4
3900000,-15225051.257505223,300.1409615141838,14.4
3950000,-15223793.757505223,300.9491449752112,14.4
4000000,-15223533.648130223,299.8099410498469,14.4
4050000,-15228899.288755223,300.5221221782529,14.4
4100000,-15229586.835630223,299.3363238560583,14.4
4150000,-15226956.241880223,299.8425592137712,14.4
4200000,-15226841.366880223,300.26465533691675,14.4
4250000,-15225364.601255223,299.860899618943,14.4
4300000,-15224434.679380223,300.47221784355935,14.4
4350000,-15218727.679380223,300.19042251522114,14.4
4400000,-15220240.913755223,300.38989767254577,14.4
4450000,-15231145.616880223,300.4141498648545,14.4
4500000,-15221693.101255223,300.45029073342295,14.4
4550000,-15228380.913755223,300.26614322625204,14.4
4600000,-15222964.132505223,299.9668329548137,14.4
4650000,-15226543.116880223,300.3261163005117,14.4
4700000,-15221657.241880223,300.09371834273986,14.4
4750000,-15228470.320005223,300.51945134123173,14.4
4800000,-15229559.554380223,300.04182291133577,14.4
4850000,-15221860.507505223,299.46298313614204,14.4
4900000,-15222545.960630223,299.94033812357134,14.4
4950000,-15229693.163755223,300.01469785492145,14.4
5000000,-15222489.929380223,300.47763225101517,14.4
5050000,-15225488.898130223,300.58995959238337,14.4
5100000,-15227274.741880223,300.3815261324301,14.4
5150000,-15230112.366880223,300.58095945228877,14.4
5200000,-15226690.351255223,300.6040152571917,14.4
5250000,-15225342.882505223,300.20046281220317,14.4
5300000,-15229667.601255223,300.35238409672286,14.4
5350000,-15224025.945005223,300.37528005921143,14.4
5400000,-15225906.898130223,300.4139722626072,14.4
5450000,-15222471.726255223,300.286932857381,14.4
5500000,-15222722.116880223,300.6773380369823,14.4
5550000,-15228588.616880223,299.9740927783163,14.4
5600000,-15228504.226255223,300.5974364789875,14.4
5650000,-15227596.773130223,300.22250189634843,14.4
5700000,-15228213.163755223,300.0168005420814,14.4
5750000,-15229617.257505223,299.8758031357711,14.3
5800000,-15225215.085630223,300.4889054358115,14.1
5850000,-15224781.882505223,300.65174630310946,14
5900000,-15223744.491880223,300.316377611549,13.9
5950000,-15224669.288755223,300.44843788568767,13.8
6000000,-15230253.866880223,300.3414751029146,13.7
6050000,-15228458.929380223,300.50410872854474,13.6
6100000,-15233865.632505223,300.03505545768644,13.5
6150000,-15220740.288755223,299.8598655822216,13.4
6200000,-15226451.866880223,300.5551091025746,13.3
6250000,-15224221.226255223,300.2767176159916,13.2
6300000,-15224955.148130223,300.36151222145935,13.1
6350000,-15229292.054380223,299.7976246631587,13
