#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-4327142.295122806,300.0453062512337,0
150000,-4330699.373247806,300.05371097251174,41.3
200000,-4328919.498247806,300.3619658562885,41.4
250000,-4326964.463091556,299.82261830464375,41.3
300000,-4330385.427935306,300.34797928525086,41.4
350000,-4329281.365435306,300.6438409569505,41.3
400000,-4328251.998247806,300.20163037931235,41.4
450000,-4330655.049029056,300.6207704732961,41.4
500000,-4332701.674029056,300.649146365187,41.4
550000,-4327310.072466556,300.0001573567438,41.4
600000,-4331494.799029056,299.85847883644277,41.4
650000,-4333388.498247806,300.30760389961915,41.4
700000,-4331148.720904056,300.0395913280802,41.4
750000,-4330221.259966556,301.60094244457053,41.4
800000,-4334643.498247806,300.7531737311106,41.4
850000,-4335582.931841556,300.9687027667505,41.4
900000,-4331048.795122806,299.060253550885,41.4
950000,-4332066.701372806,299.2619642195421,41.4
1000000,-4330979.783404056,299.1665875978083,41.4
1050000,-4330311.006060306,301.36423293413753,41.4
1100000,-4330502.502154056,300.4236458420167,41.4
1150000,-4332781.381060306,299.3521952175962,41.4
1200000,-4330573.412310306,299.76299428436596,41.4
1250000,-4333395.588091556,300.2614802021755,41.4
1300000,-4331134.830279056,300.62422875412364,41.4
1350000,-4334576.310747806,300.63610307117693,41.4
1400000,-4331582.791216556,299.1436563383468,41.4
1450000,-4331676.232622806,299.8683972195708,41.4
1500000,-4330654.373247806,301.3864770634551,41.4
1550000,-4332892.299029056,300.28331944364794,41.4
1600000,-4329777.681841556,301.12385030850345,41.4
1650000,-4330369.107622806,300.5313714731667,41.4
1700000,-4334721.681841556,299.33885732165754,41.4
1750000,-4333505.498247806,300.2545554053645,41.4
1800000,-4331763.408404056,299.59298867565343,41.4
1850000,-4332580.533404056,298.8506413884069,41.4
1900000,-4328393.552935306,299.6298627312929,41.4
1950000,-4332483.986529056,300.0305304095676,41.4
2000000,-4331808.189654056,299.4062207881858,41.4
2050000,-4331520.506060306,300.26421612383723,41.4
2100000,-4331355.099810306,300.8222510352295,41.4
2150000,-4333033.775591556,300.1207863770371,41.4
2200000,-4330436.619341556,300.29786707786894,41.4
2250000,-4330695.177935306,299.78535036413484,41.4
2300000,-4332142.841997806,300.3210851879988,41.4
2350000,-4331970.103716556,300.7420003979068,41.4
2400000,-4329615.377154056,300.0492307414772,41.4
2450000,-4332266.849810306,300.4617376674881,41.3
2500000,-4328018.771685306,300.19765029106304,41.3
2550000,-4331604.677935306,300.47276121273086,41.3
2600000,-4335474.685747806,300.47661911985716,41.3
2650000,-4333460.861529056,300.35207064095124,41.3
2700000,-4332146.138872806,301.0944512505275,41.3
2750000,-4330296.705279056,300.0456890672353,41.3
2800000,-4331212.912310306,300.34975674281736,41.3
2850000,-4333008.615435306,301.09493891961216,41.3
2900000,-4331481.705279056,300.07307453310824,41.3
2950000,-4332447.295122806,301.06807754442826,41.3
3000000,-4330522.154497806,300.7667103000998,41.3
3050000,-4333065.017779056,299.6834251485399,41.3
3100000,-4334856.197466556,299.96552788107493,41.3
3150000,-4331663.197466556,299.29549524601964,41.3
3200000,-4329784.209185306,300.5904811244035,41.3
3250000,-4330553.365435306,301.09214523464817,41.3
3300000,-4329756.193560306,300.1004444971526,41.3
3350000,-4333844.420122806,299.85210802931664,41.3
3400000,-4332177.693560306,300.06234231847236,41.3
3450000,-4329898.267779056,300.0200596330877,41.3
3500000,-4332875.951372806,300.2722686161722,41.3
3550000,-4333276.349810306,300.7103232742299,41.3
3600000,-4332471.341997806,300.0550752869634,41.3
3650000,-4330593.302935306,299.44142206535906,41.3
3700000,-4331241.220904056,300.9752085991583,41.3
3750000,-4328712.799029056,300.00693763993644,41.3
3800000,-4330812.365435306,300.6563717929484,41.3
3850000,-4328625.435747806,300.9356014746854,41.3
3900000,-4327112.506060306,298.8721458094939,41.3
3950000,-4332972.486529056,299.3236882326772,41.3
4000000,-4327265.990435306,300.6935565248555,41.3
4050000,-4330390.611529056,301.4686972624926,41.3
4100000,-4334847.138872806,300.13164662456865,41.3
4150000,-4335289.619341556,300.9706997297101,41.3
4200000,-4333296.088091556,300.0104115240655,41.3
4250000,-4328484.310747806,299.5920286571183,41.3
4300000,-4326777.603716556,300.74579676538576,41.3
4350000,-4331721.857622806,299.6383784177226,41.3
4400000,-4333835.478716556,299.02052853768515,41.3
4450000,-4331790.564654056,299.0411671840211,41.3
4500000,-4331191.799029056,301.2128248652605,41.3
4550000,-4330945.588091556,300.18277848982683,41.3
4600000,-4330389.736529056,299.73922960656813,41.3
4650000,-4329188.392779056,297.96636023597694,41.3
4700000,-4330429.974810306,300.1821780100443,41.3
4750000,-4329202.591997806,300.1526196978149,41.3
4800000,-4329790.412310306,301.03986008551095,41.3
4850000,-4334075.705279056,300.6221107606376,41.3
4900000,-4332313.322466556,301.2081462137262,41.3
4950000,-4335178.193560306,299.3601574023454,41.3
5000000,-4328929.224810306,301.72375269298755,41.3
5050000,-4333180.752154056,300.3355254837683,41.3
