#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-2906364.5678541735,301.62971008955816,0
150000,-2904953.5053541735,299.9406805498624,147
200000,-2903759.2436354235,300.2675603748456,147
250000,-2906218.7397291735,300.3412732274572,147
300000,-2906719.9135572985,301.0971663708119,147
350000,-2904627.7182447985,300.33968715536474,147
400000,-2905012.8627760485,300.8898235292625,147
450000,-2903787.4838697985,300.141164845152,147
500000,-2907607.3920729235,299.6461014195515,147
550000,-2904970.7104322985,300.23488243799477,147
600000,-2907413.3998854235,300.3427378509033,147
650000,-2901897.8998854235,301.0518857177204,147
700000,-2903627.3334791735,300.0507426636541,147
750000,-2907249.7768385485,299.9316120831286,147
800000,-2903364.1010572985,300.8754928588198,147
850000,-2906316.6616041735,300.1066242255598,147
900000,-2908128.7905104235,300.29092277223987,147
950000,-2906186.4545729235,301.110109063212,147
1000000,-2906993.1635572985,299.55060068825196,147
1050000,-2903882.3686354235,300.5250334253338,147
1100000,-2905117.5678541735,300.3237182772299,147
1150000,-2905913.3549635485,299.8580193754448,147
1200000,-2907143.3666822985,298.8140069213337,147
1250000,-2903228.7866041735,300.26350090386484,147
1300000,-2904971.8217604235,300.610541378166,147
1350000,-2906024.2104322985,300.9986807955127,147
1400000,-2907797.8041822985,299.2289079296005,147
1450000,-2904561.1069166735,299.98709433419975,147
1500000,-2904464.9877760485,300.3261650734325,147
1550000,-2910928.5248854235,300.17773827313425,147
1600000,-2904328.9955885485,300.32105144338044,147
1650000,-2903892.0600416735,298.9800247732136,147
1700000,-2907049.2573072985,299.33926040794563,147
1750000,-2905803.8315260485,299.6214284246768,147
1800000,-2905311.3998854235,299.63798211483015,147
1850000,-2907782.1713697985,299.9853994577316,147
1900000,-2906354.6987135485,300.2295600146901,147
1950000,-2904721.7963697985,300.80605245849506,147
2000000,-2904518.7338697985,300.3139352904649,147
2050000,-2906638.3354322985,301.50023437091295,147
2100000,-2904750.2104322985,300.603231786923,147
2150000,-2906764.3412916735,300.39908473169,147
2200000,-2906455.2123854235,300.74894805220003,147
2250000,-2906052.6674635485,301.6552725354147,147
2300000,-2905609.5151197985,300.0787870384754,147
2350000,-2908288.7162916735,299.41770851233827,147
2400000,-2907829.4233229235,298.9737767613081,147
2450000,-2908011.5248854235,300.06408227913283,147
2500000,-2905944.5092604235,301.0944471552429,147
2550000,-2906061.9741041735,300.05878737306534,147
2600000,-2908533.9916822985,300.59712932019954,147
2650000,-2906861.1635572985,299.9033810689008,147
2700000,-2906590.2514479235,300.6573400307881,147
2750000,-2904279.6323072985,299.537306640036,147
2800000,-2908919.2866041735,300.6558332126199,147
2850000,-2904141.6557447985,299.69030301357174,147
2900000,-2906451.8784010485,300.06166259834055,147
2950000,-2906764.7201979235,300.1196261361713,147
3000000,-2906145.2026197985,300.6103182740141,147
3050000,-2907864.2494947985,300.73397119484065,147
3100000,-2903397.6948072985,300.3904360103227,147
3150000,-2908986.5756666735,300.01219719199776,147
3200000,-2905734.2944166735,300.84342038478155,147
3250000,-2904443.1928541735,299.7216910375573,147
3300000,-2905946.7787916735,301.417263010508,147
3350000,-2902540.6752760485,299.6779462826963,147
3400000,-2905812.7748854235,299.7623866674076,147
3450000,-2908533.1733229235,300.2009626384862,147
3500000,-2908387.2436354235,300.1016689170602,147
3550000,-2905086.4760572985,301.0655424088471,147
3600000,-2905955.2807447985,300.0034009619529,147
3650000,-2906640.0131666735,301.1552566192379,147
3700000,-2909446.9272291735,301.46484142908866,147
3750000,-2906277.0815260485,300.7306659219233,147
3800000,-2905793.9174635485,300.8590204923186,147
3850000,-2906753.9213697985,299.15852710180354,147
3900000,-2906103.9350416735,301.6335746323172,147
3950000,-2906013.5307447985,299.584430650945,147
4000000,-2905184.1010572985,299.377376557687,147
4050000,-2908603.7065260485,299.45949970567113,147
4100000,-2905333.7690260485,299.97150191199717,147
4150000,-2906774.2045729235,299.9341008004415,147
4200000,-2911332.3530104235,299.78974934241774,147
4250000,-2903909.7026197985,300.03719569183545,147
4300000,-2905273.3920729235,301.2154306036551,147
4350000,-2906130.8178541735,299.89753817717076,147
4400000,-2904433.9389479235,300.2525924099763,147
4450000,-2906440.6401197985,301.3004978117826,147
4500000,-2907839.7983229235,299.4547544619907,147
4550000,-2907101.8666822985,300.91808091491936,147
4600000,-2906436.7299635485,299.8536566482362,147
4650000,-2906416.9037916735,301.20672563561925,147
4700000,-2906012.8178541735,300.62724188189134,147
4750000,-2902132.2026197985,300.45467700827516,147
4800000,-2908501.8022291735,300.1077539277866,147
4850000,-2908773.7084791735,300.2799848336597,147
4900000,-2908111.2709791735,301.2839151133962,147
4950000,-2908349.6362135485,300.1011090930147,147
5000000,-2908164.0483229235,300.0454339810553,147
5050000,-2908461.9096510485,300.36673368089515,147
5100000,-2906510.8334791735,299.96386182645523,147
5150000,-2904190.4760572985,300.0378348613603,147
5200000,-2905340.2631666735,301.2978930806142,147
5250000,-2905442.7807447985,301.31573647968946,147
5300000,-2904949.7807447985,301.0122373724301,147
5350000,-2907811.7690260485,300.91302607385035,147
5400000,-2905766.1303541735,300.72728823582736,147
5450000,-2908143.0561354235,301.122497468852,147
5500000,-2907052.2182447985,300.05670273756033,147
5550000,-2908369.1987135485,298.59923385195947,147
5600000,-2905647.6401197985,299.7128473052077,147
5650000,-2905208.1498854235,300.59665267143197,147
5700000,-2908348.9096510485,299.3698897870055,147
5750000,-2904717.7748854235,300.60705061503444,147
5800000,-2905916.0795729235,300.6631779490343,147
5850000,-2910662.2905104235,299.56055740860876,147
5900000,-2904334.7768385485,299.5942932611179,147
5950000,-2905846.6420729235,299.402455635957,147
6000000,-2903532.6752760485,299.724224715066,147
6050000,-2908754.4018385485,301.261015412979,147
6100000,-2905038.9877760485,300.74165895285,147
6150000,-2905248.1264479235,299.41731282177204,147
6200000,-2907400.5307447985,300.8732332723082,147
6250000,-2907935.8119947985,300.27653268245984,147
6300000,-2906051.9955885485,300.59549666904553,147
6350000,-2904901.7826979235,300.8172924747076,147
6400000,-2906483.8979322985,300.02966699411706,147
6450000,-2906966.3705885485,301.097864182,147
6500000,-2909382.0229322985,299.4671369907762,147
6550000,-2907418.5424635485,299.8958862063452,147
6600000,-2905989.9135572985,301.2417458390647,147
6650000,-2904189.3217604235,301.425153406922,147
6700000,-2907205.7280104235,300.47689201785477,147
6750000,-2907865.8725416735,299.68532788855714,147
6800000,-2906008.3100416735,301.41401717594755,147
6850000,-2905838.5580885485,300.2218239274583,147
6900000,-2907026.8159010485,300.40907862390526,147
6950000,-2905571.5639479235,299.9782486142672,147
7000000,-2904761.0248854235,299.7471973221306,147
7050000,-2906116.3744947985,300.93665606931967,147
7100000,-2910064.7084791735,299.87707622168284,147
7150000,-2907267.2592604235,300.8545130772382,147
7200000,-2906475.4467604235,299.7077921415595,147
7250000,-2907800.6498854235,300.53500344806145,147
7300000,-2907860.6284010485,300.31411704631824,147
7350000,-2907626.4135572985,299.9865993422233,147
7400000,-2904051.5717604235,298.6395937596578,147
7450000,-2903086.7905104235,302.09869124328003,147
7500000,-2908371.8842604235,300.1280610163032,147
7550000,-2908403.5893385485,300.61788937265584,147
