#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-3166375.3222649433,301.1485157094019,0
150000,-3165168.4101555683,300.9445924048804,59.8
200000,-3162741.8535149433,300.84244679482356,59.9
250000,-3166558.1855461933,301.10815985496083,60
300000,-3165475.1210930683,301.44492816848157,59.9
350000,-3163495.9003899433,300.5222221892494,59.9
400000,-3165171.2421868183,299.9516720532539,59.8
450000,-3165937.4999993183,299.07119624595225,59.9
500000,-3165833.0800774433,299.63368548383426,59.9
550000,-3166916.4648430683,300.3773391544316,59.9
600000,-3166013.7441399433,301.47840787991595,59.9
650000,-3167678.1054680683,301.4115530662291,59.8
700000,-3167200.1835930683,301.0521884377923,59.9
750000,-3166800.0371086933,300.00176738923943,59.8
800000,-3167901.3242180683,301.4470632458564,59.8
850000,-3167710.8730461933,300.8561171194036,59.8
900000,-3167902.7031243183,300.78501054828223,59.8
950000,-3164020.8964836933,300.30200773348946,59.8
1000000,-3170789.1835930683,299.8672549513503,59.8
1050000,-3163463.9140618183,300.04249231935717,59.8
1100000,-3163892.0605461933,299.19183822616753,59.8
1150000,-3166032.3691399433,300.6046994749066,59.8
1200000,-3168286.3671868183,300.9867040098545,59.8
1250000,-3163968.3847649433,299.84509546699405,59.8
1300000,-3166334.8925774433,300.0105320936553,59.8
1350000,-3164170.6210930683,300.3445402277665,59.8
1400000,-3166346.0117180683,300.69226540241624,59.8
1450000,-3164972.9472649433,300.638640970007,59.8
1500000,-3166023.7109368183,300.6811378663757,59.8
1550000,-3165271.7246086933,301.00743467390083,59.8
1600000,-3163666.5566399433,300.9536493523757,59.8
1650000,-3166409.6230461933,300.83320876163447,59.8
1700000,-3166352.0937493183,300.9045597976912,59.8
1750000,-3170323.4960930683,300.10444095661524,59.8
1800000,-3163451.9511711933,299.79661330020497,59.8
1850000,-3168409.8320305683,300.26740169135536,59.7
1900000,-3168171.4824211933,300.1900394652394,59.8
1950000,-3169391.5351555683,299.8285583263171,59.7
2000000,-3165006.8085930683,300.95880760955583,59.7
2050000,-3167728.5332024433,300.2021286779116,59.7
2100000,-3166408.4140618183,299.1364268736621,59.7
2150000,-3163940.8847649433,299.9387715566718,59.7
2200000,-3163001.7304680683,300.86796746864303,59.7
2250000,-3164965.9003899433,300.9842033509442,59.7
2300000,-3167668.3066399433,301.0640784595771,59.7
2350000,-3163971.6855461933,300.5510488063649,59.7
2400000,-3165107.5175774433,300.5728110776112,59.7
2450000,-3166020.8808586933,300.38262994137096,59.7
2500000,-3164731.7695305683,299.8280661842895,59.7
2550000,-3163532.4042961933,299.8793721360328,59.7
2600000,-3162856.5820305683,300.8768565568248,59.7
2650000,-3165611.6230461933,300.3565970800345,59.7
2700000,-3164377.0234368183,300.25317124468097,59.7
2750000,-3165961.2714836933,299.69186106926776,59.7
2800000,-3166443.9433586933,300.5010310671726,59.7
2850000,-3164581.8671868183,301.10217711307524,59.7
2900000,-3167765.1347649433,300.6006137733872,59.7
2950000,-3167376.3417961933,300.24916292438695,59.7
