#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1.0%,100000,200.00000000022686,-1531204.7138507077,245553.6815710333,301.61585395753355,1.0276507268291661
1.5%,150000,300.00000000070435,-1529779.1603095755,241991.1233547756,297.23993081194976,1.0279660468582723
2.0%,200000,400.00000000118183,-1530260.7378479382,244233.06738291404,299.9937313587209,1.0301971379809165
2.5%,250000,500.0000000016593,-1530017.9744833885,244024.0221868116,299.73695921450064,1.027876225724898
3.0%,300000,599.9999999996356,-1530919.9770203102,244274.7042482309,300.0448743047696,1.0281458640302528
3.5%,350000,699.999999997271,-1530337.2866061144,244202.83651642993,299.9565985063354,1.0265656438787252
4.0%,400000,799.9999999949063,-1531439.3880865984,243836.58692529312,299.5067307524269,1.0277628720717957
4.5%,450000,899.9999999925416,-1532068.4937162176,243160.7263006014,298.6765649077593,1.0305454351743746
5.0%,500000,999.9999999901769,-1531670.4673248166,245879.61043453254,302.016195389455,1.0309247962584531
5.5%,550000,1099.9999999878123,-1531158.7614754764,244287.84862432102,300.0610196632664,1.0293231017060356
6.0%,600000,1199.9999999854476,-1531457.7486516116,243933.94935918582,299.62632192880045,1.030236082314637
6.5%,650000,1299.999999983083,-1534201.4347167425,244140.4884387351,299.88001578692257,1.0281161080333352
7.0%,700000,1399.9999999807183,-1531397.0969833443,244926.65382433677,300.8456699877191,1.0288672071145988
7.5%,750000,1499.9999999783536,-1531050.2368324557,243900.00429516856,299.58462689329656,1.0295794644753038
8.0%,800000,1599.9999999759889,-1531077.197820668,245732.84120442567,301.8359173891817,1.0288647665555435
8.5%,850000,1699.9999999736242,-1532855.2525710762,244661.50806841964,300.5199890079736,1.0313660674336116
9.0%,900000,1799.9999999712595,-1532290.8814219553,244650.66463620722,300.50666992008354,1.0300520116513763
9.5%,950000,1899.9999999688948,-1532926.8587211454,245740.22795952155,301.84499060865846,1.0271187399046786
10.0%,1000000,1999.9999999665301,-1531942.0854626438,244584.48120947235,300.4253762060379,1.0289143340881164
10.5%,1050000,2099.9999999641655,-1530486.1424254933,243212.91348477357,298.7406669078556,1.0283621919189114
11.0%,1100000,2199.9999999618008,-1532523.9233426945,245780.16087811862,301.8940405812209,1.026658124219418
11.5%,1150000,2299.999999959436,-1531080.3531885054,244567.3014563425,300.4042741566698,1.028638286028597
12.0%,1200000,2399.9999999570714,-1532512.7381643066,243341.33566596606,298.8984090585725,1.0322704409476677
12.5%,1250000,2499.9999999547067,-1533345.8314655218,244339.02946980644,300.1238855682635,1.0296029439693888
13.0%,1300000,2599.999999952342,-1533968.0968306568,243951.29582538301,299.6476287533683,1.02982945469581
13.5%,1350000,2699.9999999499773,-1531223.7833102914,245042.6106539094,300.9881008319645,1.0285801441471327
14.0%,1400000,2799.9999999476127,-1531949.8951073652,243297.64054935155,298.8447379434536,1.0299330049303193
14.5%,1450000,2899.999999945248,-1531429.4847753383,245232.32311826336,301.2211264033037,1.0302006976954847
15.0%,1500000,2999.9999999428833,-1532430.8604933629,245052.87603517465,301.0007098945398,1.0297463815856882
15.5%,1550000,3099.9999999405186,-1532824.9943490345,244186.26300210675,299.9362411056901,1.0302420243106025
16.0%,1600000,3199.999999938154,-1531434.151406752,244694.5957579854,300.5606309225236,1.0281569866919078
16.5%,1650000,3299.999999935789,-1529131.2815717263,244701.53421615707,300.56915349474986,1.027215445290098
17.0%,1700000,3399.9999999334245,-1529182.194632046,244803.32713824202,300.69418668067095,1.0293137289538423
17.5%,1750000,3499.99999993106,-1531492.8543005716,243639.26770613252,299.26436173393535,1.0283047784726245
18.0%,1800000,3599.999999928695,-1532186.719830309,244016.89789181558,299.7282083771875,1.0307645790252218
