#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-3553767.4637726024,300.48674618234537,0
150000,-3554457.3055694774,301.66430035701705,314
200000,-3552990.1083038524,299.8222689103401,314
250000,-3552429.4559601024,300.67507363792186,313
300000,-3557576.0614288524,299.92222509541995,313
350000,-3554522.4559601024,300.948600558069,313
400000,-3551844.0047882274,299.83691415864615,313
450000,-3554581.6922882274,299.7196224687014,313
500000,-3555351.6258819774,301.04890111961026,313
550000,-3552518.2918976024,300.1877911242931,313
600000,-3552494.8465851024,299.90578447482096,312
650000,-3551931.99404604,300.38730151570513,312
700000,-3553534.386624165,300.9436601562567,312
750000,-3553806.3641632274,299.73289844978905,312
800000,-3553981.5809601024,300.9394420374995,312
850000,-3556169.0438507274,301.22384314904565,312
900000,-3556135.4442413524,299.9176504821379,312
950000,-3550770.0516632274,299.0955750583201,312
1000000,-3551500.3172882274,300.3196378616128,312
1050000,-3554127.9481476024,301.16596966050633,312
1100000,-3550026.8251007274,300.6299906921622,312
1150000,-3553618.5536163524,300.7049213161095,312
1200000,-3553611.4090851024,300.1837004730617,312
1250000,-3552910.0399444774,300.2314903284129,312
1300000,-3556646.757717915,299.9564918576333,312
1350000,-3555845.6297882274,300.2385174098036,312
1400000,-3557554.4149444774,299.4323666311147,312
1450000,-3557423.1063507274,300.32352966668276,312
1500000,-3552163.3622101024,299.7968239012383,312
1550000,-3553516.6688507274,300.82342295248725,312
1600000,-3555015.3446319774,300.4716861046613,312
1650000,-3554797.6454132274,300.65958593697053,312
1700000,-3552109.5008819774,300.0306118964618,311
1750000,-3558909.6043976024,300.54992840135225,311
1800000,-3554958.4676788524,299.88225433847396,311
1850000,-3555042.2430694774,300.6403004500377,311
1900000,-3553639.5399444774,300.8677568913205,311
1950000,-3553803.4325226024,299.69072125994836,311
2000000,-3553105.9266632274,300.0634541811514,311
2050000,-3552612.3993194774,298.94739628013616,311
2100000,-3553443.0204132274,300.89766322858003,311
2150000,-3552544.54482729,300.50921392599344,311
2200000,-3552898.3368194774,299.9577582709549,311
2250000,-3553894.0262726024,299.6307100542866,311
2300000,-3552854.3583038524,300.4351080836366,311
2350000,-3557105.2762726024,300.2988033822307,311
2400000,-3553274.2254913524,300.5151773576191,311
2450000,-3553905.9110382274,299.57219285826267,311
2500000,-3554787.8915069774,299.21385174252896,311
2550000,-3554750.0711944774,300.49199716867827,311
2600000,-3553815.4090851024,300.50313323458585,311
2650000,-3555624.4676788524,301.25756109621193,311
2700000,-3552480.2020538524,299.8494006580211,311
2750000,-3551673.9032257274,298.8684178956491,311
2800000,-3553268.581936665,299.9429263171489,311
2850000,-3557364.245999165,299.745805809597,311
2900000,-3556152.3661163524,300.48820173267796,311
2950000,-3553462.0672882274,301.37571111401513,311
3000000,-3550913.4286163524,299.3767536042837,311
3050000,-3554910.5809601024,301.6082120843405,311
3100000,-3553827.2235382274,300.770406406222,311
3150000,-3553705.8934601024,301.17811890079025,311
3200000,-3552270.9774444774,300.0211821959526,311
3250000,-3549438.1668976024,300.52869723562145,311
3300000,-3553957.8016632274,300.5414499163747,311
3350000,-3552868.2293976024,300.9231668152167,311
3400000,-3556503.3680694774,300.0827137693119,311
3450000,-3557366.3504913524,300.97431558853276,311
3500000,-3555513.2938507274,301.0263509365764,311
3550000,-3557768.0086944774,300.83599647864094,311
3600000,-3554902.36513979,301.08873993962106,311
3650000,-3554794.6571319774,299.6483029708146,311
3700000,-3552692.7215851024,300.8554105553874,311
3750000,-3555748.2684601024,300.19175582627815,311
3800000,-3551661.8465851024,300.434346811331,311
3850000,-3552472.7430694774,300.6372477790575,311
3900000,-3555897.6239288524,299.8406577514338,311
3950000,-3553639.1258819774,301.25359966492675,311
4000000,-3554385.4598663524,299.6736168108031,311
4050000,-3554354.2411163524,301.1134474983987,311
4100000,-3552621.7860382274,299.626773247573,311
4150000,-3551232.4501007274,300.7756835254605,312
4200000,-3551068.6180694774,299.5150571185292,312
4250000,-3551315.1102569774,300.76870818526413,312
4300000,-3555114.1688507274,301.59527269966986,312
4350000,-3555360.0028351024,300.15270060248207,312
4400000,-3556932.9501007274,300.6845530344168,312
4450000,-3550317.0633819774,301.51478998290196,312
4500000,-3553862.0165069774,300.8761360398605,312
4550000,-3555734.8973663524,300.3765014036105,312
4600000,-3552365.3895538524,300.81371341191226,312
4650000,-3555809.7274444774,299.4948828194951,312
4700000,-3553103.9364288524,300.4034032983872,312
4750000,-3554573.56435854,300.16841903221064,312
4800000,-3555910.4579132274,299.4717741779407,312
4850000,-3555631.5321319774,299.99870087448016,312
4900000,-3551641.3543976024,301.2429341345977,312
4950000,-3555498.3758819774,300.7427567840995,312
5000000,-3554385.8368194774,300.96466941923677,312
5050000,-3551359.9793976024,299.04620435386005,312
5100000,-3555661.8583038524,300.58481321600743,312
5150000,-3556219.1043976024,301.136554826992,312
5200000,-3555581.6805694774,300.66932912771637,312
5250000,-3555695.9266632274,300.818427891824,312
5300000,-3556921.7372101024,300.7854579319574,312
5350000,-3553544.68154604,300.9521741979998,312
5400000,-3553210.0321319774,300.6350882175102,312
5450000,-3552438.8094757274,299.7136056550963,312
5500000,-3555360.9461944774,299.9411969663794,312
5550000,-3557297.7176788524,300.0773508906794,312
5600000,-3552847.7567413524,299.42089729411333,312
5650000,-3552595.5672882274,300.4981031896785,312
5700000,-3553599.2665069774,300.27129019836764,312
5750000,-3556732.624905415,299.6914907905086,312
5800000,-3553730.2840851024,300.19562012419,312
5850000,-3556658.9520538524,300.61892070705375,312
5900000,-3554349.8172882274,300.6666246769155,312
5950000,-3550507.3563507274,300.30434154565575,312
6000000,-3553561.9774444774,299.6709934026868,312
6050000,-3555496.5321319774,299.4387026344493,312
6100000,-3553788.6786163524,300.25252710403566,312
6150000,-3553185.3583038524,301.38967306082515,312
6200000,-3553074.3602569774,300.6646492150107,312
6250000,-3556355.2391632274,300.27773644819405,312
6300000,-3556509.5184601024,300.30983942798576,312
6350000,-3552359.2977569774,300.72913292839047,312
6400000,-3556259.9227569774,300.7582407958914,312
6450000,-3557865.9852569774,299.86418695311147,312
6500000,-3555989.8524444774,299.00868246041694,312
6550000,-3556295.7118194774,300.5288264287573,312
6600000,-3556475.0751007274,301.3151424815862,312
6650000,-3554049.7938507274,299.3384386407528,312
6700000,-3553525.78310854,300.14673115817016,312
6750000,-3553994.2567413524,300.7301157134874,312
6800000,-3554162.7176788524,299.6628923473181,312
6850000,-3555026.4891632274,300.44489110763755,312
6900000,-3555900.0790069774,300.42198622668457,312
6950000,-3553022.9012726024,300.13222849656216,312
7000000,-3555519.3290069774,301.310826968035,312
