#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-3233975.793169517,301.04271519341734,0
150000,-3233728.613482017,300.2139155881716,127
200000,-3237866.363482017,299.9544688015932,127
250000,-3235440.396685142,300.9320908577102,127
300000,-3236224.904497642,300.10484495013725,127
350000,-3236432.617388267,300.6543617238954,127
400000,-3235665.172075767,300.80428204735426,127
450000,-3235935.599810142,300.52072245378776,127
500000,-3237107.654497642,299.94859041658174,127
550000,-3234148.164263267,301.4317573114563,127
600000,-3239014.634966392,298.81713757488393,127
650000,-3237373.338091392,300.79171429179183,127
700000,-3237294.795122642,300.7770427808983,127
750000,-3239232.781450767,300.5485896480234,127
800000,-3235937.164263267,300.59035169063435,127
850000,-3239203.804888267,301.41049609879684,127
900000,-3236181.685747642,299.902490491141,127
950000,-3239298.013872642,300.67701488019594,127
1000000,-3237044.008013267,300.0514379166873,127
1050000,-3238229.011919517,299.4357095392195,127
1100000,-3239111.523638267,299.5881340523333,127
1150000,-3234164.412310142,299.8846497120616,127
1200000,-3234876.980669517,300.2585736897088,127
1250000,-3238123.832232017,299.93214882746975,127
1300000,-3238846.863482017,299.0948692399784,127
1350000,-3236061.802935142,300.6842169124941,127
1400000,-3234281.273638267,301.7474893545284,127
1450000,-3238776.082232017,299.99886958918285,127
1500000,-3237482.707232017,299.449583830122,127
1550000,-3235430.205278892,301.1009852249111,127
1600000,-3238260.425982017,300.86468295268685,127
1650000,-3240091.984575767,300.31258948674895,127
1700000,-3235625.291216392,300.47725774927375,127
1750000,-3237301.191607017,300.42379564582984,127
1800000,-3234505.113482017,300.82937680798426,127
1850000,-3236826.162310142,300.1393222494197,127
1900000,-3239044.650591392,300.4856871585349,127
1950000,-3236233.789263267,300.7467709389555,127
2000000,-3239575.914263267,299.91733193442246,127
2050000,-3237058.439653892,300.4672837562266,127
2100000,-3237421.670122642,301.37557823073206,127
2150000,-3237767.914263267,300.68640967914854,127
2200000,-3238433.439653892,299.95717011070286,127
2250000,-3238519.699419517,299.39295646535055,127
2300000,-3238925.631060142,299.8217342427289,127
2350000,-3235651.908403892,300.05614070288664,127
2400000,-3238750.269732017,300.35577134128675,127
2450000,-3238567.797075767,299.36054919680777,127
2500000,-3236126.701372642,300.06059615172313,127
2550000,-3241225.076372642,299.6228182025977,127
2600000,-3239309.681841392,301.0792285772141,127
2650000,-3235046.750200767,301.033002498962,127
2700000,-3233334.416216392,301.3078401369205,127
2750000,-3236212.716997642,299.1170640723239,127
2800000,-3240139.523638267,300.47714453907616,127
2850000,-3236992.222857017,301.12144248079295,127
2900000,-3240030.131060142,301.1045674103083,127
2950000,-3235272.236528892,300.5558665268031,127
3000000,-3239219.900591392,302.02086760794924,127
3050000,-3234874.433794517,299.3978800898548,127
3100000,-3239777.185747642,300.8585340215024,127
3150000,-3237962.047075767,299.8711869613115,127
3200000,-3239630.269732017,300.15113793275805,127
3250000,-3235030.299028892,300.58063952488806,127
3300000,-3238499.058794517,299.52366464680944,127
3350000,-3236985.322466392,300.600547069875,127
3400000,-3237183.468950767,301.56175313704256,127
3450000,-3238896.140825767,300.81024159887454,127
3500000,-3236517.088091392,301.31730193017034,127
3550000,-3236962.482622642,298.6541718140903,127
3600000,-3239147.730669517,301.21983674183554,127
3650000,-3237776.332232017,299.8575480189973,127
3700000,-3236812.789263267,300.94751951032777,127
3750000,-3236759.670122642,299.91677802129067,127
