source,smiles,qed,sma_score
genmol:limki3_lhop,COc1cc(-c2ncc3cc(O)ccc3n2)ccc1O,0.747,0.9999999180576287
genmol:limki3_small,COc1cc(-c2ncc3ccc(O)cc3n2)ccc1O,0.747,0.9999999180576287
genmol:bms5_right_large,Cc1ccc(C(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.705,0.9999999180576287
genmol:limki3_small,COc1cc(-c2ncc3ccccc3n2)ccc1O,0.761,0.9999999180576287
genmol:bms5_lhop,Cc1ccc(-c2cc(NC(=O)c3ccccc3)nc(N)n2)cc1,0.778,0.9999999180576287
genmol:limki3_lhop,COc1cc(-c2ncc3cccc(O)c3n2)ccc1O,0.747,0.9999999180576287
genmol:fasudil_lhop,COc1ccc2c(c1)sc1cc(O)ccc12,0.689,0.9999999180576287
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1O,0.764,0.9999999180576287
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1-c1ccccc1O,0.936,0.9999999180576287
genmol:bms5_right_med,Cc1ccccc1Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.677,2.4791678666522947e-09
genmol:bms5_right_med,CCNS(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.69,2.4791678666522947e-09
genmol:bms5_right_med,Nc1nc(C=C2CN([O-])C2=O)cc(NC(=O)c2ccc(F)cc2)n1,0.644,2.4791678666522947e-09
genmol:bms5_right_med,CCCOC(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.817,2.4791678666522947e-09
genmol:bms5_right_med,CC(C)C(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.592,2.4791678666522947e-09
genmol:bms5_right_med,CNS(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.696,2.4791678666522947e-09
genmol:bms5_right_med,CC(C)NC([O-])=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.561,2.4791678666522947e-09
genmol:bms5_right_med,CN(C)CC(S)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.436,2.4791678666522947e-09
genmol:bms5_right_med,COCCN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.417,2.4791678666522947e-09
genmol:bms5_right_med,C=CCNC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.376,2.4791678666522947e-09
genmol:bms5_right_med,CNCCCN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.341,2.4791678666522947e-09
genmol:bms5_right_med,COCC=Cc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.883,2.4791678666522947e-09
