GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,11223932.9704,698553.8779,29361.2101,0.0,0.0,0.0,18391982.0472,-8029.2513,16416974.8459,-2490.1129,-10770.2469,178.0838388,46750285.58730001,-10592.1630612,46739693.42423881
1,11201982.2685,698496.1912,29462.4996,0.0,0.0,0.0,18513370.323,-7416.9082,16416905.5758,-2688.9773,-11061.478,174.56927112,46850110.9726,-10886.908728879998,46839224.063871115
2,11291511.0032,697704.7773,29649.0529,0.0,0.0,0.0,18251599.7941,-7510.58,16501950.5583,-2607.5313,-10886.5434,175.52018016,46762297.0745,-10711.02321984,46751586.05128016
3,11239506.9994,697849.7609,29595.4785,0.0,0.0,0.0,18406869.9231,-8022.3392,16558782.8215,-2439.1835,-10864.2887,174.06418464,46922143.4607,-10690.22451536,46911453.23618464
4,11168247.9071,698826.824,29668.9701,0.0,0.0,0.0,18446942.1113,-7652.2574,16395817.3045,-2579.0627,-11010.9379,175.05046224,46729271.7969,-10835.88743776,46718435.909462236
5,11254291.2505,702919.8373,29686.6296,0.0,0.0,0.0,18383628.5932,-7954.0492,16463695.732,-2554.9317,-10562.0647,171.92587968,46823713.0617,-10390.13882032,46813322.92287968
6,11098204.798,698211.2885,29248.4941,0.0,0.0,0.0,18317766.2132,-7585.6732,16426249.6451,-2447.4761,-11054.9826,176.30296776,46559647.2896,-10878.679632239999,46548768.60996775
7,11064159.3787,700957.7412,29786.0796,0.0,0.0,0.0,18470497.7356,-7441.9463,16475123.1793,-2416.2656,-11023.2486,174.46543848,46730665.902499996,-10848.783161520001,46719817.119338475
8,11278963.4128,699801.0721,29729.9586,0.0,0.0,0.0,18211913.9194,-7670.2303,16543985.5002,-2698.2568,-10835.2529,173.87061264,46754025.375999995,-10661.38228736,46743363.99371264
9,11219569.4946,703623.7488,29802.5129,0.0,0.0,0.0,18365562.3768,-7575.303,16382030.1925,-2529.0387,-11160.8643,175.10850504,46690483.9839,-10985.75579496,46679498.228105046
10,11291272.5274,700792.1532,30099.8965,0.0,0.0,0.0,18275897.0599,-7213.4895,16677933.6351,-2728.1134,-11265.5035,176.22275904,46966053.6692,-11089.280740960001,46954964.38845904
11,11292263.3049,699724.8801,29965.0035,0.0,0.0,0.0,18277568.0541,-7338.8068,16456621.6563,-2758.8606,-10993.1223,173.92806072,46746045.2315,-10819.194239280001,46735226.03726072
12,11229584.87,700111.1705,29906.8868,0.0,0.0,0.0,18247396.3064,-7370.1771,16467248.9632,-2649.2053,-11065.0744,171.25714512,46664228.8145,-10893.81725488,46653334.99724512
13,11205097.5678,699634.2772,29847.2265,0.0,0.0,0.0,18399555.7703,-7556.7005,16356574.5817,-2446.0962,-11031.417,174.81690288000001,46680706.62680001,-10856.60009712,46669850.02670289
14,11168224.2333,698557.5201,29787.5551,0.0,0.0,0.0,18488681.1998,-7722.2383,16424329.8146,-2505.6909,-11054.5143,173.96025552,46799352.3937,-10880.55404448,46788471.83965552
15,11247602.6245,701098.2857,30191.7388,0.0,0.0,0.0,18249374.3402,-7224.5864,16334264.2731,-2431.5243,-11061.4481,175.84951896,46552875.1516,-10885.59858104,46541989.553018965
16,11126859.3261,695504.4792,30127.4466,0.0,0.0,0.0,18355015.5439,-7820.588,16487314.7407,-2307.0748,-11030.4851,172.56555648,46684693.8737,-10857.91954352,46673835.95415648
17,11056943.4905,697394.275,29865.6473,0.0,0.0,0.0,18310570.972,-7394.1476,16448300.3372,-2271.898,-10997.0387,172.44410904,46533408.6764,-10824.59459096,46522584.08180904
18,11109081.9397,698726.0937,30038.9453,0.0,0.0,0.0,18409719.1281,-7608.5225,16582322.7744,-2520.7242,-11067.1558,174.02322528,46819759.63449999,-10893.13257472,46808866.50192527
19,11140461.9269,697796.1153,30105.13,0.0,0.0,0.0,18489025.2654,-7640.9592,16359035.8946,-2389.8403,-10955.0263,173.53593576,46706393.5327,-10781.49036424,46695612.04233576
20,11243393.0254,698414.8321,29913.0591,0.0,0.0,0.0,18301277.7406,-7325.9157,16388938.6442,-2626.1138,-11018.2549,175.22734391999998,46651985.271900006,-10843.02755608,46641142.24434392
21,11218456.411,699998.3794,29729.0963,0.0,0.0,0.0,18150521.6407,-6999.9358,16364262.5466,-2646.2833,-11185.5497,176.24559816,46453321.8549,-11009.30410184,46442312.55079816
22,11131253.3789,698820.4525,29748.6348,0.0,0.0,0.0,18453797.7167,-7685.5341,16433190.3883,-2432.9097,-11171.3632,177.14686896,46736692.1274,-10994.21633104,46725697.91106896
23,11154702.2352,699174.7122,29645.2584,0.0,0.0,0.0,18290505.9105,-7309.5317,16496184.4017,-2558.3033,-11331.619,173.60756424,46660344.683,-11158.011435760001,46649186.67156424
24,11116163.1497,699131.4022,29824.3536,0.0,0.0,0.0,18435828.9499,-7333.3507,16399526.0891,-2422.2047,-11420.1658,171.98070408,46670718.38910001,-11248.18509592,46659470.20400409

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,11223895.3412,698501.0008,29340.4348,0.0,0.0,0.0,18391987.3646,-8032.822,16416961.0025,-2490.6278,-10754.2824,174.59023679999999,46750161.6941,-10579.6921632,46739582.0019368
1,11201929.5948,698452.5812,29444.6961,0.0,0.0,0.0,18513374.6162,-7421.6498,16416891.0502,-2683.8478,-11048.9253,171.17550504,46849987.0409,-10877.74979496,46839109.29110504
