GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,9872409.6892,644259.236,27996.2721,0.0,0.0,0.0,19530734.714,-12498.8399,16769400.4964,7144.1854,-10730.052,148.50598752000002,46839445.75320001,-10581.54601248,46828864.207187526
1,9789911.3099,646753.3641,27881.7946,0.0,0.0,0.0,19327340.177,-12487.6942,16586149.2329,7219.071,-10391.6986,144.03849336,46372767.2553,-10247.66010664,46362519.59519336
2,10025697.6766,645816.598,28041.0993,0.0,0.0,0.0,19509685.0961,-12820.6096,16707476.3777,7016.6823,-10387.6655,148.13804159999998,46910912.9204,-10239.5274584,46900673.3929416
3,9963343.7229,643674.5247,27958.8521,0.0,0.0,0.0,19516603.4122,-12983.2386,16702796.2815,7196.2328,-10385.5463,147.34287935999998,46848589.7876,-10238.20342064,46838351.584179364
4,9922338.404,643923.7755,27842.4703,0.0,0.0,0.0,19411104.4882,-13406.2322,16759783.605,7329.1841,-10088.2841,148.69326888,46758915.694900006,-9939.59083112,46748976.10406888
5,9855184.3319,641424.8891,27759.9107,0.0,0.0,0.0,19395079.8143,-13415.7255,16806348.6641,7226.4808,-10135.3984,147.78214848,46719608.3654,-9987.61625152,46709620.74914848
6,9935664.3205,647284.3873,28054.0167,0.0,0.0,0.0,19579646.3519,-12775.8705,16681768.3557,7110.6456,-10351.9072,147.40562232000002,46866752.2072,-10204.50157768,46856547.705622315
7,9941843.8196,642702.8645,27746.2,0.0,0.0,0.0,19577596.821,-12661.7314,16663619.6976,7193.3544,-10386.766,149.53909679999998,46848041.025699995,-10237.2269032,46837803.798796795
8,9965704.8244,643403.3599,27977.0147,0.0,0.0,0.0,19374899.1008,-12507.2913,16638558.0782,7157.1321,-10524.9908,146.07293112,46645192.2188,-10378.91786888,46634813.30093112
9,9953045.7713,644259.0799,27714.6875,0.0,0.0,0.0,19605128.6225,-12233.6087,16673165.9317,6995.627,-10568.5985,146.31065496,46898076.1112,-10422.28784504,46887653.82335496
