GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,9942457.2005,643271.6929,28031.3737,0.0,0.0,0.0,19567916.0023,-12252.1701,16749758.4882,6850.444,-10553.2335,137.4916104,46926033.0315,-10415.7418896,46915617.2896104
1,9919322.7805,642963.6799,27879.9982,0.0,0.0,0.0,19345622.4632,-12799.6323,16622062.4887,6842.3474,-10364.8032,137.38957128,46551894.1256,-10227.41362872,46541666.71197128
2,9948067.1395,642633.998,27639.3995,0.0,0.0,0.0,19426670.233,-12897.5755,16773881.199,7039.3666,-10276.7819,137.17634688,46813033.76009999,-10139.60555312,46802894.15454687
3,10061499.2081,644376.2085,28116.4288,0.0,0.0,0.0,19499672.7936,-12399.3182,16735317.5442,6902.0641,-10527.1417,135.67380624,46963484.92909999,-10391.46789376,46953093.461206235
4,10090330.3867,648161.9588,28026.1311,0.0,0.0,0.0,19501096.5161,-12765.9919,16600807.8883,6760.4208,-10228.0875,131.47453728,46862417.3099,-10096.612962719999,46852320.696937285
5,10075841.2178,646162.4575,27902.0766,0.0,0.0,0.0,19482535.0642,-12126.6563,16792778.9206,6941.2752,-10506.7883,134.59541399999998,47020034.35560001,-10372.192886,47009662.162714005
6,10023192.4117,644750.5624,28125.9157,0.0,0.0,0.0,19513380.9461,-12805.0305,16707177.2804,6838.5351,-10008.8055,133.11922248000002,46910660.620900005,-9875.68627752,46900784.93462248
7,9987238.9928,645212.7847,28281.9397,0.0,0.0,0.0,19655919.1744,-12360.3574,16668724.6256,6986.1148,-10484.3522,134.4592584,46980003.2746,-10349.8929416,46969653.3816584
8,10040591.3236,645683.0795,28261.1948,0.0,0.0,0.0,19655434.212,-12826.0389,16732894.5765,6822.2502,-10155.2021,134.95224815999998,47096860.59770001,-10020.24985184,47086840.34784817
9,9937367.278,641291.3862,27823.266,0.0,0.0,0.0,19394504.9527,-12862.2233,16657974.3314,6932.4103,-10461.361,136.69260408,46653031.4013,-10324.66839592,46642706.73290408
10,9960511.0897,645557.9118,28100.24,0.0,0.0,0.0,19527435.1075,-12358.9081,16855891.18,6758.3414,-10736.6797,131.63852592,47011894.9623,-10605.041174080001,47001289.92112592
11,10035877.7106,645105.2474,27823.4547,0.0,0.0,0.0,19391848.7755,-12756.5905,16801778.8485,6753.717,-10355.0266,130.3653636,46896431.1632,-10224.6612364,46886206.50196359
12,9943675.6838,646556.0102,28016.5017,0.0,0.0,0.0,19480889.0746,-13044.2785,16807171.6255,6864.5192,-10040.3388,131.19902784,46900129.1365,-9909.139772159999,46890219.99672784
13,9969026.9043,645498.4075,28300.3869,0.0,0.0,0.0,19639406.2864,-12993.7899,16757507.2919,6872.0918,-10251.5709,134.06570136,47033617.578899994,-10117.505198640001,47023500.07370135
14,10028016.5784,646271.3308,28108.2192,0.0,0.0,0.0,19432298.3582,-12453.4501,16834586.2656,6776.9102,-10494.9628,135.3521448,46963604.2123,-10359.6106552,46953244.6016448
15,10053380.5606,647844.5062,28190.5976,0.0,0.0,0.0,19529621.0345,-12575.5486,16782313.0013,6801.6528,-10500.9609,133.81528536000002,47035575.804400004,-10367.14561464,47025208.658785366
16,9992000.2734,641322.5112,28052.5528,0.0,0.0,0.0,19413219.6677,-12581.8787,16715233.3851,6924.7079,-10197.5756,134.28243,46784171.2194,-10063.29317,46774107.926230006
17,10013314.3704,647246.8168,27876.5192,0.0,0.0,0.0,19539742.9773,-12703.4905,16713781.3952,6944.1138,-10381.7609,133.86968928,46936202.7022,-10247.89121072,46925954.81098928
18,10028051.3835,643685.9633,28331.8126,0.0,0.0,0.0,19639995.5037,-12793.3195,16704438.7632,6906.181,-10277.1784,128.50687367999998,47038616.2878,-10148.67152632,47028467.61627368
19,10118773.4951,644565.2886,28254.202,0.0,0.0,0.0,19538206.6477,-12361.7765,16675835.1591,6802.3076,-10450.8766,132.32630088,47000075.3236,-10318.55029912,46989756.773300886
20,10088594.2588,644041.1986,27927.1079,0.0,0.0,0.0,19467616.6762,-12605.9059,16501640.6304,6806.8187,-10424.2692,131.06225016,46724020.7847,-10293.206949840001,46713727.57775016
21,10107316.4646,644587.693,28379.8686,0.0,0.0,0.0,19542803.3176,-12596.5565,16804542.6131,6836.276,-10464.8799,135.43259184000001,47121869.6764,-10329.447308159999,47111540.22909184
22,10052565.0007,642664.2079,28050.13,0.0,0.0,0.0,19644630.9586,-12642.0082,16718583.8027,6872.6612,-10348.7486,133.07128487999998,47080724.752900004,-10215.677315120001,47070509.07558489
