GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,10064519.5158,646339.8024,28475.9725,0.0,0.0,0.0,19581278.5644,-15263.2602,16733246.6195,7412.4412,-11698.7869,179.25208128,47046009.6556,-11519.53481872,47034490.12078128
1,9989113.4057,643458.9603,28440.1546,0.0,0.0,0.0,19590521.5353,-15971.2387,16756165.8536,7399.982,-11393.985,179.05852224,46999128.6528,-11214.92647776,46987913.72632224
2,9944426.3404,644808.3824,28695.5646,0.0,0.0,0.0,19644497.6496,-15928.5817,16802047.6156,7571.2556,-11475.8293,179.43225408,47056118.2265,-11296.397045919999,47044821.82945408
3,9961058.1767,640523.4178,28676.5553,0.0,0.0,0.0,19546084.3294,-15687.5496,16700027.0372,7599.2332,-11375.1503,178.87626864,46868281.199999996,-11196.274031359999,46857084.92596863
4,10063112.9091,642779.1999,28512.6269,0.0,0.0,0.0,19371806.4641,-14928.6999,16633274.5236,7449.6625,-12058.7732,177.96962735999998,46732006.6862,-11880.80357264,46720125.88262736
5,10104073.9835,645974.608,28689.7293,0.0,0.0,0.0,19660032.9782,-14980.6291,16870517.1824,7427.0639,-11767.1236,175.83296976,47301734.916200005,-11591.29063024,47290143.62556977
6,9988506.0708,642479.7221,28389.5252,0.0,0.0,0.0,19404748.865,-15976.981,16615672.6354,7612.802,-11531.7086,174.3072552,46671432.6395,-11357.4013448,46660075.2381552
7,9953373.234,641491.3769,28635.0494,0.0,0.0,0.0,19503581.5386,-15621.8706,16572760.5569,7588.4883,-11650.9538,173.4267096,46691808.373500004,-11477.527090399999,46680330.846409604
8,9973277.7233,642257.878,28609.4601,0.0,0.0,0.0,19673568.0562,-15747.6806,16657915.7128,7584.9253,-11641.8101,174.91214951999999,46967466.075100005,-11466.89795048,46955999.17714953
9,9961211.5009,641151.0378,28286.834,0.0,0.0,0.0,19409803.6039,-15505.8408,16799246.0318,7530.4291,-11494.3276,177.08786208,46831723.596700005,-11317.239737920001,46820406.356962085
10,10034225.5521,643933.8276,28365.8873,0.0,0.0,0.0,19388755.9515,-15614.8057,16813639.4724,7467.234,-11787.8475,177.046362,46900773.11919999,-11610.801138,46889162.31806199
11,10029749.9613,644120.0718,28656.8655,0.0,0.0,0.0,19583263.8932,-15334.0877,16755039.0989,7458.3208,-11668.669,178.27531488,47032954.1238,-11490.39368512,47021463.730114885
12,10003068.2556,638233.9994,28775.7618,0.0,0.0,0.0,19610274.3901,-15592.8264,16709823.6197,7576.365,-11616.1198,178.89942312,46982159.56519999,-11437.220376880001,46970722.344823115
13,9923844.3292,639851.2272,28873.4595,0.0,0.0,0.0,19581133.2023,-16115.8308,16732998.0901,7539.2658,-11283.4647,172.19833272,46898123.7433,-11111.26636728,46887012.47693272
14,9935337.7266,639446.6396,28664.4309,0.0,0.0,0.0,19386519.0533,-15941.5547,16787854.0264,7443.8567,-11362.3427,177.20076096,46769324.1788,-11185.141939039999,46758139.036860965
15,9878437.8137,639647.1297,28593.2713,0.0,0.0,0.0,19577306.8508,-15804.5906,16654700.8935,7368.1612,-11583.6325,173.40819191999998,46770249.5296,-11410.22430808,46758839.30529192
16,9898999.4943,639399.2491,28429.0222,0.0,0.0,0.0,19475457.9333,-15964.1757,16678408.8438,7399.9369,-11097.2523,172.91811887999998,46712130.303899996,-10924.33418112,46701205.96971887
17,10012299.5817,644615.6549,28450.2705,0.0,0.0,0.0,19545566.4908,-16266.9052,16798554.9278,7485.803,-11017.7989,172.65328272,47020705.82350001,-10845.145617279999,47009860.67788272
18,9878376.8155,638461.4764,28046.2235,0.0,0.0,0.0,19427936.2347,-15803.1816,16721106.4749,7692.0248,-11388.222,176.03727408,46685816.06820001,-11212.18472592,46674603.88347408
19,9921404.2262,639218.6439,28243.6135,0.0,0.0,0.0,19355497.3915,-16058.793,16714968.2138,7472.8,-11140.4665,178.95155256,46650746.0959,-10961.51494744,46639784.58095256
20,9885166.0523,640412.3021,28519.9451,0.0,0.0,0.0,19521021.0119,-16401.8771,16838609.3989,7475.0794,-11206.44,179.98944768,46904801.91260001,-11026.45055232,46893775.462047696
21,9979403.0889,644443.7535,28290.807,0.0,0.0,0.0,19541286.3661,-16205.4721,16750820.1465,7607.2882,-11207.6059,180.21079584,46935645.978099994,-11027.395104160001,46924618.58299584
22,9950953.7374,642061.0754,28397.4082,0.0,0.0,0.0,19439155.9072,-15892.3631,16649413.4908,7420.5484,-11369.1357,174.62352167999998,46701509.8043,-11194.512178320001,46690315.29212168
23,9940938.2975,641925.566,28546.0082,0.0,0.0,0.0,19458259.8251,-15958.3044,16820098.3753,7406.738,-11430.6926,175.69363607999998,46881216.5057,-11254.998963920001,46869961.506736085
24,10076933.2699,644097.7601,28599.1302,0.0,0.0,0.0,19406688.2075,-15327.202,16774721.4851,7398.3738,-11592.8254,175.10889024,46923111.0246,-11417.71650976,46911693.30809024

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,10064477.4582,646292.4558,28449.2302,0.0,0.0,0.0,19580987.6107,-15270.1882,16733229.9775,7408.9427,-11735.4366,178.72837416000002,47045575.4869,-11556.70822584,47034018.77867416
1,9989066.7996,643409.137,28414.0439,0.0,0.0,0.0,19590469.9606,-15973.9184,16756151.1141,7398.6604,-11426.7628,178.36519392,46998935.7972,-11248.39760608,46987687.39959392
2,9944381.6655,644760.7153,28672.1094,0.0,0.0,0.0,19644341.6191,-15932.5095,16802032.5076,7567.7898,-11498.8955,178.69337424,47055823.8972,-11320.20212576,47044503.695074245
3,9961017.322,640476.1297,28654.5057,0.0,0.0,0.0,19546013.0113,-15693.447,16700014.2235,7597.7009,-11397.3387,178.14481272,46868079.446100004,-11219.19388728,46856860.252212726
4,10063076.1086,642732.4038,28488.8857,0.0,0.0,0.0,19371769.4202,-14935.0252,16633259.9018,7448.0932,-12085.1741,177.394284,46731839.788100004,-11907.779816,46719932.00828401
5,10104031.8439,645922.9149,28665.5867,0.0,0.0,0.0,19659879.1252,-14990.874,16870501.3869,7429.6732,-11794.714,174.95216208,47301439.656799994,-11619.76183792,47289819.89496207
6,9988463.5381,642426.0302,28364.1755,0.0,0.0,0.0,19404665.6066,-15978.2912,16615658.1676,7608.9085,-11556.4657,173.56736592000001,46671208.1353,-11382.89833408,46659825.236965925
7,9953332.9252,641444.6255,28610.8218,0.0,0.0,0.0,19503577.95,-15627.1573,16572745.5338,7586.4348,-11683.9983,172.75337208,46691671.1338,-11511.24492792,46680159.88887208
8,9973236.316,642200.4697,28586.9934,0.0,0.0,0.0,19673459.6449,-15748.5696,16657902.2536,7579.8925,-11678.5072,174.47081688,46967217.0005,-11504.03638312,46955712.96411688
9,9961170.9448,641103.2996,28261.0767,0.0,0.0,0.0,19409653.6402,-15503.4264,16799233.2151,7530.4647,-11537.2983,176.69345687999999,46831449.2147,-11360.60484312,46820088.60985688
10,10034177.6967,643881.775,28343.0233,0.0,0.0,0.0,19388642.8999,-15625.325,16813625.0261,7468.9592,-11817.832,176.68175616,46900514.0552,-11641.15024384,46888872.90495616
11,10029708.9607,644067.1985,28632.1627,0.0,0.0,0.0,19583235.5949,-15339.9171,16755024.9917,7451.925,-11695.4289,177.92848584,47032780.91639999,-11517.50041416,47021263.41598583
12,10003023.8386,638188.5301,28751.8871,0.0,0.0,0.0,19610229.2902,-15593.0354,16709807.4508,7573.0818,-11650.6395,178.357482,46981981.04319999,-11472.282018,46970508.761181995
13,9923800.2848,639806.1606,28849.5792,0.0,0.0,0.0,19581041.0543,-16120.5925,16732984.1581,7535.441,-11317.806,172.69759008,46897896.085499994,-11145.10840992,46886750.977090076
14,9935287.1883,639401.095,28645.9613,0.0,0.0,0.0,19386353.3909,-15972.3357,16787840.2311,7450.5335,-11378.8878,177.15011112000002,46769006.0644,-11201.73768888,46757804.32671112
15,9878403.3791,639597.3587,28570.6403,0.0,0.0,0.0,19577304.109,-15811.3105,16654687.8626,7367.4462,-11610.2855,173.62482624,46770119.4854,-11436.66067376,46758682.82472624
16,9898953.8971,639357.7372,28409.6683,0.0,0.0,0.0,19475399.9768,-15969.7757,16678394.1095,7404.0596,-11130.2406,173.34738072,46711949.672800004,-10956.893219279998,46700992.77958073
