GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,9924050.4202,641265.9795,28330.6397,0.0,0.0,0.0,19441287.4973,-15469.8438,16856801.7719,7768.2367,-11817.1235,183.77750663999998,46884034.70149999,-11633.345993359999,46872401.355506636
1,10001590.8406,642339.826,28649.9992,0.0,0.0,0.0,19324927.8243,-15509.0367,16629219.9587,7786.4538,-11834.3061,182.06116488,46619005.865899995,-11652.24493512,46607353.62096487
2,9989319.8853,643035.7757,28842.7262,0.0,0.0,0.0,19523907.5621,-15025.1994,16681215.0559,7664.767,-11978.0186,181.11818232,46858960.572799996,-11796.900417679999,46847163.67238231
3,10049146.4718,643010.8989,28375.0669,0.0,0.0,0.0,19500746.158,-15432.2403,16868102.0258,7542.1391,-11541.5707,178.10245079999999,47081490.5202,-11363.468249200001,47070127.051950805
4,10057217.866,641197.4571,28378.0645,0.0,0.0,0.0,19512392.6875,-15457.494,16780052.6916,7724.3675,-11408.2384,180.82855368,47011505.6402,-11227.40984632,47000278.230353676
5,10018892.3352,643975.7116,28411.2767,0.0,0.0,0.0,19593395.1365,-15585.2135,16801432.1869,7634.1796,-11722.2526,183.28878216,47078155.613000005,-11538.96381784,47066616.64918216
6,10043375.0089,643030.1404,28409.2987,0.0,0.0,0.0,19633099.9567,-15646.8241,16651653.3769,7585.4526,-11612.348,183.72685751999998,46991506.410100006,-11428.62114248,46980077.78895753
7,10128437.1167,644660.174,28426.6985,0.0,0.0,0.0,19549422.3615,-15636.0587,16632053.87,7497.3685,-11295.4189,182.95223256,46974861.5305,-11112.466667440001,46963749.063832566
8,10102568.753,644962.3618,28346.7243,0.0,0.0,0.0,19419064.6495,-15823.8198,16716994.7696,7753.1372,-11368.2697,177.80839991999997,46903866.5756,-11190.46130008,46892676.11429992
9,10008069.3302,641956.4677,28252.5696,0.0,0.0,0.0,19472004.1918,-15836.9742,16833948.131,7778.6602,-11267.3327,177.01920359999997,46976172.3763,-11090.3134964,46965082.0628036
10,10114479.1144,644398.7071,28629.8818,0.0,0.0,0.0,19434815.9445,-15808.477,16783120.7986,7637.7462,-11414.734,178.26454368,46997273.7156,-11236.469456320001,46986037.246143684
11,10096383.781,645520.8908,28399.5654,0.0,0.0,0.0,19451658.1566,-15096.1471,16656091.4483,7547.0942,-11761.4246,184.21978823999999,46870504.78919999,-11577.20481176,46858927.58438823
12,10177235.4907,644934.8984,28262.8117,0.0,0.0,0.0,19537461.0886,-14729.1816,16680008.9448,7491.7514,-11960.4788,182.88367488,47060665.804,-11777.59512512,47048888.20887488
13,10201727.8724,649687.7583,28394.1618,0.0,0.0,0.0,19464898.4061,-15507.2945,16766511.3324,7590.1261,-11690.165,181.69393896,47103302.362600006,-11508.471061040002,47091793.89153897
14,10097759.7438,641508.7592,28521.7632,0.0,0.0,0.0,19482342.8658,-15351.33,16718358.1376,7579.9369,-11665.2964,179.66286431999998,46960719.876499996,-11485.63353568,46949234.24296431
15,10074909.1096,642848.1921,28256.9513,0.0,0.0,0.0,19439493.0168,-15378.2921,16794045.9142,7725.0754,-11430.4874,177.60037608,46971899.967300005,-11252.88702392,46960647.08027608
16,10059330.7217,642213.3979,28288.1615,0.0,0.0,0.0,19565395.1936,-15793.0129,16746408.2439,7752.6081,-11436.9942,183.34621872,47033595.31379999,-11253.647981279999,47022341.66581871
17,10104995.7684,643901.8589,28723.4575,0.0,0.0,0.0,19492100.4857,-15768.1354,16755993.4275,7618.5654,-11627.8744,181.87135343999998,47017565.427999996,-11446.003046560001,47006119.42495344
18,10061461.0248,644307.9528,28523.998,0.0,0.0,0.0,19341051.9175,-15618.3613,16731526.4925,7631.475,-11593.3517,180.1151784,46798884.4993,-11413.2365216,46787471.2627784
19,10145175.1715,643633.3298,28309.2802,0.0,0.0,0.0,19517632.7449,-14799.5701,16788567.8203,7488.4848,-11877.593,181.68280199999998,47116007.26140001,-11695.910198000001,47104311.351202
