GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,9999543.5891,643320.3832,28079.6433,0.0,0.0,0.0,19404807.257,-12266.3498,16814383.0834,7456.2208,-10780.095,147.16784807999997,46885323.82699999,-10632.92715192,46874690.89984807
1,10058730.6111,642602.4243,28099.4948,0.0,0.0,0.0,19366940.3786,-12669.814,16771617.3985,7379.6882,-10792.9179,147.50228736,46862700.181499995,-10645.415612640001,46852054.76588735
2,10060808.1694,646634.8154,28035.8773,0.0,0.0,0.0,19553064.6897,-12969.1886,16810424.5534,7449.0896,-10428.932,146.31544223999998,47093448.00619999,-10282.61655776,47083165.38964224
3,10060546.0343,644718.2392,28110.6581,0.0,0.0,0.0,19633848.1228,-12363.3037,16585936.8997,7523.4894,-10807.7419,145.90588608,46948320.1398,-10661.836013920001,46937658.30378608
4,10042698.4423,642365.5986,27851.3121,0.0,0.0,0.0,19547486.6471,-12176.9555,16732117.7713,7328.0649,-10692.5458,148.45786992,46987670.8808,-10544.08793008,46977126.79286992
5,10160082.43,644544.549,27963.7858,0.0,0.0,0.0,19429097.0866,-12257.2471,16633214.0489,7359.9327,-11036.1868,150.131358,46890004.5859,-10886.055441999999,46879118.530457996
6,10110606.094,645307.1284,27875.9577,0.0,0.0,0.0,19515234.7699,-12266.7292,16795472.8506,7320.3927,-11066.1465,149.17789152,47089550.4641,-10916.968608480001,47078633.49549153
7,10152574.444,643994.3627,27900.9759,0.0,0.0,0.0,19387817.6779,-12013.7351,16634507.1976,7421.6821,-11260.0039,149.22717696,46842202.6051,-11110.77672304,46831091.82837696
8,10125008.4103,643945.6641,28050.7086,0.0,0.0,0.0,19520522.2062,-11945.9392,16702644.0604,7477.5463,-11538.523,152.98505208,47015702.6567,-11385.53794792,47004317.11875208
9,10045588.8815,642767.9993,28102.9322,0.0,0.0,0.0,19601604.7486,-12173.1185,16789659.2704,7330.2515,-11174.4802,150.98943024,47102880.964999996,-11023.49076976,47091857.47423024
10,10012407.9712,644855.4876,27933.2963,0.0,0.0,0.0,19385366.8675,-12227.9814,16724537.2837,7413.6596,-11207.823,150.47575632,46790286.58449999,-11057.34724368,46779229.23725631
11,9971375.4242,639941.5629,28252.1215,0.0,0.0,0.0,19343293.8999,-12382.1499,16708513.1147,7481.2498,-11151.4781,150.64319088000002,46686475.2231,-11000.83490912,46675474.38819088
12,10012102.0277,638368.282,28113.787,0.0,0.0,0.0,19401324.9812,-12480.9938,16752544.2024,7609.0744,-11209.9286,147.5505288,46827581.3609,-11062.378071199999,46816518.9828288
13,10102395.3142,642318.7558,28206.664,0.0,0.0,0.0,19563508.2833,-12783.8276,16755885.7037,7470.2188,-10698.2867,146.01043008,47087001.11220001,-10552.276269920001,47076448.83593009
14,10044776.9956,643015.4796,28158.816,0.0,0.0,0.0,19478557.5597,-12485.8711,16704110.0645,7588.411,-10824.9197,146.1366252,46893721.4553,-10678.7830748,46883042.67222521
15,10045690.7713,640362.976,27889.22,0.0,0.0,0.0,19535077.5685,-12525.9981,16832388.8412,7405.1333,-11160.5856,148.43208816,47076288.512200005,-11012.15351184,47065276.35868816
16,10021158.6629,638879.5594,28255.737,0.0,0.0,0.0,19660250.428,-12600.0306,16573737.8623,7463.8798,-10849.8026,147.0250008,46917146.098799996,-10702.7775992,46906443.3212008
17,10131192.9195,644403.401,28080.1938,0.0,0.0,0.0,19675488.5518,-12299.9836,16731245.0738,7407.3222,-11226.5968,151.30676087999998,47205517.4785,-11075.29003912,47194442.18846088
18,10101921.2902,641712.8699,27856.4055,0.0,0.0,0.0,19490480.9601,-12086.1488,16766669.0829,7506.5779,-11050.525,149.98077792,47024061.0377,-10900.54422208,47013160.49347792
