GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,15289693.2526,939712.8416,42082.8969,0.0,0.0,0.0,26728298.5616,-14667.4228,23532959.8212,5595.9733,-20839.902,239.53195368,66523675.9244,-20600.370046319997,66503075.55435368
1,15393259.5587,941666.8062,42430.6237,0.0,0.0,0.0,26589129.7642,-14127.7761,23625961.4139,5517.6514,-21310.086,240.96457944,66583838.041999996,-21069.12142056,66562768.92057943
2,15325312.5847,942573.1147,42444.4044,0.0,0.0,0.0,26723690.0551,-13600.7951,23548779.8157,5519.8355,-20939.0154,235.64345472,66574719.015,-20703.37194528,66554015.643054724
3,15392549.1937,938285.0728,42229.9179,0.0,0.0,0.0,26732288.2612,-14203.9921,23455405.4048,5478.9697,-20720.8098,239.87209464000003,66552032.828,-20480.93770536,66531551.89029464
4,15376565.406,944373.0587,42311.4324,0.0,0.0,0.0,26908575.6451,-14694.1909,23404241.9182,5350.5214,-20810.5762,240.34228415999996,66666723.7909,-20570.23391584,66646153.55698416
5,15373790.9312,941126.1798,41835.9541,0.0,0.0,0.0,26913975.2532,-14193.888,23321489.8017,5160.3108,-20980.4824,241.13389607999997,66583184.542799994,-20739.348503920002,66562445.19429608
6,15433083.7689,940160.9936,42144.5883,0.0,0.0,0.0,26764460.6177,-14040.0855,23287394.339,5021.6908,-21340.65,240.32583,66458225.91280001,-21100.32417,66437125.588630006
7,15434188.6905,938467.7904,42430.0519,0.0,0.0,0.0,26755950.7919,-14263.634,23359407.8923,5314.1237,-21154.7604,242.24523408,66521495.70669999,-20912.51516592,66500583.19153407
8,15518637.55,948521.0539,42548.5019,0.0,0.0,0.0,26877797.933,-14152.4835,23465567.7033,5403.3929,-21024.0755,239.55440976,66844323.6515,-20784.52109024,66823539.13040976
9,15432126.8936,946766.3982,42223.2386,0.0,0.0,0.0,26678200.7585,-14148.8854,23479127.098,5491.1446,-21123.161,242.00940888,66569786.64610001,-20881.15159112,66548905.494508885
10,15268591.8077,941217.4831,42365.2874,0.0,0.0,0.0,26682732.4096,-14475.8057,23253270.7247,5581.7667,-20556.9015,235.58443416,66179283.6735,-20321.31706584,66158962.35643416
11,15269801.6903,937286.6694,42534.8682,0.0,0.0,0.0,26729478.749,-14289.3692,23596532.9149,5464.8534,-20692.613,236.64641400000002,66566810.37600001,-20455.966586000002,66546354.40941401
12,15388513.4631,946021.86,42227.1684,0.0,0.0,0.0,26779418.4564,-14526.3899,23466916.8542,5536.6146,-20769.8503,237.224196,66614108.02680001,-20532.626104,66593575.40069601
13,15415348.1655,942996.1414,42183.5502,0.0,0.0,0.0,26682166.0157,-13563.252,23294344.9058,5404.5083,-21290.168,235.93893984,66368880.0349,-21054.22906016,66347825.805839844
14,15268849.8522,937715.176,42206.6211,0.0,0.0,0.0,26833755.26,-14102.8,23468381.0677,5287.6869,-21064.2234,233.6317848,66542092.8639,-20830.5916152,66521262.2722848
15,15214590.8009,938879.468,42206.9248,0.0,0.0,0.0,26951251.8971,-14470.9258,23614740.8799,5274.8329,-20571.2036,233.45406072,66752473.8778,-20337.74953928,66732136.128260724
16,15287302.7212,939953.5769,42461.5045,0.0,0.0,0.0,26742623.5436,-14386.473,23549079.6483,5245.2356,-20661.9459,234.56789064,66552279.75710001,-20427.37800936,66531852.379090644
17,15402709.4948,939910.4259,42539.6012,0.0,0.0,0.0,26808349.741,-13958.2032,23451846.1668,5256.561,-20873.3973,235.06878168,66636653.787499994,-20638.328518320002,66616015.45898168
