#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-1004972.4635347696,301.46395738002,0
70000,-1003549.8483003946,302.9536654330475,137
80000,-1005448.0025972696,299.62472612889445,137
90000,-1007186.7154878946,299.2740843378138,137
100000,-1007595.6656832071,302.16686279175036,139
110000,-1005466.3844332071,299.2998391067827,139
120000,-1005712.3619722696,299.2508888975619,138
130000,-1007436.1070894571,300.03023799874245,138
140000,-1006245.9654878946,299.15724429987233,138
150000,-1004887.9352144571,298.9719646275618,138
160000,-1003602.1168550821,300.5313237883352,138
170000,-1005743.0836519571,299.9012771842781,138
180000,-1006272.7379488321,299.2982132968692,138
190000,-1006085.2789644571,299.1690661022681,138
200000,-1006090.1715425821,301.29013151791344,138
210000,-1008354.4957613321,298.39879211536595,139
220000,-1003927.6559175821,301.7190763404363,139
230000,-1007792.6109957071,300.58372441333404,139
240000,-1007221.0690035196,301.4499504732018,139
250000,-1006699.3365816446,301.2057314930317,139
260000,-1007189.9088472696,301.0434420446428,139
270000,-1006646.0699800821,300.562176049544,139
280000,-1006394.5768160196,298.0918804116802,139
290000,-1007839.7193941446,301.09859165615177,138
300000,-1008206.6656832071,301.47232650577985,138
310000,-1005494.2633394571,299.68986254076884,138
320000,-1005814.0553316446,301.3069028009362,139
330000,-1003783.9449800821,298.8246454933255,139
340000,-1008443.3024019571,300.0023662226864,139
350000,-1005105.1227144571,303.5770923102393,139
360000,-1005535.6188082071,299.5988156300312,139
370000,-1006421.9400972696,301.4358365388671,139
380000,-1005262.1402925821,298.77849443892126,138
390000,-1004696.6227144571,299.99300630504354,138
400000,-1007365.1608003946,299.6119981782014,138
410000,-1007226.9947847696,299.8143907228021,138
420000,-1007070.7438082071,300.24511375823175,138
430000,-1005697.9645113321,301.9391483282209,139
440000,-1004860.4361910196,300.90506611808297,139
450000,-1005140.6461519571,298.65356620383005,139
460000,-1005385.9449800821,298.340021903134,139
470000,-1007288.4625582071,300.0556904283959,139
480000,-1007341.7311128946,300.0119453768295,139
490000,-1004979.7809175821,300.83867004998024,139
500000,-1005320.5826753946,300.65421311598243,138
510000,-1006791.8121675821,299.6404134727166,138
520000,-1008016.3043550821,300.4583154037759,138
530000,-1007666.1900972696,299.85910507009004,138
540000,-1007269.8531832071,301.1477038154197,139
550000,-1008691.1373628946,300.5838529399145,139
560000,-1005067.9225191446,300.8062439250354,139
570000,-1006923.1188082071,299.2096973771572,139
580000,-1007435.7399019571,301.1245780309513,139
590000,-1005082.0807222696,300.80921222266284,139
600000,-1006440.7457613321,299.6898638216268,139
610000,-1005784.0221285196,298.4826425942446,139
620000,-1007971.2711519571,299.4666725806245,139
630000,-1004813.8971285196,300.47591387426866,139
640000,-1006732.0387300821,298.09552755744204,139
650000,-1005704.7428316446,301.4099261237738,139
660000,-1006762.2682222696,301.83339717126995,139
670000,-1006688.7945894571,302.42900759741474,139
680000,-1006990.4303316446,300.50425603845343,139
690000,-1006346.4713472696,300.42477803170567,139
700000,-1005670.8004488321,298.95990940748663,139
710000,-1007409.8834566446,300.5236055465358,139
720000,-1006992.2926363321,298.34285089664496,139
730000,-1006363.6412691446,300.13239152070145,139
740000,-1006671.8043550821,300.46229683083897,139
750000,-1007615.9508394571,302.4294150008934,139
760000,-1005765.0318941446,300.4417652928761,139
770000,-1005599.8961519571,300.0327947716445,139
780000,-1007300.4010347696,299.9590451435185,139
790000,-1007967.5524019571,299.0318663557415,139
800000,-1008184.5191988321,300.4995812264678,139
810000,-1005349.4215425821,302.0744902090187,139
820000,-1008040.6080660196,301.0287696575227,139
830000,-1005369.8190035196,300.4942981619305,139
840000,-1006578.7047457071,302.9089994964325,139
850000,-1006571.9264253946,299.5274998328579,139
860000,-1007246.9498628946,300.92310513971364,139
870000,-1006062.1637300821,301.165583503777,139
880000,-1006050.9440035196,300.957281412258,139
890000,-1007111.0182222696,299.38402818143,139
900000,-1008049.2565035196,298.9333488402519,139
910000,-1004976.3395113321,300.3416528635154,139
920000,-1005525.4166597696,299.04586726522956,139
930000,-1004769.0709566446,301.8264382364551,139
940000,-1005189.4664644571,301.1308175691139,139
950000,-1005694.2916597696,300.51656497293095,139
960000,-1006268.6783785196,300.051286383259,139
970000,-1007465.1539644571,297.5946781221085,139
980000,-1007651.8785738321,300.54478265581747,139
990000,-1006418.6568941446,302.18447877934875,139
1000000,-1006839.1305269571,299.68233803746574,139
1010000,-1006800.8746675821,300.8303706323834,139
1020000,-1005340.5025972696,300.447816488071,139
1030000,-1006693.6559175821,298.98722710417337,139
1040000,-1006669.0436128946,297.83455525934727,139
1050000,-1006078.8443941446,299.4280820570929,139
1060000,-1005707.5563082071,299.9033853849687,139
1070000,-1004864.5494722696,301.3963335531239,139
1080000,-1005294.7779878946,298.9718009331355,139
1090000,-1006707.3941988321,303.28479898277436,139
1100000,-1007857.4391207071,301.7909295787542,139
1110000,-1006748.0309175821,301.3353709493339,139
1120000,-1006667.7486910196,298.0051314980548,139
