#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-17837782.353577286,300.4810420716911,0
70000,-17841710.541077286,300.7181617142506,6.51
80000,-17842622.603577286,300.027634338654,6.52
90000,-17844179.728577286,300.5531296136862,6.52
100000,-17850325.369202286,300.5334817987484,6.52
110000,-17842460.431702286,300.07487224779163,6.52
120000,-17846132.134827286,300.57024700908823,6.52
130000,-17831709.462952286,300.3165055440674,6.52
140000,-17844864.603577286,300.14861451807514,6.52
150000,-17844639.103577286,300.13242506495425,6.52
160000,-17845030.150452286,300.24980562499,6.52
170000,-17836501.431702286,300.693249724422,6.52
180000,-17844642.994202286,300.4023671508677,6.52
190000,-17839097.791077286,300.2579780422464,6.52
200000,-17850230.181702286,300.33650423126943,6.52
210000,-17841886.837952286,301.0356147797392,6.52
220000,-17845580.744202286,300.63870828390736,6.52
230000,-17840413.478577286,300.4784723690522,6.52
240000,-17848336.822327286,300.2061324463309,6.52
250000,-17849365.181702286,300.13155722139396,6.52
260000,-17845043.462952286,300.29274056855655,6.52
270000,-17840386.431702286,300.88841639539754,6.52
280000,-17842233.447327286,300.29609992508034,6.52
290000,-17841581.994202286,300.27235120415395,6.52
300000,-17846384.978577286,300.2923742618069,6.52
310000,-17844166.166077286,300.8067224742515,6.52
320000,-17848107.572327286,300.3871910555341,6.52
330000,-17844680.744202286,300.62669161554265,6.52
340000,-17855559.869202286,300.240901420197,6.52
350000,-17845386.134827286,300.75409409367876,6.52
360000,-17833867.806702286,299.71216490951855,6.52
370000,-17844611.947327286,300.205684006121,6.52
380000,-17849483.306702286,300.06681311495544,6.52
390000,-17836035.962952286,300.25979124183,6.52
400000,-17841498.572327286,301.05294223389046,6.52
410000,-17842628.072327286,300.20980551220214,6.52
420000,-17844455.228577286,300.2076530490518,6.52
430000,-17850456.322327286,300.0469672969786,6.52
440000,-17839294.978577286,300.611073284394,6.52
450000,-17849048.712952286,300.50164228971204,6.52
460000,-17839289.712952286,300.3998865388333,6.53
470000,-17850002.353577286,300.3607826365123,6.61
