frame,time_ns,dfg_dihedral_deg
0,0.000,166.92
1,0.100,157.77
2,0.200,167.39
3,0.300,164.68
4,0.400,164.41
5,0.500,164.54
6,0.600,154.84
7,0.700,174.07
8,0.800,162.98
9,0.900,166.04
10,1.000,168.15
11,1.100,167.94
12,1.200,173.19
13,1.300,169.82
14,1.400,159.68
15,1.500,164.53
16,1.600,157.33
17,1.700,171.13
18,1.800,166.59
19,1.900,156.54
20,2.000,168.98
21,2.100,175.01
22,2.200,164.11
23,2.300,146.88
24,2.400,172.33
25,2.500,162.76
26,2.600,155.77
27,2.700,159.75
28,2.800,155.71
29,2.900,147.03
30,3.000,161.25
31,3.100,160.96
32,3.200,160.08
33,3.300,156.20
34,3.400,155.27
35,3.500,156.32
36,3.600,160.06
37,3.700,159.72
38,3.800,154.22
39,3.900,150.84
40,4.000,157.30
41,4.100,164.36
42,4.200,160.68
43,4.300,147.22
44,4.400,156.34
45,4.500,154.51
46,4.600,153.77
47,4.700,170.13
48,4.800,156.45
49,4.900,162.32
50,5.000,173.10
51,5.100,163.95
52,5.200,161.54
53,5.300,151.51
54,5.400,151.89
55,5.500,151.39
56,5.600,151.76
57,5.700,161.75
58,5.800,148.64
59,5.900,151.10
60,6.000,154.76
61,6.100,150.31
62,6.200,149.09
63,6.300,149.93
64,6.400,163.86
65,6.500,160.34
66,6.600,155.36
67,6.700,148.43
68,6.800,151.04
69,6.900,158.77
70,7.000,158.22
71,7.100,155.27
72,7.200,156.30
73,7.300,159.87
74,7.400,158.62
75,7.500,157.68
76,7.600,150.61
77,7.700,151.40
78,7.800,149.27
79,7.900,163.16
80,8.000,161.73
81,8.100,165.18
82,8.200,167.47
83,8.300,156.33
84,8.400,162.04
85,8.500,149.47
86,8.600,152.19
87,8.700,153.42
88,8.800,158.56
89,8.900,152.99
90,9.000,159.40
91,9.100,159.23
92,9.200,160.21
93,9.300,148.08
94,9.400,160.47
95,9.500,155.42
96,9.600,160.95
97,9.700,159.03
98,9.800,162.35
99,9.900,168.13
100,10.000,165.95
101,10.100,150.39
102,10.200,160.73
103,10.300,162.54
104,10.400,156.06
105,10.500,158.62
106,10.600,160.26
107,10.700,170.83
108,10.800,151.96
109,10.900,166.00
110,11.000,161.16
111,11.100,158.60
112,11.200,158.77
113,11.300,164.34
114,11.400,171.35
115,11.500,162.96
116,11.600,167.94
117,11.700,150.40
118,11.800,159.57
119,11.900,157.66
120,12.000,156.64
121,12.100,151.44
122,12.200,154.98
123,12.300,150.99
124,12.400,150.74
125,12.500,155.98
126,12.600,153.60
127,12.700,156.27
128,12.800,150.76
129,12.900,160.01
130,13.000,161.93
131,13.100,161.79
132,13.200,165.31
133,13.300,152.31
134,13.400,158.83
135,13.500,153.39
136,13.600,157.72
137,13.700,158.44
138,13.800,155.51
139,13.900,161.43
140,14.000,160.48
141,14.100,161.15
142,14.200,165.12
143,14.300,159.82
144,14.400,156.26
145,14.500,150.29
146,14.600,151.23
147,14.700,153.61
148,14.800,157.27
149,14.900,161.98
150,15.000,162.16
151,15.100,168.99
152,15.200,164.51
153,15.300,167.97
154,15.400,155.87
155,15.500,164.63
156,15.600,165.37
157,15.700,164.35
158,15.800,156.52
159,15.900,139.57
160,16.000,155.42
161,16.100,169.18
162,16.200,163.87
163,16.300,154.60
164,16.400,160.01
165,16.500,162.21
166,16.600,157.62
167,16.700,161.70
168,16.800,166.71
169,16.900,163.34
170,17.000,163.29
171,17.100,157.16
172,17.200,160.64
173,17.300,163.07
174,17.400,159.93
175,17.500,162.61
176,17.600,150.21
177,17.700,158.94
178,17.800,153.89
179,17.900,169.43
180,18.000,165.29
181,18.100,160.34
182,18.200,157.47
183,18.300,161.77
184,18.400,159.75
185,18.500,161.00
186,18.600,161.43
187,18.700,169.89
188,18.800,163.63
189,18.900,162.89
190,19.000,160.23
191,19.100,160.10
192,19.200,164.62
193,19.300,169.84
194,19.400,159.13
195,19.500,155.00
196,19.600,163.36
197,19.700,167.68
198,19.800,157.11
199,19.900,163.38
200,20.000,154.84
201,20.100,161.47
202,20.200,164.01
203,20.300,172.91
204,20.400,164.29
205,20.500,161.96
206,20.600,160.04
207,20.700,165.03
208,20.800,162.89
209,20.900,165.51
210,21.000,160.90
211,21.100,169.03
212,21.200,151.85
213,21.300,154.22
214,21.400,161.65
215,21.500,144.13
216,21.600,157.90
217,21.700,158.73
218,21.800,165.67
219,21.900,163.39
220,22.000,172.96
221,22.100,160.42
222,22.200,169.06
223,22.300,162.38
224,22.400,166.98
225,22.500,164.31
226,22.600,166.23
227,22.700,170.00
228,22.800,166.25
229,22.900,159.47
230,23.000,159.22
231,23.100,152.04
232,23.200,163.76
233,23.300,161.81
234,23.400,164.66
235,23.500,155.21
236,23.600,152.47
237,23.700,160.89
238,23.800,168.75
239,23.900,156.01
240,24.000,158.24
241,24.100,161.34
242,24.200,160.20
243,24.300,150.64
244,24.400,160.24
245,24.500,157.96
246,24.600,158.97
247,24.700,157.61
248,24.800,165.69
249,24.900,153.10
250,25.000,167.44
251,25.100,167.20
252,25.200,153.29
253,25.300,163.27
254,25.400,149.90
255,25.500,159.53
256,25.600,161.27
257,25.700,156.51
258,25.800,169.86
259,25.900,155.51
260,26.000,154.37
261,26.100,154.11
262,26.200,162.13
263,26.300,166.94
264,26.400,153.18
265,26.500,147.21
266,26.600,150.92
267,26.700,157.99
268,26.800,155.28
269,26.900,165.96
270,27.000,173.49
271,27.100,166.05
272,27.200,163.00
273,27.300,161.19
274,27.400,162.33
275,27.500,167.07
276,27.600,159.21
277,27.700,163.93
278,27.800,158.09
279,27.900,164.47
280,28.000,154.42
281,28.100,160.66
282,28.200,145.89
283,28.300,149.33
284,28.400,156.36
285,28.500,159.02
286,28.600,155.08
287,28.700,174.62
288,28.800,140.27
289,28.900,142.42
290,29.000,150.01
291,29.100,152.48
292,29.200,148.36
293,29.300,144.65
294,29.400,150.99
295,29.500,157.69
296,29.600,151.22
297,29.700,147.97
298,29.800,163.12
299,29.900,165.23
300,30.000,165.02
301,30.100,152.91
302,30.200,166.09
303,30.300,157.12
304,30.400,154.84
305,30.500,161.93
306,30.600,167.88
307,30.700,170.13
308,30.800,155.00
309,30.900,154.10
310,31.000,157.81
311,31.100,156.74
312,31.200,156.43
313,31.300,168.57
314,31.400,163.15
315,31.500,166.42
316,31.600,160.82
317,31.700,154.43
318,31.800,165.76
319,31.900,153.44
320,32.000,151.65
321,32.100,158.17
322,32.200,156.58
323,32.300,149.90
324,32.400,155.56
325,32.500,163.93
326,32.600,162.04
327,32.700,160.03
