frame,time_ns,pocket_rg_A
0,0.000,16.985
1,0.100,17.008
2,0.200,16.912
3,0.300,16.898
4,0.400,16.940
5,0.500,17.045
6,0.600,17.191
7,0.700,17.069
8,0.800,17.146
9,0.900,17.054
10,1.000,17.034
11,1.100,17.001
12,1.200,17.193
13,1.300,17.123
14,1.400,17.265
15,1.500,17.127
16,1.600,17.219
17,1.700,17.098
18,1.800,16.992
19,1.900,17.196
20,2.000,17.001
21,2.100,17.077
22,2.200,17.071
23,2.300,17.146
24,2.400,17.222
25,2.500,17.066
26,2.600,17.215
27,2.700,17.183
28,2.800,16.960
29,2.900,17.140
30,3.000,16.976
31,3.100,17.280
32,3.200,17.194
33,3.300,17.317
34,3.400,17.376
35,3.500,17.331
36,3.600,17.094
37,3.700,17.111
38,3.800,17.126
39,3.900,17.243
40,4.000,17.343
41,4.100,17.117
42,4.200,17.247
43,4.300,17.403
44,4.400,17.166
45,4.500,17.011
46,4.600,17.227
47,4.700,17.040
48,4.800,17.177
49,4.900,17.281
50,5.000,17.167
51,5.100,17.138
52,5.200,17.048
53,5.300,17.138
54,5.400,17.075
55,5.500,17.121
56,5.600,17.176
57,5.700,16.851
58,5.800,16.865
59,5.900,17.065
60,6.000,17.425
61,6.100,17.248
62,6.200,16.928
63,6.300,16.967
64,6.400,16.957
65,6.500,17.161
66,6.600,17.112
67,6.700,17.210
68,6.800,17.193
69,6.900,17.350
70,7.000,16.879
71,7.100,16.888
72,7.200,17.266
73,7.300,16.929
74,7.400,17.047
75,7.500,17.006
76,7.600,16.938
77,7.700,17.100
78,7.800,16.987
79,7.900,17.128
80,8.000,16.901
81,8.100,16.939
82,8.200,17.308
83,8.300,16.962
84,8.400,17.090
85,8.500,17.168
86,8.600,17.343
87,8.700,17.003
88,8.800,17.217
89,8.900,17.188
90,9.000,17.235
91,9.100,17.020
92,9.200,17.213
93,9.300,17.150
94,9.400,17.244
95,9.500,17.204
96,9.600,17.137
97,9.700,17.234
98,9.800,17.090
99,9.900,16.987
100,10.000,16.842
101,10.100,16.994
102,10.200,17.063
