time_ns,rmsd_all_A,rmsd_dfg_region_A,rmsd_nlobe_A
0.200,0.000,0.000,0.000
0.300,1.124,0.732,0.966
0.400,1.476,0.895,1.316
0.500,1.547,0.973,1.140
0.600,1.656,0.946,1.087
0.700,1.666,1.086,1.136
0.800,1.882,1.251,1.389
0.900,2.029,1.274,1.385
1.000,2.090,1.509,1.525
1.100,2.147,1.516,1.680
1.200,2.381,1.355,2.195
1.300,2.739,1.313,2.308
1.400,3.001,1.808,2.438
1.500,3.298,1.769,2.605
1.600,3.021,1.736,2.471
1.700,3.147,1.804,2.679
1.800,3.421,2.055,2.876
1.900,3.668,2.041,2.807
2.000,3.764,2.054,2.902
2.100,3.852,2.212,3.269
2.200,3.772,2.109,3.156
2.300,3.635,2.068,2.990
2.400,3.960,2.133,3.472
2.500,4.516,2.612,4.043
2.600,5.001,2.984,4.456
2.700,5.066,3.036,4.576
2.800,5.002,3.017,4.480
2.900,4.712,2.525,3.973
3.000,4.892,2.566,4.494
3.100,5.128,2.691,4.475
3.200,5.125,2.484,4.522
3.300,4.785,2.580,4.320
3.400,4.771,2.556,4.226
3.500,4.523,2.411,4.199
3.600,4.444,2.437,4.225
3.700,4.490,2.414,4.285
3.800,4.890,2.710,4.719
3.900,5.010,2.951,4.837
4.000,5.108,2.867,5.023
4.100,4.699,2.322,4.399
4.200,4.520,2.116,4.417
4.300,4.415,2.158,4.366
4.400,4.708,2.653,4.637
4.500,5.171,2.938,5.011
4.600,5.229,2.807,5.092
4.700,5.207,2.998,4.784
4.800,5.785,3.439,5.467
4.900,5.509,3.222,5.076
5.000,5.400,3.225,4.938
5.100,5.393,2.828,4.840
5.200,5.244,2.592,4.553
5.300,5.297,2.683,4.714
5.400,5.543,3.041,4.802
5.500,5.494,2.823,4.579
5.600,5.610,2.961,4.684
5.700,6.148,3.344,5.440
5.800,6.493,3.513,5.724
5.900,6.099,3.360,5.600
6.000,6.205,2.963,5.442
6.100,6.476,3.331,5.717
6.200,6.549,3.358,5.739
6.300,6.708,3.852,6.046
6.400,7.104,4.201,6.745
6.500,7.190,4.151,6.936
6.600,6.936,3.802,6.743
6.700,7.212,4.107,6.766
6.800,7.345,4.125,6.717
6.900,8.069,4.365,7.330
7.000,8.310,4.809,7.966
7.100,8.682,5.157,8.188
7.200,8.142,4.535,7.403
7.300,8.386,4.841,7.891
7.400,8.754,5.056,8.712
7.500,8.796,5.060,8.581
7.600,8.768,5.024,8.726
7.700,8.818,4.932,8.378
7.800,9.063,5.230,8.647
7.900,9.195,5.381,8.706
8.000,9.782,5.646,9.614
8.100,9.509,5.597,9.172
8.200,9.538,5.585,9.179
8.300,9.497,5.662,9.141
8.400,9.559,5.635,9.260
8.500,9.270,5.351,8.763
8.600,9.378,5.330,8.851
8.700,9.506,5.361,9.174
8.800,9.544,5.575,9.100
8.900,9.800,5.729,9.408
9.000,9.805,5.770,9.268
9.100,9.890,5.864,9.343
9.200,9.690,5.946,8.975
9.300,9.865,5.745,9.198
9.400,10.191,6.060,9.311
9.500,9.804,5.691,8.780
9.600,10.261,6.231,9.385
9.700,10.409,6.399,9.705
9.800,10.032,6.076,9.351
9.900,9.847,5.678,9.292
10.000,9.782,5.684,9.220
10.100,9.599,5.695,9.055
10.200,9.264,5.545,8.930
10.300,9.425,5.643,9.003
10.400,9.242,5.880,8.673
10.500,9.474,6.036,8.781
10.600,9.484,6.061,8.872
10.700,9.938,6.496,9.596
10.800,9.783,6.207,9.233
10.900,9.728,6.006,9.218
11.000,9.874,6.134,9.544
11.100,10.208,6.296,9.853
11.200,10.172,6.320,9.637
11.300,10.331,6.495,9.910
11.400,10.112,6.112,9.485
11.500,10.210,5.819,9.504
11.600,10.749,6.225,10.070
11.700,10.805,6.419,10.244
11.800,10.660,6.524,10.262
11.900,11.101,7.018,10.759
12.000,10.870,6.808,10.763
12.100,10.857,6.896,10.576
12.200,10.689,6.773,10.532
12.300,10.294,6.445,10.160
12.400,10.144,6.366,9.694
12.500,10.131,6.361,9.737
12.600,9.904,5.942,9.400
12.700,9.801,5.595,9.227
12.800,9.875,5.959,9.175
12.900,9.794,5.897,9.125
13.000,9.931,5.968,9.234
13.100,10.184,6.330,9.649
13.200,10.050,5.967,9.670
13.300,10.668,6.658,10.181
13.400,10.509,6.469,10.241
13.500,10.552,6.723,10.385
13.600,10.711,6.295,10.481
13.700,10.929,6.733,10.606
13.800,10.912,6.853,10.690
13.900,10.963,6.546,10.605
14.000,11.158,6.714,10.828
14.100,11.074,6.737,10.872
14.200,10.887,6.566,10.472
14.300,10.968,6.692,10.594
14.400,10.559,6.588,9.994
14.500,10.609,6.305,9.973
14.600,10.505,6.328,9.921
14.700,10.252,6.226,10.022
14.800,10.440,6.386,10.013
14.900,10.650,5.991,10.383
15.000,10.911,6.423,10.553
15.100,10.695,6.264,10.579
15.200,10.746,6.214,10.379
15.300,10.643,6.213,10.566
15.400,10.524,6.174,10.177
15.500,10.328,5.804,9.960
15.600,10.639,6.020,10.227
15.700,10.779,6.100,10.260
15.800,10.727,6.197,10.146
15.900,10.905,6.480,10.423
16.000,11.231,6.488,10.907
16.100,10.800,6.088,10.469
16.200,10.718,6.259,10.148
16.300,10.802,6.026,10.395
16.400,10.557,6.064,10.241
16.500,10.385,6.021,10.150
16.600,10.053,5.695,9.658
16.700,10.094,5.787,9.712
16.800,10.679,6.257,10.607
16.900,10.862,6.449,10.863
17.000,10.583,6.195,10.526
17.100,10.632,6.253,10.615
17.200,10.641,6.279,10.690
17.300,10.724,6.451,10.680
17.400,10.823,6.509,10.706
17.500,10.789,6.498,10.714
17.600,10.757,6.374,10.693
17.700,10.841,6.509,10.787
17.800,11.170,7.039,11.229
17.900,10.921,6.753,11.191
18.000,10.984,6.671,11.421
18.100,11.164,6.501,11.388
18.200,10.895,6.372,11.173
18.300,10.728,6.464,10.937
18.400,11.010,6.705,10.918
18.500,11.012,6.670,11.090
18.600,10.657,6.349,10.536
18.700,10.562,6.357,10.551
18.800,10.713,6.254,10.851
18.900,10.400,5.896,10.471
19.000,10.301,5.771,10.474
19.100,10.335,5.992,10.320
19.200,10.177,5.938,10.218
19.300,10.455,5.966,10.381
19.400,10.402,6.104,9.999
19.500,10.536,6.251,10.213
19.600,10.745,6.623,10.154
19.700,10.663,6.241,10.156
19.800,10.676,6.221,10.271
19.900,10.629,6.379,10.333
20.000,10.316,6.065,9.864
20.100,9.895,5.764,9.274
20.200,9.753,5.956,9.208
20.300,9.829,5.746,9.278
20.400,9.701,5.670,9.157
20.500,10.010,5.853,9.505
20.600,9.909,5.735,9.479
20.700,10.450,6.315,10.067
20.800,10.515,6.296,10.212
20.900,10.315,6.064,9.945
21.000,10.691,6.334,10.263
21.100,11.036,6.593,10.700
21.200,11.088,6.449,10.770
21.300,11.022,6.447,10.605
21.400,11.213,6.615,10.840
21.500,11.117,6.599,10.933
21.600,11.035,6.459,10.650
21.700,10.865,6.435,10.833
21.800,11.104,6.612,11.014
21.900,10.738,6.435,10.506
22.000,10.997,6.607,10.847
22.100,10.772,6.137,10.523
22.200,10.760,6.237,10.663
22.300,10.907,6.312,10.546
22.400,10.833,6.270,10.836
22.500,10.840,6.227,10.715
22.600,10.697,6.098,10.500
22.700,10.903,6.571,10.909
22.800,11.025,6.641,10.828
22.900,11.126,6.764,11.153
23.000,11.195,6.760,11.159
23.100,10.938,6.358,10.743
23.200,11.344,6.740,11.311
23.300,11.488,6.669,11.574
23.400,11.300,6.749,11.434
23.500,11.333,6.712,11.307
23.600,11.770,7.110,11.778
23.700,11.704,6.915,11.394
23.800,11.952,7.409,11.949
23.900,12.084,7.466,12.068
24.000,11.662,6.877,11.770
24.100,11.522,6.856,11.777
24.200,11.399,6.748,11.625
24.300,11.212,6.906,11.415
24.400,11.048,6.717,11.299
24.500,11.378,6.914,11.561
24.600,11.464,7.182,11.755
24.700,11.516,7.093,11.721
24.800,11.750,7.284,12.292
24.900,11.483,7.244,11.905
25.000,11.544,7.268,12.231
25.100,11.362,7.207,11.763
25.200,11.076,6.900,11.345
25.300,10.919,6.884,11.218
25.400,10.674,6.568,10.813
25.500,10.499,6.877,10.898
25.600,10.469,6.458,11.020
25.700,10.420,6.412,10.776
25.800,10.432,6.424,10.716
25.900,9.845,5.994,10.189
26.000,10.024,5.876,10.275
26.100,10.193,6.249,10.800
26.200,10.364,6.389,10.957
26.300,10.214,6.149,10.620
26.400,10.438,6.491,10.894
26.500,10.452,6.422,10.919
26.600,10.487,6.320,11.070
26.700,10.100,5.998,10.617
26.800,9.829,6.081,10.264
26.900,10.275,6.195,10.758
27.000,10.727,6.545,11.020
27.100,10.561,6.367,10.703
27.200,10.865,6.744,11.315
27.300,10.482,6.706,10.707
27.400,10.932,6.830,11.269
27.500,10.899,6.569,11.250
27.600,11.045,6.509,11.441
27.700,11.022,6.785,11.252
27.800,10.521,6.454,10.678
27.900,10.653,6.549,10.917
28.000,10.785,6.403,10.992
28.100,10.652,6.416,10.961
28.200,10.519,6.270,10.698
28.300,10.758,6.607,11.093
28.400,11.106,7.046,11.338
28.500,11.152,6.974,11.637
28.600,11.365,7.276,12.041
28.700,10.989,6.894,11.372
28.800,11.125,6.920,11.696
28.900,11.430,6.865,11.920
29.000,11.168,6.593,11.620
29.100,11.032,6.222,11.309
29.200,11.357,6.834,11.667
29.300,11.246,6.591,11.430
29.400,11.215,6.685,11.542
29.500,10.713,6.253,10.992
29.600,10.942,6.236,11.337
29.700,11.246,6.269,11.604
29.800,11.141,6.234,11.234
29.900,11.216,6.048,11.113
30.000,11.120,6.238,11.261
30.100,11.288,6.425,11.353
30.200,11.207,6.263,11.266
30.300,11.268,6.476,11.298
30.400,11.061,6.150,11.076
30.500,11.294,6.317,11.189
30.600,11.162,6.168,10.933
30.700,11.416,6.305,11.461
30.800,11.538,6.532,11.754
30.900,11.415,6.466,11.623
31.000,11.301,6.483,11.340
31.100,11.484,6.681,11.596
31.200,11.921,7.048,12.045
31.300,11.943,7.065,11.975
31.400,11.977,7.351,12.228
31.500,12.000,7.124,12.038
31.600,12.373,7.306,12.303
31.700,12.064,6.993,11.777
31.800,12.094,7.057,11.493
31.900,12.162,7.369,11.558
32.000,12.246,7.132,11.777
32.100,11.870,6.868,11.196
32.200,11.958,6.984,11.302
32.300,12.049,6.669,10.992
32.400,12.155,6.792,11.255
32.500,12.411,7.096,11.718
32.600,12.125,6.872,11.444
32.700,11.796,6.516,10.996
32.800,11.811,6.696,10.912
32.900,11.596,6.399,10.819
33.000,11.899,6.850,11.058
33.100,11.859,6.626,10.959
33.200,11.897,7.036,11.093
33.300,11.660,6.644,10.902
33.400,11.716,6.766,11.056
33.500,11.601,6.739,11.168
33.600,11.017,6.496,10.494
33.700,11.124,6.668,10.495
33.800,11.254,6.700,10.687
33.900,11.298,6.745,10.818
34.000,10.829,6.175,10.376
34.100,10.352,5.923,9.586
34.200,10.421,6.029,9.928
34.300,10.413,5.869,10.093
34.400,10.225,5.701,9.611
34.500,10.756,6.099,10.278
34.600,10.619,6.002,10.087
34.700,10.718,6.328,10.218
34.800,10.610,6.107,10.046
34.900,10.734,6.256,10.093
35.000,10.838,6.722,10.431
35.100,11.050,6.458,10.638
35.200,11.096,6.482,10.789
35.300,10.868,6.525,10.539
35.400,11.062,6.575,10.871
35.500,11.202,6.817,10.886
35.600,10.980,6.509,10.892
35.700,10.603,6.351,10.643
35.800,10.608,6.387,10.684
35.900,10.922,6.767,11.010
36.000,10.958,6.479,10.822
36.100,10.718,6.477,10.686
36.200,10.537,6.579,10.465
36.300,10.668,6.395,10.689
36.400,10.488,6.382,10.386
36.500,10.064,6.000,9.855
36.600,10.047,5.750,9.825
36.700,9.987,5.598,9.799
36.800,10.402,5.971,10.356
36.900,10.455,6.185,10.211
37.000,11.036,6.345,10.773
37.100,10.583,6.176,10.330
37.200,10.887,6.262,10.461
37.300,10.717,6.162,10.085
37.400,10.779,5.919,10.273
37.500,10.696,5.984,10.171
37.600,10.360,6.061,10.058
