#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
1.0%,100000,200.00000000022686,-6967683.217498988,1090501.2965431302,300.6491951508802,0.9587496161795672,0
1.5%,150000,300.00000000070435,-6963626.883518275,1089228.819023945,300.2983754469483,0.9587496161795672,40.6
2.0%,200000,400.00000000118183,-6969731.3724295795,1088379.3233226133,300.06417104966863,0.9587496161795672,40.6
2.5%,250000,500.0000000016593,-6965971.030401513,1086817.4685928621,299.63357058277256,0.9587496161795672,40.4
3.0%,300000,599.9999999996356,-6965542.959008642,1087716.4297001038,299.8814125011828,0.9587496161795672,40.4
3.5%,350000,699.999999997271,-6968920.29563367,1090965.0423584594,300.7770490164146,0.9587496161795672,40.5
4.0%,400000,799.9999999949063,-6968287.337145381,1090144.432962567,300.55080852024065,0.9587496161795672,40.5
4.5%,450000,899.9999999925416,-6966621.515688702,1087222.0505007636,299.7451130682045,0.9587496161795672,40.5
5.0%,500000,999.9999999901769,-6969274.78323381,1088688.755540071,300.14948094102533,0.9587496161795672,40.5
5.5%,550000,1099.9999999878123,-6973067.284495473,1088474.8127099783,300.0904972975583,0.9587496161795672,40.5
6.0%,600000,1199.9999999854476,-6968468.664297748,1090417.0832892428,300.6259777121825,0.9587496161795672,40.5
6.5%,650000,1299.999999983083,-6967999.492125835,1089146.9497881758,300.2758042497203,0.9587496161795672,40.6
7.0%,700000,1399.9999999807183,-6967402.383552324,1088121.7129943122,299.99314835752534,0.9587496161795672,40.6
7.5%,750000,1499.9999999783536,-6968333.350808978,1088221.3606284,300.02062102636324,0.9587496161795672,40.6
8.0%,800000,1599.9999999759889,-6968170.071070228,1091114.8222878114,300.81834306654747,0.9587496161795672,40.6
8.5%,850000,1699.9999999736242,-6967646.0254052915,1090978.6871953227,300.78081087275893,0.9587496161795672,40.6
9.0%,900000,1799.9999999712595,-6970893.909424055,1087424.4778439794,299.8009219131892,0.9587496161795672,40.6
9.5%,950000,1899.9999999688948,-6972379.008551877,1086879.930154426,299.6507911200352,0.9587496161795672,40.6
10.0%,1000000,1999.9999999665301,-6964001.860429477,1091648.3446830786,300.9654342064118,0.9587496161795672,40.6
10.5%,1050000,2099.9999999641655,-6969939.338134389,1086280.0020388935,299.4853920456324,0.9587496161795672,40.6
11.0%,1100000,2199.9999999618008,-6967497.493407469,1089475.1366771446,300.3662847694045,0.9587496161795672,40.6
11.5%,1150000,2299.999999959436,-6969002.601596996,1090719.4622522402,300.7093430342998,0.9587496161795672,40.6
12.0%,1200000,2399.9999999570714,-6971608.385037642,1091883.578812661,301.0302878218593,0.9587496161795672,40.6
12.5%,1250000,2499.9999999547067,-6962715.063347761,1088847.5460576806,300.1932591937136,0.9587496161795672,40.6
13.0%,1300000,2599.999999952342,-6973518.642544288,1090637.0787970107,300.68663006771556,0.9587496161795672,40.6
13.5%,1350000,2699.9999999499773,-6970830.004164822,1089886.030743158,300.47956750518006,0.9587496161795672,40.6
14.0%,1400000,2799.9999999476127,-6963691.920893226,1089418.3491766152,300.3506285602988,0.9587496161795672,40.6
14.5%,1450000,2899.999999945248,-6966339.864706274,1086602.9199440242,299.5744199161954,0.9587496161795672,40.6
15.0%,1500000,2999.9999999428833,-6972005.825016569,1088275.807385731,300.03563189688856,0.9587496161795672,40.6
15.5%,1550000,3099.9999999405186,-6969133.479992922,1090762.5491871638,300.72122202274977,0.9587496161795672,40.6
16.0%,1600000,3199.999999938154,-6966198.29667677,1091749.511683905,300.9933257618558,0.9587496161795672,40.6
16.5%,1650000,3299.999999935789,-6967521.340242412,1089540.148621756,300.38420844256706,0.9587496161795672,40.6
17.0%,1700000,3399.9999999334245,-6965853.7945320755,1088319.4775361589,300.0476716767768,0.9587496161795672,40.6
17.5%,1750000,3499.99999993106,-6968952.413960639,1089244.7318435032,300.3027625819365,0.9587496161795672,40.6
18.0%,1800000,3599.999999928695,-6964880.861026693,1088748.6856752736,300.1660035687114,0.9587496161795672,40.6
18.5%,1850000,3699.9999999263305,-6962422.08124892,1087875.752615627,299.9253375349934,0.9587496161795672,40.6
19.0%,1900000,3799.999999923966,-6973017.788666531,1088036.0328518827,299.96952650036343,0.9587496161795672,40.6
19.5%,1950000,3899.999999921601,-6971059.377245694,1088551.1788156275,300.1115512919671,0.9587496161795672,40.6
20.0%,2000000,3999.9999999192364,-6969711.260480065,1091741.3559370383,300.99107723749444,0.9587496161795672,40.6
20.5%,2050000,4099.999999917781,-6966147.450599391,1090349.7858518728,300.60742393288376,0.9587496161795672,40.6
