#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-2293683.2576588,300.0903311566508,0
150000,-2293023.775236925,299.5975924165999,73.2
200000,-2293180.587736925,299.70663991198114,73.5
250000,-2289848.9451588,298.51820175415133,73.4
300000,-2292256.7498463,300.5294448483687,73.4
350000,-2291971.82406505,300.5616461321642,73.3
400000,-2290848.079924425,301.7279721893754,73.2
450000,-2291726.876799425,300.4960825629499,73.4
500000,-2290433.536955675,300.64863292811583,73.3
550000,-2291029.837736925,301.5840972526656,73.3
600000,-2292536.400236925,300.26021226425314,73.3
650000,-2290036.900236925,300.8536363081955,73.3
700000,-2289645.017424425,298.5226234695827,73.2
750000,-2291956.07406505,300.6022871433686,73.3
800000,-2291584.7654713,300.2832977750445,73.2
850000,-2292454.298674425,301.01307974549843,73.2
900000,-2292103.572111925,300.30707749410607,73.1
950000,-2289280.126799425,298.5491522998363,73.1
1000000,-2290381.935393175,300.8801446464944,73.2
1050000,-2291044.69125255,299.47844739798467,73.1
1100000,-2292037.3201588,300.6451259658294,73.1
1150000,-2292007.6404713,301.33065935717997,73
1200000,-2289931.337736925,298.94379995582267,73
1250000,-2291069.3357838,300.3332621794416,73
1300000,-2292149.161955675,301.43985243595597,73
1350000,-2290271.74594005,300.92537839908204,73
1400000,-2291311.7107838,300.3639192971574,72.9
1450000,-2291839.884611925,300.84515133007693,72.9
1500000,-2292298.919768175,301.09229156189934,73
1550000,-2290501.587736925,298.6603316122673,73
1600000,-2293517.306486925,299.5941380090922,73
1650000,-2290021.3826588,299.81919943167344,72.9
1700000,-2292430.329924425,299.4300969310735,73
1750000,-2291278.6014088,302.3693141309959,72.9
1800000,-2293001.681486925,299.33477447854636,73
1850000,-2292322.31625255,299.85371619937916,73
1900000,-2290770.49594005,300.65770976366053,73
1950000,-2292625.97250255,299.74767686928703,72.9
2000000,-2292813.01156505,299.45507302410454,72.9
2050000,-2292936.076018175,298.46693820165365,72.9
2100000,-2294257.6092213,300.9915556941162,73
2150000,-2291677.36312755,300.4634393053781,73
2200000,-2292100.12094005,300.30033101420054,73
2250000,-2291561.8670338,299.7322392420794,73
2300000,-2291828.908049425,300.5635730379114,73
2350000,-2291161.48812755,301.29062570142156,73
2400000,-2291958.154143175,299.9650189254098,73
2450000,-2295264.1092213,300.78312075947224,73
2500000,-2292000.3279713,300.8000282602201,73
2550000,-2288158.931486925,300.44296563902947,73
2600000,-2290531.20687755,300.76931551304125,73
2650000,-2292937.2889088,301.45600536281586,73
2700000,-2290514.09750255,299.2944649872006,73
2750000,-2292625.361174425,299.719531135461,73
2800000,-2290091.513518175,299.5338345975264,73
2850000,-2292261.5779713,299.39733749536134,73
2900000,-2290542.474455675,300.85558218687373,73.1
2950000,-2293309.618986925,299.09485131524485,73
3000000,-2289663.079924425,299.5295053144521,73.1
3050000,-2292978.8435963,300.636661451576,73.1
3100000,-2290458.185393175,298.74117977241946,73.1
3150000,-2292817.095549425,299.7628718224744,73.1
3200000,-2291136.7420338,300.34546783345127,73.1
3250000,-2291564.771330675,302.0126231536538,73.1
3300000,-2291817.6014088,300.3088384027707,73.1
3350000,-2291917.454924425,300.73203402211266,73.1
3400000,-2290054.322111925,300.28118854803495,73.1
3450000,-2290186.611174425,300.7894260377228,73.1
3500000,-2288913.74594005,301.0072105346125,73.1
3550000,-2291574.079924425,299.01376420573257,73.1
3600000,-2291988.7576588,300.95151658003317,73.1
3650000,-2292926.298674425,300.36688015825337,73.1
3700000,-2288848.6014088,300.8999366506754,73.1
3750000,-2288858.46469005,299.9472159783436,73.1
3800000,-2293358.091643175,300.79960408100015,73.1
3850000,-2292607.197111925,300.4282347479612,73
3900000,-2291991.501799425,300.57679854009825,73
3950000,-2292838.701018175,300.02203535201807,73
4000000,-2290862.130705675,300.49553755463825,73
4050000,-2291718.126799425,299.0345923517309,73
4100000,-2290579.275236925,300.29336201275106,73
4150000,-2293254.411955675,299.134057599308,73
4200000,-2290364.3904713,301.37027631957443,73
4250000,-2289859.872893175,300.2355649745864,73
4300000,-2290562.329924425,299.10716647606745,73
4350000,-2293298.0076588,300.7373080585241,73
4400000,-2293029.279143175,301.46119949779387,73
4450000,-2292511.8435963,298.6386510951985,73
4500000,-2293236.685393175,299.31146540518716,73
4550000,-2293993.1560963,300.0798341960653,73
4600000,-2292681.646330675,300.7754505416337,73
4650000,-2289644.1248463,299.41810275188874,73
4700000,-2291503.06625255,299.46988165885597,73
4750000,-2291786.79281505,299.95214405904204,73
4800000,-2293721.2810963,301.1184872331502,73
4850000,-2292145.6951588,299.88148627341536,73
4900000,-2289851.161955675,300.691253781727,73
4950000,-2295191.208830675,300.2924959524043,73
5000000,-2291353.802580675,299.9710370491603,73
5050000,-2290751.704924425,300.3385659189651,73
