#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-3025112.929578431,299.2677224647645,0
150000,-3029794.267469056,301.7020062059986,60.5
200000,-3027047.755750306,300.45604486819065,60.5
250000,-3024694.101453431,300.12061685729043,60.6
300000,-3029268.798719056,300.56725196401374,55
350000,-3027542.372937806,299.99782323896915,51.8
400000,-3027426.130750306,300.5203500427348,49.9
450000,-3025389.441297181,299.66782774387065,48.6
500000,-3027200.931531556,301.1672486230427,47.7
550000,-3029673.349500306,300.5058801519208,47.1
600000,-3024739.384656556,298.8925487667894,46.5
650000,-3027549.160047181,301.96886967194257,46.1
700000,-3024623.691297181,300.7961911116413,45.7
750000,-3024510.829969056,300.40943996085184,45.4
800000,-3026459.429578431,299.6117241105472,45.2
850000,-3027358.117078431,300.1613794779532,44.9
900000,-3028542.095594056,301.14247988962467,44.7
950000,-3025543.783094056,301.53932279174796,44.6
1000000,-3029839.753797181,300.83160107798915,44.4
1050000,-3027198.052625306,299.7420206254492,44.3
1100000,-3026405.898328431,300.85833495460264,44.1
1150000,-3027113.820203431,299.48062394425716,44
1200000,-3026815.548719056,300.42470854474743,43.9
1250000,-3027316.853406556,301.0270854209336,43.8
1300000,-3028258.369031556,300.93151612195715,43.7
1350000,-3025184.320203431,300.16865642710195,43.7
1400000,-3024879.437390931,300.4100990051108,43.6
1450000,-3023015.917859681,299.977967694567,43.5
1500000,-3026670.527234681,300.79302383891843,43.5
1550000,-3028618.816297181,300.0541792600218,43.4
1600000,-3026959.029187806,300.7879673541412,43.4
1650000,-3027898.806531556,299.4543241210157,43.3
1700000,-3026806.804578431,300.1004652536893,43.3
1750000,-3026804.287000306,300.38929965780517,43.2
1800000,-3023239.595594056,300.42220308534746,43.2
1850000,-3028369.708875306,299.6158506769336,43.1
1900000,-3025380.970594056,300.1745271692405,43.1
1950000,-3025724.511609681,301.034856635299,43.1
2000000,-3026228.431531556,299.5570961657581,43
2050000,-3025003.152234681,300.54236364819116,43
2100000,-3029602.331922181,300.47176518632904,43
2150000,-3026930.595594056,299.9140140078569,42.9
2200000,-3026506.763562806,300.24694974627107,42.9
2250000,-3025395.040906556,300.7311185879249,42.9
2300000,-3023548.070203431,300.7383075380935,42.9
2350000,-3024572.306531556,299.3931654295361,42.8
2400000,-3029747.548719056,301.1616374791429,42.8
2450000,-3024646.708875306,301.30437554972923,42.8
2500000,-3028143.701062806,300.2894014852277,42.8
2550000,-3027864.552625306,300.2676537268122,42.7
2600000,-3027515.187390931,300.41723648947067,42.7
2650000,-3024998.458875306,300.64406599992594,42.7
2700000,-3029130.093640931,301.0861523512465,42.7
2750000,-3028663.404187806,299.791695781875,42.7
2800000,-3027177.622937806,300.9399143693115,42.6
2850000,-3024833.538953431,301.37844365596425,42.6
2900000,-3025644.695203431,300.389769784023,42.6
2950000,-3026505.747937806,300.2837282773867,42.6
3000000,-3026290.240125306,299.97372038564407,42.6
3050000,-3027497.937390931,300.82380615947824,42.6
3100000,-3026922.763562806,301.3243657045112,42.5
3150000,-3026450.767469056,299.5203081086241,42.5
3200000,-3028345.263562806,299.5810482380594,42.5
3250000,-3027199.089734681,299.90858739774825,42.5
3300000,-3027440.941297181,300.4418889338619,42.5
3350000,-3025196.519422181,300.07065838527365,42.5
3400000,-3025264.521375306,301.280167754084,42.5
3450000,-3026804.529187806,300.4559514219029,42.5
3500000,-3025661.785047181,299.45989386580015,42.5
3550000,-3028168.726453431,300.6097020708261,42.5
3600000,-3024447.546765931,299.64078571051004,42.4
3650000,-3027283.007703431,300.17899830011146,42.4
3700000,-3021708.285047181,300.4095768473123,42.4
3750000,-3026717.814344056,300.0962233231294,42.4
3800000,-3027144.357312806,299.0915794222708,42.4
3850000,-3026940.128797181,300.1093920093917,42.4
3900000,-3026821.253797181,300.3518791374998,42.4
3950000,-3025305.660047181,301.4815371420808,42.4
4000000,-3027770.169812806,300.86421608906267,42.4
4050000,-3026707.023328431,300.8832752116883,42.4
4100000,-3023927.626844056,300.88266942986115,42.4
4150000,-3026747.740125306,300.0178909908319,42.3
4200000,-3026577.992078431,300.5328973554157,42.3
4250000,-3029411.300672181,298.96702996938717,42.3
4300000,-3028889.761609681,300.8243993435651,42.3
4350000,-3025499.437390931,299.85040908303125,42.3
4400000,-3029704.033094056,299.99902007001543,42.3
4450000,-3025779.771375306,299.5141683141671,42.3
4500000,-3027977.234265931,301.19387095568845,42.3
4550000,-3027903.630750306,299.1897442484207,42.3
4600000,-3028762.578015931,300.1725980073738,42.3
4650000,-3025739.023328431,300.56962957640417,42.3
4700000,-3028199.488172181,300.60381902480793,42.3
4750000,-3025749.175672181,300.0295498217513,42.3
4800000,-3028814.238172181,300.32423125006596,42.3
4850000,-3027378.523328431,300.48819703563,42.3
4900000,-3028403.492078431,300.5127547310334,42.3
4950000,-3026703.931531556,298.9802595010727,42.2
5000000,-3026549.382703431,299.7207092640736,42.2
5050000,-3026204.398328431,300.0004558803136,42.2
