#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-3651202.6301320773,299.99594600579906,0
150000,-3649102.5891164523,299.4731417078971,54.3
200000,-3648704.1809133273,300.57760671848536,54.3
250000,-3650916.3020070773,300.50095000904355,54.3
300000,-3648498.7785695773,299.53391479031177,54.5
350000,-3652575.8898977023,300.0940961985702,54.5
400000,-3652774.2434133273,300.21552989414164,54.5
450000,-3652183.8840383273,300.8110313745275,54.5
500000,-3654023.5773977023,299.5217470069909,54.6
550000,-3653183.9543508273,298.8083915282641,54.6
600000,-3655092.7824758273,301.10313722525837,54.6
650000,-3650860.6086477023,300.14890641704983,54.6
700000,-3649450.8273977023,300.9116591955375,54.6
750000,-3648168.0383352023,300.26614704523456,54.6
800000,-3650398.4816945773,299.93336757954745,54.6
850000,-3651355.0734914523,301.28882530855776,54.6
900000,-3649861.3469289523,299.61864475755436,54.6
950000,-3650607.6984914523,299.67852397215364,54.6
1000000,-3648301.9445852023,300.10492005917325,54.6
1050000,-3649913.5832570773,299.729859188238,54.6
1100000,-3649778.0656789523,299.81335741447424,54.6
1150000,-3650110.7375539523,299.79167039214093,54.7
1200000,-3652420.8098195773,300.85130953813655,54.7
1250000,-3652019.8859914523,299.6656496251491,54.7
1300000,-3648355.4582570773,301.27038263226746,54.7
1350000,-3650724.5383352023,300.5310594325011,54.6
1400000,-3652659.7375539523,299.9660612146045,54.7
1450000,-3652070.6613820773,299.4812964158052,54.6
1500000,-3651505.7414602023,300.54278935041253,54.6
1550000,-3649716.0481008273,300.0433678218735,54.6
1600000,-3649451.2688039523,300.8255415858668,54.6
1650000,-3648775.0539602023,299.974888563561,54.6
1700000,-3653304.9328664523,299.30757702830226,54.6
1750000,-3650408.6633352023,300.13510425765134,54.6
1800000,-3646209.1008352023,300.85943510291696,54.6
1850000,-3652874.4484914523,300.27185190107355,54.6
1900000,-3651990.6789602023,300.0147395153462,54.6
1950000,-3652456.7609914523,300.31439308214726,54.6
2000000,-3652890.8449758273,300.36827585280895,54.6
2050000,-3652146.7902883273,300.18758558091986,54.6
2100000,-3651380.2766164523,300.67126550399195,54.6
2150000,-3650144.3039602023,300.8682667092844,54.6
2200000,-3648048.2277883273,300.29861931207824,54.5
2250000,-3652855.2551320773,300.5922808488043,54.5
2300000,-3649040.5422414523,300.56197667097456,54.5
2350000,-3651827.0129445773,299.84439403014585,54.5
2400000,-3648923.5813039523,299.79181759714356,54.5
2450000,-3650167.8918508273,299.95024521417747,54.5
2500000,-3650503.9914602023,300.56453639861166,54.5
2550000,-3649943.3410695773,300.64709172800275,54.5
2600000,-3651858.9016164523,300.01476336363567,54.5
2650000,-3649846.4211477023,300.9222935177968,54.5
2700000,-3652706.5852102023,300.11839357779144,54.5
2750000,-3651762.4055227023,300.561343373636,54.5
2800000,-3649510.9992727023,299.6444223847499,54.5
2850000,-3654024.9289602023,299.849371368507,54.5
2900000,-3654229.8898977023,300.5330206299833,54.5
2950000,-3653117.3176320773,300.8696687319823,54.5
3000000,-3652797.7297414523,300.08099360865,54.5
3050000,-3646065.9367727023,300.1092684975073,54.5
3100000,-3653799.7941945773,299.642153001367,54.5
3150000,-3649817.3469289523,300.63231249620424,54.5
3200000,-3654505.4426320773,300.72949190239206,54.5
3250000,-3647298.7844289523,300.0328067538436,54.5
3300000,-3650719.0031789523,301.00832706803413,54.5
3350000,-3648018.0676320773,299.64629282797733,54.5
3400000,-3651225.8000539523,299.3274068953294,54.5
3450000,-3653141.9953664523,300.6251492424279,54.5
3500000,-3650334.8625539523,300.73610811531194,54.5
3550000,-3650519.7473195773,299.5778212043216,54.5
3600000,-3651320.0051320773,300.46072949821416,54.5
3650000,-3647502.2824758273,300.9032769888321,54.5
3700000,-3650861.0168508273,300.1132507977861,54.5
3750000,-3653271.4523977023,299.3257180214471,54.5
3800000,-3653076.1691945773,299.32569191480155,54.5
3850000,-3653860.8098195773,300.01177025325876,54.5
3900000,-3651472.4758352023,300.39485936553007,54.5
3950000,-3650829.3977102023,301.673763080441,54.5
4000000,-3653218.3430227023,300.16218781611434,54.5
4050000,-3653838.1340383273,300.17979793770644,54.5
4100000,-3651836.6340383273,300.31314184658856,54.5
4150000,-3655590.0090383273,299.8215684803725,54.5
4200000,-3653629.9836477023,300.7749060239196,54.5
4250000,-3649904.1516164523,298.85497866340677,54.5
4300000,-3649673.6477102023,299.91289318036274,54.5
4350000,-3651838.1574758273,299.48333748098,54.5
4400000,-3650008.4133352023,299.92035458586054,54.5
4450000,-3649726.5441945773,301.03929024913555,54.5
4500000,-3653875.7395070773,300.49207783822163,54.5
4550000,-3649308.0871633273,299.45502938421174,54.5
4600000,-3652914.5305227023,299.8040669983737,54.5
4650000,-3650298.3625539523,299.9582747675297,54.5
4700000,-3650175.3840383273,300.0366673509661,54.5
4750000,-3649782.9484914523,300.9319555015537,54.5
4800000,-3648939.2531789523,300.5897950430981,54.5
4850000,-3649997.0969289523,300.0374598393483,54.5
4900000,-3649553.5695852023,300.0531359509416,54.5
4950000,-3650897.1496633273,299.9917476976632,54.5
5000000,-3652364.5969289523,300.9021897710569,54.5
5050000,-3652809.2434133273,300.5122262161054,54.5
5100000,-3655074.0207570773,299.79212685173985,54.5
5150000,-3653457.5676320773,300.83491347623675,54.5
5200000,-3649547.6555227023,299.977001527063,54.6
5250000,-3653016.8078664523,299.3652344619884,54.6
5300000,-3652397.5695852023,300.3688686345436,54.6
5350000,-3650863.2453664523,299.4561226060084,54.6
5400000,-3654654.9992727023,301.25518477536264,54.6
5450000,-3649100.6691945773,300.5827437241832,54.6
