#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1.0%,100000,200.00000000022686,-1528198.313499133,244384.07951872543,300.0964712352563,1.0282833765152306
1.5%,150000,300.00000000070435,-1530397.8006429253,244726.87613948464,300.5174154164149,1.0288302188157754
2.0%,200000,400.00000000118183,-1528589.108565284,244280.0363406404,299.9687092686793,1.025929569443644
2.5%,250000,500.0000000016593,-1528637.8432722026,244653.46894331358,300.42727353574253,1.0274660783137117
3.0%,300000,599.9999999996356,-1532496.2081137123,245064.50146577012,300.93200939985877,1.0278728761864506
3.5%,350000,699.999999997271,-1530826.045486712,243853.98283358727,299.44552807669726,1.027350118161749
4.0%,400000,799.9999999949063,-1530917.636267838,244055.2803774012,299.692715547689,1.0270418992588919
4.5%,450000,899.9999999925416,-1530845.8718158389,245602.1784579537,301.5922609528095,1.026835737720391
5.0%,500000,999.9999999901769,-1529746.1119374866,245109.03961270864,300.9867009360584,1.0287995892145079
5.5%,550000,1099.9999999878123,-1530730.8518910222,244726.7390759611,300.517247106434,1.0262914128536471
6.0%,600000,1199.9999999854476,-1529796.9590200782,244887.8036373559,300.7150296567983,1.0258199772696421
6.5%,650000,1299.999999983083,-1530199.6331532812,243320.1963528174,298.79005395748464,1.028273070594897
7.0%,700000,1399.9999999807183,-1529373.53205531,245132.60263467458,301.0156356349043,1.0291859308730127
7.5%,750000,1499.9999999783536,-1531498.4436001144,245602.98152756615,301.59324709870464,1.027606851162725
8.0%,800000,1599.9999999759889,-1530060.427977373,245176.93737386205,301.0700773923604,1.0304149170306993
8.5%,850000,1699.9999999736242,-1529290.2430588957,244012.3943405281,299.6400527541215,1.0274644753295765
9.0%,900000,1799.9999999712595,-1530998.1230088985,243965.46213739895,299.58242138724154,1.0286781106028786
9.5%,950000,1899.9999999688948,-1530562.6465441948,245549.57527858886,301.5276657936886,1.026409954724441
10.0%,1000000,1999.9999999665301,-1531331.6538403193,245032.1849689689,300.89232569103524,1.0293797800123698
10.5%,1050000,2099.9999999641655,-1528794.8438025238,243515.24318205775,299.02956573458533,1.029386725828214
