#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-3164598.5518200602,299.2685576118918,0
150000,-3161676.8311169352,299.4307906861315,131
200000,-3165885.9229138102,299.8170227714809,131
250000,-3163351.9522106852,301.860983625696,131
300000,-3160130.9697888102,300.5401733490671,131
350000,-3164706.9209606852,299.34864298783543,131
400000,-3168066.4346325602,300.8760124838047,131
450000,-3162749.8975231852,300.83849350907593,131
500000,-3163553.4385388102,301.74054725784595,131
550000,-3165169.4307263102,299.90043648075005,131
600000,-3166587.5303356852,300.3998014059602,131
650000,-3161793.3994763102,301.2676403720788,131
700000,-3166673.7725231852,301.1153299855187,131
750000,-3163619.3799450602,300.6237482347152,131
800000,-3165291.5869763102,300.8946108295463,131
850000,-3168307.6045544352,300.4864419625863,131
900000,-3165425.0420544352,299.7102691886438,131
950000,-3165139.6787731852,301.43050451887234,131
1000000,-3166130.1221325602,301.29022721745395,131
1050000,-3160366.4111950602,299.2571100529881,131
1100000,-3164976.5049450602,300.3087488388084,131
1150000,-3163151.4229138102,300.0093462488005,131
1200000,-3162988.1318981852,301.09329218649134,131
1250000,-3166127.1494763102,299.09522051866156,131
1300000,-3165954.2861950602,300.0240930086442,131
1350000,-3163945.7080700602,299.9062931350728,131
1400000,-3161915.0635388102,300.6706514014335,131
1450000,-3167403.8174450602,299.94765557919203,131
1500000,-3166902.1807263102,299.61680382333265,131
1550000,-3167895.1631481852,299.86220097091507,131
1600000,-3160713.0420544352,300.1662880733094,131
1650000,-3165788.9502575602,300.52661610683106,131
1700000,-3163210.2783825602,301.19307577615626,131
1750000,-3162713.7197888102,300.91188515800786,131
1800000,-3163838.3486950602,300.2744025883042,131
1850000,-3165291.8818981852,300.2222444680084,131
1900000,-3168522.0791638102,300.2645304267818,131
1950000,-3167170.2842419352,299.58586678610465,131
2000000,-3160738.7471325602,299.30644273228705,131
2050000,-3162667.0967419352,300.0861742957285,131
2100000,-3166072.6494763102,300.5551006351015,131
2150000,-3167124.4385388102,299.4928142248226,131
2200000,-3165458.9736950602,300.39313453610856,131
2250000,-3163627.3955700602,300.9893116220646,131
2300000,-3166363.1533825602,299.69428895868725,131
2350000,-3164130.9893200602,301.1565187538424,131
2400000,-3164175.0029919352,300.0414336837453,131
2450000,-3164076.2295544352,301.0829158655284,131
2500000,-3169701.3213513102,300.34308780875557,131
2550000,-3164977.7158825602,300.11093218375635,131
2600000,-3163032.5459606852,300.2069842786445,131
2650000,-3165142.0303356852,301.2070889150003,131
2700000,-3164566.0303356852,300.3980779053926,131
2750000,-3164924.7276013102,301.1427675640769,131
2800000,-3166971.4033825602,299.5708792194095,131
2850000,-3164795.6026013102,300.2816867500456,131
2900000,-3165603.3154919352,300.2211662125584,131
2950000,-3165911.3662731852,300.7023398238925,131
3000000,-3164620.2315075602,301.1132154110339,131
3050000,-3163738.8897106852,300.44457305399123,131
3100000,-3164018.2256481852,300.88507521790166,131
3150000,-3162758.1455700602,299.5312209355039,131
3200000,-3163341.6651013102,301.3335930982646,131
3250000,-3163155.0811169352,300.528392068974,131
3300000,-3166708.4951794352,299.94972317163194,131
3350000,-3166284.3174450602,300.51521656819875,131
3400000,-3163044.1494763102,300.5028464700182,131
3450000,-3165680.2041638102,300.9754845678407,131
3500000,-3167388.5166638102,300.0854686397758,131
3550000,-3166271.2315075602,300.0519244823988,131
3600000,-3163689.7861950602,301.01909356920305,131
3650000,-3163071.4443981852,300.09733221217647,131
3700000,-3163916.9600231852,300.10654202100756,131
3750000,-3162883.3115856852,298.6671866503546,131
3800000,-3165177.2061169352,301.35558622362004,131
3850000,-3165444.9365856852,299.99696292653033,131
3900000,-3165658.4795544352,299.6299589558525,131
3950000,-3165508.6436169352,300.0966280135836,131
4000000,-3164480.9268200602,299.6200382217694,131
4050000,-3168157.3135388102,300.81617205418183,131
4100000,-3164837.6787731852,300.9387571150241,131
4150000,-3165187.4424450602,301.110852707647,131
4200000,-3164897.4561169352,299.36987229322443,131
4250000,-3163826.3311169352,300.9657293333598,131
4300000,-3163998.0381481852,301.4957061358523,131
4350000,-3162116.9443981852,299.9231295252403,131
4400000,-3164320.1279919352,299.25978588538175,131
4450000,-3162914.1084606852,300.6586783884367,131
4500000,-3163736.2002575602,299.79653992591335,131
4550000,-3164368.9912731852,299.8298319483948,131
4600000,-3165603.6104138102,300.1114929006027,131
4650000,-3163361.0967419352,299.99027496124296,131
4700000,-3164873.3252575602,299.56882892765077,131
4750000,-3160196.9033825602,301.0150778006701,131
4800000,-3165549.7940075602,299.7543001279935,131
4850000,-3167213.8291638102,300.0145077694665,131
4900000,-3162439.7998669352,299.99566119561956,131
4950000,-3163115.8643200602,299.6319365009154,131
5000000,-3165440.3154919352,300.74615766371414,131
5050000,-3165279.0186169352,300.18121411984725,131
