#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-3481162.5815857984,299.96027488313996,0
150000,-3481253.4858826734,300.85787769851925,54.6
200000,-3481685.8101014234,301.2320977371076,54.2
250000,-3480778.0327576734,300.3449133186564,54.3
300000,-3485423.4976014234,300.49909859106606,54.2
350000,-3482090.0503357984,300.37392971612155,51.8
400000,-3481663.9331482984,299.9862007419286,48.8
450000,-3480440.7319764234,300.09096011564986,46.8
500000,-3484493.0913514234,300.8990032167076,45.5
550000,-3483852.4839295484,300.3454255995707,44.5
600000,-3481290.6831482984,301.49872467431874,43.7
650000,-3482694.6030701734,300.6467406203917,43.1
700000,-3481531.6636170484,300.4616200763524,42.6
750000,-3481533.5874451734,298.95792984694106,42.2
800000,-3481113.5854920484,299.7734637187658,41.9
850000,-3481358.1440857984,300.91366216444277,41.6
900000,-3481325.0972107984,300.08554725501915,41.3
950000,-3482583.4839295484,300.6217125672952,41.1
1000000,-3484028.9175232984,299.4879860488745,40.9
1050000,-3481071.6284607984,300.88021063666184,40.8
1100000,-3487466.0444764234,301.1685543972577,40.6
1150000,-3483145.3472107984,300.31979080190166,40.5
1200000,-3480404.2749451734,299.89987299137624,40.3
1250000,-3483352.2554139234,300.29396754150235,40.2
1300000,-3486034.7925232984,300.60516808557054,40.1
1350000,-3485134.7241639234,298.7303015157141,40
1400000,-3481237.8667420484,300.3677451926973,39.9
1450000,-3482248.9370545484,300.88786004987617,39.9
1500000,-3482549.6518982984,300.72305551131984,39.8
1550000,-3483362.0190857984,300.3129784375398,39.7
1600000,-3482606.9311951734,299.4846579048362,39.7
1650000,-3486641.2944764234,299.780735828688,39.6
1700000,-3481541.0601014234,299.6016245318288,39.6
1750000,-3481107.6636170484,300.15505176876246,39.5
1800000,-3484458.6636170484,300.730563362446,39.5
1850000,-3482562.5854920484,299.6345324113393,39.4
1900000,-3481090.3999451734,299.75548401802934,39.4
1950000,-3482633.7085389234,301.3582629504364,39.3
2000000,-3484835.8979920484,300.43760082566087,39.3
2050000,-3479714.0581482984,300.7404134585106,39.3
2100000,-3483061.3061951734,300.5167089228936,39.2
2150000,-3483742.3140076734,299.4793518538434,39.2
2200000,-3482246.4897889234,300.5855753711503,39.2
2250000,-3477927.8569764234,301.5051144974087,39.2
2300000,-3482152.8901795484,299.66341439023296,39.1
2350000,-3481903.6714295484,299.0050227933803,39.1
2400000,-3482742.2573670484,300.02087436792584,39.1
2450000,-3485251.6655701734,299.9517503520243,39.1
2500000,-3480573.3686951734,299.53013929901664,39
2550000,-3482372.2183045484,299.2547843119839,39
2600000,-3481929.9116639234,300.95015042587124,39
2650000,-3484018.8413514234,300.1843904977097,39
2700000,-3484996.2495545484,300.41133997706936,39
2750000,-3484401.3569764234,300.6364919925497,38.9
2800000,-3481103.9897889234,300.2364904056187,38.9
2850000,-3482335.2261170484,300.2151557988994,38.9
2900000,-3483957.1440857984,300.4289665435313,38.9
2950000,-3484251.4175232984,301.9126833681254,38.9
3000000,-3482922.3335389234,300.0153350464364,38.9
3050000,-3487657.5249451734,301.23516367330353,38.8
3100000,-3482747.3882264234,300.1579972264307,38.8
3150000,-3479905.1206482984,299.9905128658,38.8
3200000,-3483799.2339295484,299.78192990768946,38.8
3250000,-3484626.9546326734,300.5816036339408,38.8
3300000,-3483734.8745545484,299.9602673614307,38.8
3350000,-3484410.9155701734,300.3692830707165,38.8
3400000,-3482307.6382264234,300.53621237764366,38.7
3450000,-3486510.6636170484,300.55485737719306,38.7
3500000,-3483945.0073670484,300.527062858365,38.7
3550000,-3485528.1733826734,299.41858424975,38.7
3600000,-3483063.4995545484,300.4268056553607,38.7
3650000,-3483326.9175232984,301.34377414676715,38.7
3700000,-3481973.8530701734,300.56518571225257,38.7
3750000,-3484024.4507264234,300.47615719885476,38.7
3800000,-3481242.9839295484,299.7377014135659,38.7
3850000,-3485479.9800232984,300.4018666753556,38.7
3900000,-3482141.7476014234,298.9013838865142,38.7
3950000,-3484863.3862732984,300.82111062418244,38.6
4000000,-3480843.2046326734,300.02312427245977,38.6
4050000,-3483431.2417420484,300.58748664493106,38.6
4100000,-3479610.6929139234,299.92610878879435,38.6
4150000,-3483688.4526795484,300.6306520010574,38.6
4200000,-3481066.5483826734,299.4121742538045,38.6
4250000,-3482533.5542420484,302.3742247860339,38.6
4300000,-3484875.3569764234,300.6457758119773,38.6
4350000,-3482958.3257264234,300.5736911294538,38.6
4400000,-3484967.4194764234,299.78719676917854,38.6
4450000,-3483314.6772889234,300.3962055088051,38.6
4500000,-3482576.3765076734,300.17301663808644,38.5
4550000,-3483922.1890076734,299.87638688804935,38.5
4600000,-3481199.8237732984,299.77447523955084,38.5
4650000,-3481287.6382264234,300.12579503526223,38.5
4700000,-3484687.1655701734,300.0342730854604,38.6
4750000,-3480300.3647889234,300.2873017263715,38.7
4800000,-3484363.9311951734,300.0027291274148,38.8
4850000,-3482904.5366639234,300.64473156587576,39
4900000,-3482944.2085389234,300.22915465027023,39.1
4950000,-3484834.7046326734,300.8892767973176,39.2
5000000,-3479915.5522889234,299.9498104592437,39.4
5050000,-3485404.6460389234,300.7577711918598,39.5
