#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-3138349.6468597874,300.95957341251284,0
150000,-3140890.1331879124,300.8363195478935,131
200000,-3143245.7249847874,300.918496897112,131
250000,-3144509.1058441624,301.0948556297417,131
300000,-3137304.1156097874,299.98711920154517,131
350000,-3140932.0296722874,300.7058576284448,131
400000,-3140114.5687347874,299.50402528605616,131
450000,-3143864.8617035374,301.02610159830084,131
500000,-3142785.6956879124,300.0467171808635,131
550000,-3143010.6917816624,300.365248081993,131
600000,-3139091.8324066624,300.1383799315553,131
650000,-3140244.7796722874,300.86733268892596,131
700000,-3137633.7699066624,300.487963768264,131
750000,-3140029.0394379124,301.0137023394608,131
800000,-3140500.1800629124,300.1695142053415,131
850000,-3139242.2074066624,301.2343469694954,131
900000,-3141451.8128754124,300.7032587339523,131
950000,-3139832.4886566624,300.105235607603,131
1000000,-3139596.5765472874,300.6507896808921,131
1050000,-3141775.4261566624,300.62492973505385,131
1100000,-3139133.7796722874,300.2941753184177,131
1150000,-3140220.9906097874,299.6832726328536,131
1200000,-3142297.6917816624,299.15722445928157,131
1250000,-3138017.2191254124,301.014568217705,131
1300000,-3141448.2464691624,299.5247913579478,131
1350000,-3140792.3949066624,300.2596778460961,131
1400000,-3140137.6800629124,300.2258340853922,131
1450000,-3145325.6917816624,300.4016840472881,131
1500000,-3139474.3812347874,300.5736182246389,131
1550000,-3140408.7601410374,300.24212728073826,131
1600000,-3142995.5921722874,299.3617795955853,131
1650000,-3138060.2699066624,300.1643691551744,131
1700000,-3139071.2523285374,300.86869626534747,131
1750000,-3140884.2210785374,300.20945358708036,131
1800000,-3141087.9281097874,300.0483078137651,131
1850000,-3141553.0062347874,300.0152258209189,131
1900000,-3142963.7913910374,299.71539994640426,131
1950000,-3139223.2191254124,300.7254008312348,131
2000000,-3141218.6566254124,299.91953424338556,131
2050000,-3141900.9281097874,300.2741225627638,131
2100000,-3143203.5570160374,300.007039452574,131
2150000,-3139629.3285004124,302.1272593455457,131
2200000,-3138593.3617035374,300.24130869944133,131
2250000,-3141785.5824066624,299.2781276905547,131
2300000,-3138412.9281097874,299.0944507721797,131
2350000,-3142402.8480316624,300.08207199642777,131
2400000,-3139682.9847504124,301.2624308739907,131
2450000,-3143085.1605316624,300.6685729484968,131
2500000,-3144037.4827972874,301.1215873706887,132
2550000,-3137749.1761566624,299.89820398781336,132
2600000,-3142311.9964691624,299.86533381312864,131
2650000,-3141913.0941254124,299.811578405648,131
2700000,-3142245.4515472874,300.7571386766393,131
2750000,-3141346.4574066624,300.84066041091626,131
2800000,-3142317.9749847874,300.04967775999916,131
2850000,-3142525.0355316624,300.1475854877474,132
2900000,-3141889.7679535374,299.1538375250357,132
2950000,-3141019.9320160374,299.2149186562185,132
3000000,-3140210.5492035374,299.85142020160447,132
3050000,-3138261.0531097874,298.8122435155503,132
3100000,-3143642.7327972874,300.96471143604776,132
3150000,-3141693.6898285374,300.08092290106816,132
3200000,-3142268.8382660374,301.0709324000016,132
3250000,-3143045.2796722874,301.0891088764179,132
3300000,-3140553.5902191624,301.2196395520862,132
3350000,-3141376.7660004124,299.82022232508984,132
3400000,-3141501.6038910374,299.9811178126128,132
3450000,-3143585.6331879124,299.8967089607164,132
3500000,-3139353.8421722874,299.6537609368167,132
3550000,-3138341.9046722874,300.57473627857723,132
3600000,-3139304.1566254124,299.82497381609664,132
3650000,-3142807.7952972874,300.68056581335264,132
3700000,-3141829.5765472874,301.372080121587,132
3750000,-3143226.6878754124,300.32097984553025,132
3800000,-3142144.8480316624,299.7981284692199,132
3850000,-3148424.6859222874,300.53431809207115,132
3900000,-3142586.7933441624,299.6205117728925,132
3950000,-3142779.9417816624,300.0039820367008,132
4000000,-3139130.2718597874,300.1113258097188,132
4050000,-3142846.8929535374,298.73531420282484,132
4100000,-3140852.1038910374,300.7906531958784,132
4150000,-3142189.2132660374,300.19991948476763,132
4200000,-3142668.8324066624,301.08636519276575,132
4250000,-3141797.7718597874,300.15433192068156,132
4300000,-3140625.7523285374,301.19196243510356,132
4350000,-3141101.1839691624,300.25274369454326,132
4400000,-3140533.3499847874,299.8578529921133,132
4450000,-3142266.9359222874,299.8398052175178,132
4500000,-3139703.3519379124,299.5802738788812,132
4550000,-3141354.7503754124,301.11809586305867,132
4600000,-3142244.8851410374,299.3570564936597,132
4650000,-3138185.8245941624,300.90393136076176,132
4700000,-3144492.1117035374,300.9564546323279,132
4750000,-3141105.9242035374,300.7220238810761,132
4800000,-3142169.4183441624,300.13771317338933,132
4850000,-3144115.5824066624,300.32050965237784,132
4900000,-3141670.5745941624,300.6669194047874,132
4950000,-3137614.5531097874,300.41537193769403,132
5000000,-3138812.5687347874,300.72022730095824,132
5050000,-3143320.0531097874,299.3517890451435,132
