#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-5870627.3614203,300.42475495539276,0
150000,-5867088.8067328,300.5064407758317,35.1
200000,-5869728.7989203,300.64649316302246,35.1
250000,-5864026.57626405,300.65969328810144,35.1
300000,-5869260.0567328,299.78605269404216,35.1
350000,-5874142.86532655,301.1085434326092,35.2
400000,-5868769.3692328,300.34152431738136,35.1
450000,-5871074.2598578,299.8252900578469,35.1
500000,-5866756.43563905,300.4945145594136,35.2
550000,-5873908.64657655,300.1062245284946,35.2
600000,-5869430.8692328,299.89875141605984,35.2
650000,-5867685.6817328,299.20621070091954,35.2
700000,-5869889.7051703,299.78868410416925,35.2
750000,-5868896.87313905,300.22434009168467,35.2
800000,-5863910.3614203,299.32086493384526,35.2
850000,-5866702.1270453,300.8003555515949,35.2
900000,-5871097.07626405,299.75949254552864,35.2
950000,-5868800.97470155,300.20659350121684,35.2
1000000,-5870133.84188905,300.82723947287855,35.2
1050000,-5868804.1192328,300.21772517680233,35.2
1100000,-5868028.0332953,299.52899264780933,35.2
1150000,-5870452.5020453,299.9609495596475,35.2
1200000,-5868770.6895453,299.6154242279905,35.2
1250000,-5868015.77938905,299.80065868068823,35.3
1300000,-5871268.92001405,299.8495298669221,35.3
1350000,-5868591.9317328,300.63801832703166,35.3
1400000,-5868512.17782655,299.404286013335,35.3
1450000,-5872757.7051703,300.15685205410324,35.2
1500000,-5869268.3067328,300.7216596959305,35.3
1550000,-5871056.77157655,300.35433272911894,35.3
1600000,-5870014.8145453,300.2485352744966,35.3
1650000,-5868904.30282655,301.1130402345932,35.3
1700000,-5867995.99813905,300.0900708394885,35.3
1750000,-5872775.4082953,300.6697166340655,35.3
1800000,-5868933.99813905,300.35846909683113,35.3
1850000,-5871712.09970155,300.2925789106232,35.3
1900000,-5871643.5176703,300.7486038008523,35.3
1950000,-5873929.63095155,299.8307783064248,35.3
2000000,-5870654.8145453,301.1573879501604,35.3
2050000,-5874842.9395453,300.6345689522136,35.3
2100000,-5872948.2911078,300.02442898294294,35.3
2150000,-5871715.00595155,299.7607022075418,35.3
2200000,-5873240.5879828,300.17147957048064,35.3
2250000,-5872585.07626405,300.3954553508446,35.3
2300000,-5873297.93563905,301.2333838956344,35.3
2350000,-5867843.8848578,300.36161802102436,35.3
2400000,-5872652.08407655,299.9053608408919,35.3
2450000,-5868254.2129828,301.27260440346265,35.3
2500000,-5871097.2911078,299.8586611892753,35.3
2550000,-5867997.9082953,299.4542153314961,35.3
2600000,-5872435.85751405,301.14453557299055,35.3
2650000,-5873380.45126405,300.8052045599467,35.3
2700000,-5870711.1192328,300.3156778004699,35.3
2750000,-5871073.9864203,300.5126193606312,35.3
2800000,-5868035.45907655,299.454217230979,35.3
2850000,-5873270.02157655,301.16947132831586,35.3
2900000,-5865113.4239203,300.228593068601,35.3
2950000,-5869215.1739203,300.8164020090341,35.3
3000000,-5873737.6817328,300.5743160535681,35.3
3050000,-5872540.8614203,300.5762195796508,35.3
3100000,-5874449.5098578,300.358768331667,35.3
3150000,-5869198.4395453,299.78027208772573,35.3
3200000,-5870162.35751405,300.4527147350502,35.3
3250000,-5869241.64657655,300.98257503480903,35.3
3300000,-5870729.7520453,300.1730226863582,35.3
3350000,-5872044.9239203,301.00936432422895,35.3
3400000,-5863614.96688905,300.43107642189096,35.3
3450000,-5869427.5411078,300.04601485865953,35.3
3500000,-5867799.5489203,299.9017387302391,35.3
3550000,-5870690.5332953,300.57386878633423,35.3
3600000,-5867267.6661078,300.88527451207585,35.3
3650000,-5866406.66220155,300.38269053219807,35.3
3700000,-5869889.17782655,300.8818874206272,35.3
3750000,-5871269.54501405,300.41250488086956,35.3
3800000,-5873579.47470155,299.3301596512828,35.3
3850000,-5868999.61532655,300.62933871593134,35.3
3900000,-5875821.5489203,300.1045962767243,35.3
3950000,-5874856.2364203,300.3061490360049,35.3
4000000,-5872474.8145453,301.0186876456397,35.3
4050000,-5867914.97470155,300.88081387260627,35.3
4100000,-5869990.8145453,300.70412388129677,35.3
4150000,-5877963.13876405,299.6586175504315,35.3
4200000,-5874370.43563905,300.64717476509384,35.3
4250000,-5869300.5411078,299.96700454244694,35.3
4300000,-5869775.96688905,300.3119595712246,35.3
4350000,-5869328.93563905,299.88793269503464,35.3
4400000,-5873811.63095155,299.4294213987699,35.3
4450000,-5870938.0957953,300.0326712790889,35.3
4500000,-5870904.6270453,299.52837891302084,35.3
4550000,-5873015.52938905,299.96125823930925,35.3
4600000,-5875449.65438905,299.2120385455552,35.3
4650000,-5870789.09188905,300.41795874919256,35.3
4700000,-5869167.77938905,300.01528187952186,35.3
4750000,-5875128.68563905,300.6900093721604,35.3
4800000,-5872711.2364203,300.79887712405525,35.3
4850000,-5866591.5567328,300.0639448378341,35.3
4900000,-5867978.2051703,300.24640534934656,35.3
4950000,-5871722.08407655,300.3296559404116,35.3
5000000,-5873387.85751405,301.1577538129994,35.3
5050000,-5870092.74813905,300.31968026761086,35.3
