#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-9901207.406575136,300.054810290746,0
150000,-9891206.953450136,300.2026229097076,41.8
200000,-9894201.242512636,300.05768764639856,41.8
250000,-9899084.961262636,300.97550577292316,41.8
300000,-9903011.555012636,300.63442754046,41.8
350000,-9897243.367512636,300.13360435048577,41.8
400000,-9900358.461262636,299.6475867396148,41.8
450000,-9898897.414387636,300.2228480581021,41.9
500000,-9902006.367512636,300.0417178744135,41.9
550000,-9900744.367512636,300.57477213771176,41.9
600000,-9898136.758137636,300.6475105039958,41.9
650000,-9896906.234700136,299.96721415736846,41.9
700000,-9899562.305012636,300.40450795380065,41.9
750000,-9904260.437825136,301.1699282415226,41.9
800000,-9898205.984700136,299.88189379307914,42
850000,-9900967.703450136,300.17376761546745,42
900000,-9897251.820637636,300.66666965575394,42
950000,-9901103.578450136,299.35886551028483,42
1000000,-9900256.383137636,299.6310074357152,42
1050000,-9901627.758137636,300.82793449873463,42
1100000,-9902890.390950136,299.9763934333373,42
1150000,-9899385.000325136,300.78415749960294,42
1200000,-9894590.398762636,300.33776729677766,42
1250000,-9900134.320637636,299.90186237509045,42
1300000,-9901268.844075136,299.9946228138633,42
1350000,-9896704.047200136,300.2109929608845,42
1400000,-9902532.351887636,300.5831129320742,42
1450000,-9899884.922200136,300.2359429089683,42
1500000,-9903184.930012636,300.966828381351,42
1550000,-9897188.070637636,300.86516821666504,42
1600000,-9900075.008137636,300.3804140224272,42
1650000,-9901358.156575136,299.9430190129511,42
1700000,-9895620.633137636,300.622979424565,42
1750000,-9893640.703450136,300.35394414459176,42
1800000,-9899322.664387636,300.035204955236,42
1850000,-9900904.961262636,300.3726281755175,42
1900000,-9903138.820637636,300.3004037990064,42
1950000,-9900671.383137636,300.1246169209305,42
2000000,-9896410.836262636,300.48507919371224,42
2050000,-9901511.914387636,300.41857378308674,42
2100000,-9898236.539387636,300.3103554913003,42
2150000,-9892737.273762636,300.91419018638624,42
2200000,-9900748.984700136,300.1304207774564,42
2250000,-9897584.469075136,300.63483499681666,42
2300000,-9899667.351887636,300.54993703026855,42
2350000,-9896810.359700136,300.54601384547306,42
2400000,-9903274.984700136,300.26741795190077,42
2450000,-9900640.367512636,300.1084456083138,42
2500000,-9900441.687825136,300.63220984498474,42
2550000,-9898320.547200136,300.54475759012513,42
2600000,-9898857.922200136,299.9430895533153,42
2650000,-9903399.930012636,300.3012477541687,42
2700000,-9903942.414387636,300.6525255597658,42
2750000,-9900713.406575136,300.45265939165,42
2800000,-9902229.133137636,299.79435127181034,42
2850000,-9901590.164387636,300.75441038403403,42
2900000,-9899780.422200136,300.0908623350985,42
2950000,-9901991.133137636,299.8484379460102,42
3000000,-9900088.351887636,300.40424412973175,42
3050000,-9898942.281575136,300.8088114075793,42
3100000,-9901145.937825136,300.4460102771581,42
3150000,-9897601.430012636,301.1867920592241,42
3200000,-9898364.898762636,299.99912801787616,42
3250000,-9899986.133137636,300.45138733878036,42
3300000,-9905096.055012636,300.17392534420406,42
3350000,-9902540.898762636,300.0337600456672,42
3400000,-9902977.390950136,299.9631207295667,42
3450000,-9900933.437825136,299.47788024201424,42
3500000,-9902176.961262636,300.24333928931287,42
3550000,-9895725.390950136,300.5927303200644,42
3600000,-9900371.844075136,300.15648342488333,42
3650000,-9899105.140950136,300.1618702946049,42
3700000,-9904149.125325136,300.2448838893515,42
3750000,-9895269.703450136,299.86703683472405,42
3800000,-9896151.422200136,300.7911411462816,42
3850000,-9901334.750325136,300.4253138117243,42
3900000,-9898936.898762636,300.3573189005341,42
3950000,-9898225.031575136,300.27399169920807,42
4000000,-9899077.383137636,300.286881316116,42
4050000,-9899160.172200136,300.28966941286444,42
4100000,-9902529.234700136,299.764959692843,42
4150000,-9905827.297200136,299.7155829153061,42
4200000,-9903436.398762636,299.5759055986013,42
4250000,-9903572.844075136,300.55032858062316,42
4300000,-9892113.586262636,300.0390245349098,42
4350000,-9901934.000325136,300.63246704041205,42
4400000,-9893535.961262636,300.24549298225156,42
4450000,-9906294.617512636,299.8460189255424,42
4500000,-9899107.117512636,300.51037696377205,42
4550000,-9898628.672200136,300.38368366584376,42
4600000,-9902579.836262636,300.5430274507196,42
4650000,-9897707.805012636,299.99547251782633,42
4700000,-9902733.797200136,300.2455769378719,42
4750000,-9900087.109700136,300.2144746083576,42
4800000,-9897151.000325136,300.4467026292331,42
4850000,-9899475.555012636,300.36472198302926,42
4900000,-9897080.601887636,300.0299697007687,42
4950000,-9896791.875325136,300.4590482498695,42
5000000,-9890827.648762636,300.15517493526556,42
5050000,-9897829.984700136,300.8232016584598,42
