#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10.0%,5000,-1643986.4066035068,300.20607221303635,0
20.0%,10000,-1642912.3499517776,300.7457056139734,217
30.0%,15000,-1643886.1708740685,299.3817464964484,216
40.0%,20000,-1647250.1873894231,302.05624290717327,216
50.0%,25000,-1644882.0208335808,298.8510690871391,216
60.0%,30000,-1646827.4794179276,301.44999101231855,216
70.0%,35000,-1646309.8248775639,300.44221348790524,216
80.0%,40000,-1648820.9839199176,299.03513468477587,216
90.0%,45000,-1646404.343632752,300.25845482078887,216
100.0%,50000,-1644945.7347927075,300.394955230941,215
