#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
1.0%,100000,200.00000000022686,-7015246.042165089,1097038.897707052,300.2696799066567,0.9606101752992077,0
1.5%,150000,300.00000000070435,-7020713.693146747,1096071.6486521566,300.00493490562656,0.9606101752992077,20.1
2.0%,200000,400.00000000118183,-7022654.53683278,1100209.7949987352,301.1375837857084,0.9606101752992077,20.2
2.5%,250000,500.0000000016593,-7016350.897458568,1097975.5133343893,300.5260402555959,0.9606101752992077,20.1
3.0%,300000,599.9999999996356,-7023789.461387426,1098888.1452709888,300.7758360468373,0.9606101752992077,20
3.5%,350000,699.999999997271,-7021059.299566053,1095923.9827951258,299.9645173965332,0.9606101752992077,19.9
4.0%,400000,799.9999999949063,-7019641.006638631,1095712.0607058364,299.906512363121,0.9606101752992077,19.8
4.5%,450000,899.9999999925416,-7017525.1379153505,1096817.3763595724,300.2090474676071,0.9606101752992077,19.8
5.0%,500000,999.9999999901769,-7020321.979882304,1099253.2250088719,300.87576174342263,0.9606101752992077,19.8
5.5%,550000,1099.9999999878123,-7019899.962315608,1098963.718517853,300.7965211425917,0.9606101752992077,19.7
6.0%,600000,1199.9999999854476,-7020100.770018112,1097951.7755644906,300.5195430087033,0.9606101752992077,19.7
6.5%,650000,1299.999999983083,-7023443.66078794,1094340.6428727491,299.5311426340985,0.9606101752992077,19.7
7.0%,700000,1399.9999999807183,-7026937.742360897,1097475.091521994,300.38907018303024,0.9606101752992077,19.7
7.5%,750000,1499.9999999783536,-7025934.756579049,1098121.093463972,300.5658868818203,0.9606101752992077,19.7
8.0%,800000,1599.9999999759889,-7023434.354845196,1096672.5675566173,300.1694119606056,0.9606101752992077,19.7
8.5%,850000,1699.9999999736242,-7020922.424216334,1096749.530340339,300.19047738543344,0.9606101752992077,19.7
9.0%,900000,1799.9999999712595,-7019127.040512621,1098584.2145360145,300.6926473971957,0.9606101752992077,19.7
9.5%,950000,1899.9999999688948,-7022065.991588905,1099214.7552101759,300.865232204165,0.9606101752992077,19.7
10.0%,1000000,1999.9999999665301,-7021303.702677734,1097927.450840644,300.5128851070933,0.9606101752992077,19.7
10.5%,1050000,2099.9999999641655,-7020088.83358328,1097111.2518119984,300.28948389353224,0.9606101752992077,19.7
11.0%,1100000,2199.9999999618008,-7020385.523214605,1099400.9601189098,300.91619820770364,0.9606101752992077,19.7
11.5%,1150000,2299.999999959436,-7020348.061985314,1098510.3518297928,300.6724304922158,0.9606101752992077,19.7
12.0%,1200000,2399.9999999570714,-7021430.873500843,1095875.1560240374,299.9511530582621,0.9606101752992077,19.6
12.5%,1250000,2499.9999999547067,-7018090.955430619,1098372.9972563633,300.6348352766919,0.9606101752992077,19.6
13.0%,1300000,2599.999999952342,-7025115.934154466,1095680.4470995986,299.8978594270714,0.9606101752992077,19.6
13.5%,1350000,2699.9999999499773,-7020457.005855866,1100133.6144572138,301.1167324677965,0.9606101752992077,19.6
14.0%,1400000,2799.9999999476127,-7021715.701541577,1099375.606811209,300.9092587731916,0.9606101752992077,19.6
