#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-15982702.646212831,299.9809339014756,0
150000,-15983697.739962831,300.2814199375527,25.2
200000,-15988791.568087831,299.92260270059234,25.2
250000,-15979987.505587831,300.3520458692507,25.2
300000,-15986811.693087831,300.05041665167727,25.2
350000,-15987338.443087831,300.3251534242384,25.2
400000,-15980899.693087831,300.2421865598911,25.1
450000,-15986465.021212831,300.34539806194914,25.1
500000,-15988433.193087831,300.2788330671005,25.1
550000,-15988578.177462831,300.41461633450757,25.1
600000,-15989230.099337831,300.8652671828488,25.1
650000,-15989641.677462831,300.69683754490075,25.1
700000,-15993364.646212831,300.0064017482188,25.1
750000,-15985977.974337831,300.41362691427884,25.1
800000,-15987701.786837831,299.8735059382485,25.1
850000,-15990409.646212831,299.76048581439386,25.1
900000,-15988893.021212831,300.15692426051993,25.1
950000,-15987261.286837831,300.25291644285045,25.1
1000000,-15983579.724337831,300.0105948683401,25.1
1050000,-15985949.380587831,299.8336988157756,25.1
1100000,-15990229.896212831,300.50967700886247,25.1
1150000,-15985793.443087831,299.7885911797446,25.1
1200000,-15993956.114962831,300.2794224474425,25.1
1250000,-15979949.552462831,300.55398837688034,25
1300000,-15986094.521212831,300.63587672693313,24.7
1350000,-15984525.193087831,301.12481819721563,23.7
1400000,-15985307.927462831,300.23581802247423,22.8
1450000,-15992471.661837831,300.20185509790076,22
1500000,-15993081.271212831,300.1432460841366,21.3
1550000,-15989047.974337831,300.0474922514163,20.7
1600000,-15988429.708712831,299.9811779777697,20.2
1650000,-15988526.568087831,300.24404172894873,19.7
1700000,-15984429.052462831,300.49206121125553,19.3
1750000,-15988375.739962831,299.8584941534622,18.9
1800000,-15997221.427462831,300.3033315631549,18.6
1850000,-15986285.443087831,299.7734022393279,18.3
1900000,-15983888.864962831,300.801505981344,18
1950000,-15978954.005587831,299.94868372073375,17.7
2000000,-15989929.474337831,300.6627276468524,17.5
2050000,-15992488.208712831,300.43306327258216,17.2
2100000,-15982661.318087831,299.9427737165982,17
2150000,-15988509.833712831,300.41417824745224,16.8
2200000,-15989892.068087831,300.2272564797102,16.7
2250000,-15987893.755587831,300.1370727600936,16.5
2300000,-15983164.833712831,299.872909398638,16.3
2350000,-15990410.161837831,300.49432980004025,16.2
2400000,-15992287.052462831,300.02870410676286,16
2450000,-15982512.739962831,300.2560729991885,15.9
2500000,-15993088.333712831,300.6916182566751,15.8
2550000,-15986943.239962831,300.94783849100895,15.7
2600000,-15984613.927462831,300.7433560715533,15.6
2650000,-15978951.318087831,300.1538563124198,15.5
2700000,-15983559.255587831,300.4267909858549,15.4
2750000,-15988388.130587831,300.31259519655356,15.4
2800000,-15977389.302462831,300.31802519155804,15.5
2850000,-15991270.521212831,300.3076087187039,15.6
2900000,-15989132.786837831,300.162706781152,15.7
2950000,-15990560.989962831,300.3580093935239,15.8
3000000,-15983228.755587831,300.00079795281897,15.9
3050000,-15985639.896212831,300.3581343118039,16
3100000,-15987891.193087831,300.37606780280066,16.1
3150000,-15983053.396212831,300.7659243809054,16.2
3200000,-15984139.208712831,300.28348558175963,16.3
3250000,-15982260.693087831,300.5239526588037,16.4
3300000,-15985890.864962831,300.3098584722136,16.5
3350000,-15987402.411837831,300.0224190131237,16.6
3400000,-15986582.146212831,299.9991321715174,16.7
3450000,-15984855.489962831,300.41044251490615,16.8
3500000,-15986208.911837831,299.9549374437984,16.8
3550000,-15992095.130587831,300.3111008527499,16.9
3600000,-15981034.849337831,300.40956144849343,17
3650000,-15991491.927462831,300.40433382336363,17.1
3700000,-15990356.833712831,300.472424225051,17.1
3750000,-15988591.302462831,300.4763939596346,17.2
3800000,-15981542.568087831,299.8674163570954,17.3
3850000,-15990550.489962831,300.33406899703346,17.4
3900000,-15988854.739962831,300.06251350058653,17.4
3950000,-15991004.943087831,300.70455774872,17.5
4000000,-15991626.849337831,299.8692462384469,17.6
4050000,-15983228.818087831,300.27785045794315,17.6
4100000,-15987927.630587831,300.0357364956739,17.7
4150000,-15990085.927462831,300.2595750624407,17.8
4200000,-15989292.146212831,300.2451306912847,17.8
4250000,-15982300.318087831,300.1321816287711,17.9
4300000,-15992741.036837831,300.7581413466779,18
4350000,-15993345.083712831,299.8295827759085,18
4400000,-15980773.693087831,299.87553587762994,18.1
4450000,-15980323.521212831,299.9873945814969,18.1
4500000,-15994184.036837831,300.13627502168225,18.2
4550000,-15986557.818087831,300.28727580784204,18.2
4600000,-15995284.474337831,300.21205328696993,18.3
4650000,-15993182.896212831,300.03132897162607,18.4
4700000,-15985379.114962831,300.1472169493017,18.4
4750000,-15985938.521212831,300.682045890807,18.5
4800000,-15995532.021212831,299.8152605675576,18.5
4850000,-15984920.489962831,300.39564447146574,18.6
4900000,-15986110.036837831,300.5113737179932,18.6
4950000,-15990868.802462831,300.3124934965533,18.7
5000000,-15988564.114962831,300.1068613212603,18.7
5050000,-15984715.130587831,300.2714837363457,18.8
