#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-3576186.655466158,300.383102991094,0
70000,-3577143.674997408,300.8195436466213,90.5
80000,-3579092.444528658,300.05226961038653,90.4
90000,-3574631.913278658,301.3350701159476,90.5
100000,-3578294.155466158,300.2893310261901,90.4
110000,-3575929.647653658,299.8456572200051,90.4
120000,-3574305.405466158,299.9330283207127,90.5
130000,-3572409.510934908,300.6876539470392,90.5
140000,-3574468.745309908,300.5805084669889,90.4
150000,-3577297.467966158,300.0046311186015,90.4
160000,-3576586.975778658,300.214022108329,90.5
170000,-3576546.503122408,300.53851361417816,90.4
180000,-3578178.022653658,300.4546556754341,90.4
190000,-3573462.186716158,299.9373901593868,90.4
200000,-3580690.464059908,299.8597595822991,90.4
210000,-3577057.452341158,300.014631105153,90.4
220000,-3578309.710153658,300.24553145756505,90.4
230000,-3579231.038278658,300.63900663437494,90.4
240000,-3574155.741403658,300.13831559322136,90.4
250000,-3576464.401559908,300.1753863672394,90.4
260000,-3577580.022653658,299.3734426232239,90.4
270000,-3577336.092966158,301.1557040544621,90.4
280000,-3576004.663278658,299.83431007748413,90.4
290000,-3580288.721872408,300.9776228758115,90.4
300000,-3579415.932809908,299.49551474931945,90.4
310000,-3578019.296091158,299.9227911827817,90.4
320000,-3578657.436716158,299.8036542458057,90.4
330000,-3579084.190622408,299.9690463959732,90.4
340000,-3577650.284372408,299.50615470504107,90.4
350000,-3576072.299997408,299.6890065343947,90.4
360000,-3572512.768747408,300.4334932847052,90.4
370000,-3575210.124216158,300.16984669419014,90.4
380000,-3580764.413278658,300.18681350177,90.4
390000,-3575677.467966158,300.4992816604055,90.4
400000,-3576168.389841158,300.74945238481246,90.4
410000,-3577628.194528658,300.39977508254674,90.4
420000,-3576629.858591158,301.7376968527731,90.4
430000,-3580612.956247408,300.1407527409492,90.4
440000,-3576705.217966158,300.3853118490801,90.4
450000,-3575339.424997408,299.38080834499294,90.4
460000,-3575760.870309908,300.17119313135055,90.4
470000,-3576580.807809908,299.73442860967947,90.4
480000,-3576892.147653658,301.0589006729524,90.4
490000,-3577319.460153658,299.05905680794484,90.4
500000,-3577140.268747408,299.4310862132518,90.4
510000,-3576211.034372408,298.7463569555824,90.4
520000,-3577281.874216158,300.3347596918089,90.4
530000,-3579021.831247408,299.1774946397141,90.4
540000,-3577759.092966158,300.4153409605915,90.4
550000,-3577054.604684908,300.54097751307427,90.4
560000,-3577030.741403658,300.13591618005586,90.4
570000,-3577154.706247408,300.61359504440014,90.4
580000,-3576510.194528658,301.9189027276799,90.4
590000,-3577604.897653658,299.46064783306565,90.4
600000,-3577610.686716158,298.83307867287783,90.4
610000,-3574463.975778658,299.45732544807095,90.4
620000,-3574262.549997408,300.79610276152295,90.4
630000,-3575220.671091158,299.4649830559748,90.4
640000,-3575251.276559908,301.97494595706013,90.4
650000,-3581928.729684908,300.215895649125,90.4
660000,-3579179.159372408,300.5979510107373,90.4
670000,-3577648.014841158,300.750894778602,90.4
680000,-3575286.417184908,300.0892064973233,90.4
690000,-3578517.757028658,300.35339590106156,90.4
700000,-3576129.706247408,299.92033197665137,90.4
710000,-3579392.538278658,300.61796900182844,90.4
720000,-3576288.878122408,300.19859428685754,90.4
730000,-3578560.839059908,301.04845029177415,90.4
740000,-3578474.229684908,299.72724203839596,90.4
750000,-3579390.924997408,299.4695841483554,90.4
760000,-3574280.788278658,301.74921207669985,90.4
770000,-3575537.983591158,300.7574941529593,90.4
780000,-3576665.471872408,299.81293202109543,90.4
790000,-3577025.667184908,300.50785314971404,90.4
800000,-3574331.788278658,300.98959354310455,90.4
810000,-3576609.573434908,300.2360985857924,90.4
820000,-3574301.924997408,301.21390709120595,90.4
830000,-3579728.936716158,299.6090171082695,90.4
840000,-3579810.725778658,300.3521511870934,90.4
850000,-3576053.604684908,299.43363231420386,90.4
860000,-3577832.354684908,301.0548790110493,90.4
870000,-3574764.542184908,300.20247702852635,90.4
880000,-3576810.124216158,299.5948860608792,90.4
890000,-3575897.983591158,299.19371080914107,90.4
900000,-3578090.229684908,300.9220922154924,90.4
910000,-3581001.964059908,300.1617114826704,90.4
920000,-3573646.803903658,300.6338069265983,90.4
930000,-3576974.909372408,301.20756974472204,90.4
940000,-3577830.057809908,300.0724939871271,90.4
950000,-3577428.264841158,300.6089445554831,90.4
960000,-3579153.518747408,300.1414005342772,90.4
970000,-3579657.284372408,299.60219747469097,90.4
980000,-3575630.479684908,299.79849875005544,90.4
990000,-3582700.315622408,300.379215439846,90.4
1000000,-3576679.975778658,299.53947849086234,90.4
1010000,-3581820.702341158,299.25380467002094,90.4
1020000,-3576354.549997408,299.40759599461705,90.4
1030000,-3577409.303903658,301.02172354678123,90.4
1040000,-3576153.182809908,299.8037237817944,90.4
1050000,-3578069.257028658,300.38017808174783,90.4
1060000,-3575304.210153658,300.43660886361897,90.4
1070000,-3579351.639841158,300.47629465363696,90.4
1080000,-3575829.835153658,301.0931915163166,90.4
1090000,-3574592.339059908,301.1573818908819,90.4
1100000,-3577106.803903658,299.47510591843104,90.4
1110000,-3578346.065622408,300.15194261128966,90.4
1120000,-3575156.940622408,298.4444342763267,90.4
1130000,-3576268.370309908,299.6132920567626,90.4
1140000,-3577529.987497408,300.0613467899932,90.4
1150000,-3578110.460153658,299.9111969165887,90.4
1160000,-3579144.858591158,300.62412706942894,90.4
1170000,-3577261.874216158,300.46408335419983,90.4
1180000,-3579095.565622408,300.080734482302,90.4
1190000,-3574450.526559908,300.21498939234203,90.4
1200000,-3577715.667184908,300.35204872382593,90.4
1210000,-3579688.698434908,300.69062546028397,90.4
1220000,-3578869.077341158,299.6766465024092,90.4
1230000,-3578033.389841158,300.89104969331646,90.4
1240000,-3575472.760934908,300.1327566140608,90.4
1250000,-3578449.159372408,300.24734341071036,90.4
1260000,-3579169.034372408,300.05887477276207,90.4
1270000,-3574707.534372408,298.4841157642622,90.4
1280000,-3577161.632028658,300.3167667078657,90.3
1290000,-3577815.964059908,299.4601329022108,90.3
1300000,-3575360.604684908,300.63632396330627,90.3
1310000,-3575788.620309908,299.0131109933874,90.3
1320000,-3577180.518747408,300.36700106140034,90.3
1330000,-3578883.471872408,300.53008783831746,90.3
1340000,-3581808.553903658,300.70384819936896,90.3
1350000,-3574959.971872408,299.68861821304955,90.3
1360000,-3576815.999216158,299.88641583559377,90.3
1370000,-3579811.628122408,300.6768088831472,90.3
1380000,-3579689.444528658,300.0275509313732,90.3
1390000,-3580262.866403658,299.94890212591275,90.3
1400000,-3576161.690622408,300.3638243979683,90.3
1410000,-3577094.702341158,299.60112916806344,90.3
1420000,-3580059.385934908,301.8531487369594,90.3
1430000,-3574935.514841158,301.8268083455204,90.3
1440000,-3574689.280466158,300.04989328639317,90.3
1450000,-3577295.132028658,301.30097440413317,90.3
1460000,-3579508.288278658,299.52307121276573,90.3
1470000,-3578981.081247408,300.8114013794015,90.3
1480000,-3580153.096872408,299.8259429043959,90.3
1490000,-3577723.901559908,299.20875850822364,90.3
1500000,-3581074.057809908,299.60543478413604,90.3
1510000,-3578406.022653658,299.6006225313776,90.3
1520000,-3576109.296091158,300.99910995550647,90.3
1530000,-3577851.940622408,300.30266579842385,90.3
1540000,-3578574.190622408,301.25691381631395,90.3
1550000,-3579733.276559908,299.52185005922985,90.3
1560000,-3577998.553903658,300.3669452695396,90.3
1570000,-3574759.194528658,301.491430830321,90.3
1580000,-3577229.768747408,300.38145458778143,90.3
1590000,-3577399.655466158,300.69456662131034,90.3
1600000,-3573253.620309908,300.1305883441113,90.3
1610000,-3578903.475778658,300.5394449342259,90.3
1620000,-3577654.171091158,301.496212422502,90.3
1630000,-3579258.850778658,301.3781252012458,90.3
1640000,-3577779.714059908,300.28503073057374,90.3
1650000,-3575433.796091158,300.1325432503513,90.3
1660000,-3578102.952341158,299.94769897489664,90.3
1670000,-3573308.417184908,299.72565441334615,90.3
1680000,-3576714.964059908,300.9788583783032,90.3
1690000,-3575647.507028658,300.0360328010829,90.3
1700000,-3578375.651559908,300.2857281341562,90.3
1710000,-3578570.858591158,299.75839761522576,90.3
1720000,-3575781.342966158,301.1423065755329,90.3
1730000,-3577414.585153658,300.1858396175188,90.3
1740000,-3575652.823434908,300.4966242818011,90.3
1750000,-3579472.401559908,300.41511078231383,90.3
1760000,-3577574.780466158,299.93205956937936,90.3
1770000,-3578727.147653658,300.16519216059714,90.3
1780000,-3576731.971872408,300.63682612819173,90.3
1790000,-3578923.803903658,300.4562885796415,90.3
1800000,-3579492.081247408,300.29373057348346,90.3
1810000,-3578328.385934908,300.1841213381286,90.3
1820000,-3581042.307809908,300.902799780264,90.3
1830000,-3576535.917184908,299.7776804032031,90.3
1840000,-3575776.592966158,300.40824894493954,90.3
1850000,-3579157.741403658,299.76279614235295,90.3
1860000,-3578569.460153658,301.25641435619633,90.3
1870000,-3575605.311716158,300.4278997909811,90.3
1880000,-3575561.882028658,300.4608891309566,90.3
1890000,-3578752.870309908,300.1096047793152,90.3
1900000,-3577392.467966158,301.09578282301953,90.3
1910000,-3577311.342966158,301.54293634415006,90.3
1920000,-3578363.081247408,301.3902133027479,90.3
1930000,-3577031.467966158,301.3056481059245,90.3
1940000,-3578426.366403658,301.9389984378725,90.2
1950000,-3580236.167184908,300.56846750684224,90.2
1960000,-3572879.260934908,301.32412895357186,90.2
1970000,-3579259.034372408,300.6728441362597,90.2
1980000,-3578139.491403658,299.39109001948003,90.2
1990000,-3580693.913278658,300.4448960809384,90.2
2000000,-3577551.432809908,300.7521060200693,90.3
2010000,-3577340.725778658,300.47267581220046,90.2
2020000,-3580104.116403658,300.46416732336326,90.2
2030000,-3578907.311716158,300.5811994595925,90.2
2040000,-3575650.616403658,300.70828894992997,90.2
2050000,-3576766.424997408,300.07436904267223,90.2
2060000,-3575794.901559908,299.9904313297907,90.2
2070000,-3574231.538278658,301.4254905245299,90.2
2080000,-3577986.604684908,300.84810163858475,90.2
2090000,-3578730.155466158,299.76734140249266,90.2
2100000,-3577253.077341158,299.53883621112766,90.2
2110000,-3577452.624216158,299.8327663524023,90.2
2120000,-3579138.003122408,300.0865048881053,90.2
2130000,-3578031.983591158,300.69721469225357,90.2
2140000,-3577048.921091158,300.85034504535827,90.2
2150000,-3579877.342966158,300.7061545648773,90.2
2160000,-3581401.768747408,300.6390002842885,90.2
2170000,-3577189.737497408,301.27570697024134,90.2
2180000,-3579120.167184908,301.10270053704517,90.2
2190000,-3577420.960153658,300.68137691998254,90.2
2200000,-3578042.581247408,299.2307295255531,90.2
2210000,-3577473.542184908,300.9036937359119,90.2
2220000,-3577660.952341158,300.4117988223428,90.2
2230000,-3577476.729684908,300.12871914200923,90.2
2240000,-3575890.530466158,301.6962753218046,90.2
2250000,-3575195.456247408,300.2599994304054,90.2
2260000,-3578674.831247408,301.22490344065255,90.2
2270000,-3579118.671091158,300.3530703513003,90.2
2280000,-3580304.952341158,299.5718026527799,90.2
2290000,-3576672.495309908,299.1887935276002,90.2
2300000,-3575947.464059908,301.27602153198353,90.2
2310000,-3577585.885934908,300.90433055802,90.2
2320000,-3575344.714059908,300.3890608303542,90.2
2330000,-3577463.096872408,300.59795171223453,90.2
2340000,-3576142.018747408,301.351906046948,90.2
2350000,-3579818.112497408,299.89416859287593,90.2
2360000,-3580053.737497408,300.0340426369438,90.2
2370000,-3577442.522653658,299.57984674835274,90.2
2380000,-3577314.362497408,300.61047513843897,90.2
2390000,-3579697.471872408,301.7534006983636,90.2
2400000,-3577395.460153658,300.18076313119457,90.2
2410000,-3577964.432809908,300.95401927022067,90.2
2420000,-3580567.014841158,301.25670402625343,90.2
2430000,-3577511.635934908,301.53162821785105,90.2
2440000,-3578314.217966158,299.5848642492302,90.2
2450000,-3577047.616403658,300.2978938555784,90.2
2460000,-3576517.936716158,301.11109008515194,90.2
2470000,-3576432.452341158,298.88364677654715,90.2
2480000,-3580703.940622408,299.039635195124,90.2
2490000,-3578257.897653658,299.76177169200724,90.2
2500000,-3579978.753122408,300.4183551712476,90.2
2510000,-3579182.682809908,301.3792262214366,90.2
2520000,-3575862.862497408,301.52865029707505,90.2
2530000,-3578057.733591158,301.02560755304637,90.2
2540000,-3575485.596872408,300.80169354743157,90.2
2550000,-3575377.460153658,300.53278827693197,90.2
2560000,-3575534.682809908,298.6205510852278,90.2
2570000,-3574622.311716158,301.13241455121664,90.2
2580000,-3574652.292184908,300.6715688937309,90.2
2590000,-3578095.671091158,301.03020538798154,90.2
2600000,-3580008.737497408,300.85951568088615,90.2
2610000,-3577624.878122408,299.0033653872556,90.2
2620000,-3582530.710153658,299.9341502800575,90.2
2630000,-3577751.397653658,300.91620023578224,90.2
2640000,-3579532.198434908,300.67772140901104,90.2
2650000,-3579027.409372408,300.9216371412239,90.2
2660000,-3580897.003122408,299.8799727107036,90.2
2670000,-3575839.479684908,300.7669815584612,90.2
2680000,-3576580.858591158,300.09468780213837,90.2
2690000,-3575591.979684908,300.49785183280017,90.2
2700000,-3573285.382028658,300.25060019674265,90.2
2710000,-3577607.581247408,299.6839107909678,90.2
2720000,-3575327.214059908,300.8912064050919,90.2
2730000,-3575070.510934908,299.56568900087694,90.2
2740000,-3575176.717966158,300.97982693778044,90.2
2750000,-3575418.096872408,300.22712486712084,90.2
2760000,-3577222.382028658,301.0984424350919,90.2
2770000,-3578515.221872408,300.8557472030919,90.2
2780000,-3578835.350778658,299.5457047169753,90.2
2790000,-3578519.335153658,301.13194827068224,90.2
2800000,-3576636.874216158,300.2196608711117,90.2
2810000,-3577016.686716158,301.14746050663837,90.2
2820000,-3578722.768747408,300.3898681761563,90.2
2830000,-3575177.882028658,299.8848799165557,90.2
2840000,-3576970.768747408,299.86657816858934,90.2
2850000,-3578567.100778658,299.5060685920656,90.2
2860000,-3577108.979684908,301.60955363926485,90.2
2870000,-3576184.960153658,300.55970750378657,90.2
2880000,-3579473.717966158,300.43851179676085,90.2
2890000,-3574974.257028658,301.2360675510388,90.2
2900000,-3576723.741403658,300.1620232301652,90.2
2910000,-3578417.573434908,301.18329361968205,90.2
2920000,-3576773.253122408,300.9918933105723,90.2
2930000,-3574340.186716158,300.6118788306942,90.2
2940000,-3576945.315622408,300.7097706134404,90.2
2950000,-3575927.667184908,299.0538043011461,90.2
2960000,-3578631.878122408,300.27763451731334,90.2
2970000,-3576349.878122408,300.65477281912035,90.2
2980000,-3574647.327341158,300.64265359795013,90.2
2990000,-3576113.807809908,299.4756027380058,90.2
3000000,-3576697.096872408,300.30104700452455,90.2
