#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-10764578.623924427,300.4950790526168,0
70000,-10756591.452049427,300.6155753732692,21.4
80000,-10760669.209861927,300.4727945168514,21.6
90000,-10752310.186424427,300.38738899738684,21.8
100000,-10761425.459861927,301.0315262304774,21.9
110000,-10758171.420799427,300.25740343421046,22
120000,-10761776.764549427,300.1951084853705,21.9
130000,-10761610.022361927,300.4303300106934,21.9
140000,-10759394.889549427,300.0042648739939,22
150000,-10761682.834861927,300.46975211746906,22.1
160000,-10757438.756736927,299.77028089844293,22.2
170000,-10756734.147361927,301.3158690071439,22.4
180000,-10754238.217674427,300.94772251511324,22.5
190000,-10759744.850486927,300.97901878620934,22.5
200000,-10763464.131736927,300.50174107218294,22.6
210000,-10762645.248924427,300.34955593368824,22.7
220000,-10760566.530174427,300.13130944946363,22.7
230000,-10758337.397361927,300.00030626794745,22.7
240000,-10760214.069236927,300.5225111602808,22.7
250000,-10761161.280174427,300.28498766102473,22.7
260000,-10758619.850486927,300.56223251841215,22.8
270000,-10754855.991111927,299.55418442286805,22.8
280000,-10761898.920799427,300.4895277613747,22.8
290000,-10759401.264549427,300.5727136259378,22.8
300000,-10760674.952049427,300.06147518414275,22.8
310000,-10757618.389549427,299.8221647503414,22.9
320000,-10758951.709861927,299.8011032940082,22.9
330000,-10755602.662986927,300.73845969113427,22.9
340000,-10759381.264549427,299.88046589197546,22.9
350000,-10758549.936424427,300.00392017037234,22.9
360000,-10758833.350486927,300.35226228764463,22.9
370000,-10761185.209861927,300.41200550903943,22.9
380000,-10755252.108299427,300.6308812643803,22.9
390000,-10762264.295799427,299.8594645540312,22.9
400000,-10753598.725486927,300.30921459394176,22.9
410000,-10763414.858299427,299.9707191840932,23
420000,-10753289.491111927,300.6980613179424,22.9
430000,-10762290.655174427,300.5937446169394,22.9
440000,-10755489.600486927,300.6697264947316,22.9
450000,-10759365.530174427,299.92397376314153,22.9
460000,-10764685.530174427,301.2020259126012,22.9
470000,-10766969.686424427,300.49757203317864,22.9
480000,-10764021.569236927,300.8192371499157,22.9
490000,-10759872.967674427,299.680372253608,22.9
500000,-10758788.912986927,300.42575079298365,22.9
510000,-10758909.483299427,300.0354430263223,22.9
520000,-10760721.178611927,301.1731556778649,22.9
530000,-10761895.131736927,299.81798252830686,22.9
540000,-10757011.233299427,300.08952360864066,22.9
550000,-10755334.248924427,299.89584815024426,22.9
560000,-10760094.670799427,299.47661053498706,22.8
570000,-10761988.631736927,300.2813817528787,22.8
580000,-10762102.920799427,300.0668979034174,22.8
590000,-10759242.905174427,300.2695476242627,22.7
600000,-10760849.436424427,299.6613852765143,22.7
610000,-10759143.045799427,300.68129315235035,22.6
620000,-10762777.991111927,301.2126755472891,22.1
630000,-10761778.280174427,300.2894897460765,21.7
640000,-10762513.053611927,300.5502383676362,21.3
650000,-10755726.866111927,300.63005035249967,21
660000,-10760353.366111927,299.9037311449034,20.7
670000,-10765457.858299427,299.9782471994642,20.4
680000,-10759302.967674427,299.62584540596026,20.1
