#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-3126830.910678787,300.32719832957594,0
70000,-3128393.844272537,299.799031959453,101
80000,-3129603.410678787,299.4031452920095,101
90000,-3128305.621616287,300.5653404749956,101
100000,-3127183.074741287,301.21668570791905,101
110000,-3130273.945835037,300.7506959929703,101
120000,-3129129.145053787,299.1991089956113,101
130000,-3129658.809116287,300.6724572818078,101
140000,-3132538.559116287,300.34872801296297,101
150000,-3127471.777866287,300.41451143306483,101
160000,-3127661.445835037,299.48509074148404,101
170000,-3130513.691928787,300.02690533388716,101
180000,-3129542.988803787,301.29627584705855,101
190000,-3131552.129428787,300.2488582932601,101
200000,-3130129.355991287,300.2425020189802,101
210000,-3130542.418491287,299.9858264864994,101
220000,-3129297.070835037,299.9264875048565,101
230000,-3131193.926303787,299.98799313296394,101
240000,-3127851.348178787,301.2024770967261,101
250000,-3130608.563022537,300.63447879026785,101
260000,-3129849.020053787,300.5715489471468,101
270000,-3129774.910678787,299.87703712236686,101
280000,-3130187.664585037,299.7641508037501,101
290000,-3132144.164585037,300.96432256795515,101
300000,-3132149.266147537,301.699138310221,101
310000,-3130320.367710037,300.3904666384131,101
320000,-3130382.992710037,301.98909454700504,101
330000,-3128122.734897537,301.470387294578,101
340000,-3130835.656772537,299.9583428763234,101
350000,-3129887.047397537,299.63613856672174,101
360000,-3129133.379428787,301.2955104013286,101
370000,-3132921.695835037,300.2231570404018,100
380000,-3129954.379428787,300.3319409744648,99.7
390000,-3132345.301303787,299.5920085823042,99.4
400000,-3127209.766147537,300.76819436715243,99.2
410000,-3125977.164585037,301.209424193916,99.1
420000,-3132487.984897537,300.7561517120942,99.1
430000,-3130030.508335037,299.9791710349131,99
440000,-3132665.914585037,300.34273762818276,99
450000,-3127459.895053787,300.9107377254632,99
460000,-3124845.129428787,299.3317137716602,99
470000,-3127517.973178787,299.4118212986433,98.9
480000,-3129190.418491287,300.0552807177082,98.9
490000,-3128901.512241287,301.363372605077,98.9
500000,-3129807.609897537,299.9094574288362,98.9
510000,-3129805.695835037,299.22424096144186,98.9
520000,-3131976.324741287,300.3762467325179,98.9
530000,-3127132.648960037,300.4355840817061,98.9
540000,-3133587.961460037,300.2110659052223,98.9
550000,-3131242.668491287,299.42549201452357,98.9
560000,-3129906.492710037,300.5235562787493,98.9
570000,-3132392.270053787,300.03402849272146,98.9
580000,-3129492.254428787,298.86947567400694,98.9
590000,-3131457.629428787,299.2592169615532,98.9
600000,-3131948.977085037,300.4155179092054,98.9
610000,-3132217.785678787,300.18362727943395,98.9
620000,-3133819.684116287,300.9435229974774,98.8
630000,-3131377.422397537,300.8874647999167,98.8
640000,-3128336.531772537,300.48048381624,98.8
650000,-3129247.578647537,299.7411473965828,98.8
660000,-3131206.223178787,299.5197519063793,98.8
670000,-3132277.559116287,299.52820122042704,98.8
680000,-3126698.145053787,299.49770533198085,98.8
690000,-3129504.977085037,299.9068680338491,98.4
700000,-3128308.117710037,300.3650089185191,98
710000,-3129191.109897537,300.2249399237171,98
720000,-3128408.789585037,300.1276727479943,97.9
730000,-3130776.594272537,301.0345888922243,97.9
740000,-3129634.242710037,300.2470552747593,97.9
750000,-3131520.789585037,300.07563714830394,97.9
760000,-3129069.734897537,300.17816958071353,97.9
770000,-3130951.285678787,300.4502181247376,97.9
780000,-3132235.238803787,299.50120269764653,98
790000,-3130778.012241287,301.5703265757169,98
800000,-3126464.398960037,300.3649336597257,98
810000,-3130812.543491287,299.80676004580636,98
820000,-3129698.840366287,300.2252806715211,98
830000,-3130639.355991287,299.1709894107308,98
840000,-3129285.705600662,301.14550348417026,98
850000,-3126205.270053787,300.1758455715754,98
860000,-3128755.184116287,300.5171436029992,98
870000,-3130504.844272537,301.29259438393274,98
880000,-3128141.035678787,300.9883691702246,98
890000,-3129155.352085037,301.26193824219445,98
900000,-3130387.254428787,300.5749802788934,98
910000,-3132154.430210037,301.1020131849325,98
920000,-3129716.391147537,300.69170583058974,98
930000,-3125705.789585037,301.0540666339196,98
940000,-3130091.105991287,300.7456851440435,98
950000,-3128155.496616287,299.75854434260305,98
960000,-3131154.258335037,299.8923560386621,98
970000,-3131319.609897537,301.33810629892025,98
980000,-3128713.520053787,300.5946625477981,98
990000,-3129865.332553787,300.4284496445547,98
1000000,-3130246.578647537,300.36925210892576,98
1010000,-3132005.473178787,300.4336955655314,98
1020000,-3132473.648960037,300.7820149011883,98
1030000,-3130686.289585037,301.2562068908712,98
1040000,-3130105.461460037,299.1783200817819,98
1050000,-3132322.406772537,301.22506437552715,98
1060000,-3130734.457553787,300.70870592001455,98
1070000,-3129942.863803787,299.58503996717275,98
1080000,-3130009.031772537,299.71881785725947,98
1090000,-3134573.371616287,299.4165792702943,98
1100000,-3127641.566928787,301.68022646585746,98
1110000,-3131393.141147537,300.10510362319553,98
1120000,-3127670.699741287,299.3888375370734,98
1130000,-3130854.180210037,299.6895376398532,98
1140000,-3129730.004428787,300.034360760015,98
1150000,-3130299.908725662,300.4992782391386,98
1160000,-3131481.473178787,300.9297976481044,98
1170000,-3132515.082553787,300.12157570918,98
1180000,-3129811.770053787,301.19538298752843,98
1190000,-3129426.969272537,299.26106210034783,98.1
1200000,-3131248.457553787,299.81041062015413,98.1
1210000,-3130694.520053787,299.6177611425595,98.1
1220000,-3130332.305210037,299.9967142068736,98.1
1230000,-3132744.828647537,300.02984342917875,98.1
1240000,-3130119.398960037,299.69154707626564,98.1
1250000,-3127072.363803787,299.71457745988454,98.1
1260000,-3130903.984897537,301.3354027281097,98.1
1270000,-3129050.699741287,299.7176016221263,98.1
1280000,-3129066.379428787,301.0268997802274,98.1
1290000,-3132139.781772537,300.4010289103274,98.1
1300000,-3130871.445835037,301.21610084275886,98.1
1310000,-3130664.051303787,299.2390842918497,98.1
1320000,-3130627.395053787,299.5987492517295,98.1
1330000,-3130546.887241287,300.35417172340004,98.1
1340000,-3126828.035678787,299.6059491232952,98.1
1350000,-3130761.859897537,300.4338342720728,98.1
1360000,-3132136.434116287,299.98684385731997,98.1
1370000,-3126052.402866287,300.98326753355485,98.1
1380000,-3132180.637241287,300.5357164188607,98.1
1390000,-3131875.824741287,300.2670972468548,98.1
1400000,-3128184.973178787,300.2731113209537,98.1
1410000,-3127877.945835037,300.0378695684166,98.1
1420000,-3128261.914585037,300.54296334235465,98.1
1430000,-3133026.129428787,300.5183587142069,98.1
1440000,-3129701.746616287,299.6154443327452,98.1
1450000,-3129698.969272537,300.2981080039168,98.1
1460000,-3129204.332553787,300.4513910037028,98.1
1470000,-3129278.254428787,299.22865176754266,98.1
1480000,-3130091.824741287,300.34119295557775,98.1
1490000,-3129717.777866287,300.76400164961916,98.1
1500000,-3127969.727085037,300.0469991149447,98.1
1510000,-3131686.949741287,299.4756197748112,98.1
1520000,-3130111.645053787,300.6505338116869,98.1
1530000,-3130736.805210037,301.04539842196084,98.1
