#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-21698431.025980756,300.08076454606766,0
70000,-21688061.088480756,300.224757976577,6.3
80000,-21685841.775980756,300.3244598528778,6.29
90000,-21695982.150980756,300.508839595102,6.3
100000,-21688527.963480756,300.46508549710677,6.29
110000,-21700734.244730756,300.7407586461982,6.29
120000,-21695717.182230756,300.245157168754,6.29
130000,-21695854.994730756,300.42238578219076,6.29
140000,-21699321.213480756,300.90185691592586,6.29
150000,-21698649.400980756,300.65268167805687,6.29
160000,-21702825.057230756,300.76403659390274,6.29
170000,-21701406.869730756,299.99458616801127,6.29
180000,-21697837.807230756,300.5837703197097,6.29
190000,-21701036.994730756,299.987769695019,6.29
200000,-21706099.150980756,300.18430061871993,6.29
210000,-21702452.557230756,300.43651250910165,6.29
220000,-21709662.494730756,300.4512347809488,6.29
230000,-21703281.088480756,300.56798887787954,6.29
240000,-21692206.025980756,300.33374661717556,6.29
250000,-21700118.119730756,300.3943762936675,6.29
260000,-21699101.463480756,300.1512902109113,6.29
270000,-21703617.557230756,299.69767919366456,6.29
280000,-21708792.588480756,300.25474617695056,6.29
290000,-21704236.213480756,300.4668809444214,6.29
300000,-21706538.432230756,300.4815083772764,6.29
310000,-21700857.400980756,300.3334075790639,6.29
320000,-21700593.619730756,300.03968456051365,6.29
330000,-21696888.025980756,300.56643551276744,6.28
340000,-21705572.994730756,300.19190322328274,6.28
350000,-21700165.682230756,300.56493507711974,6.28
360000,-21708968.213480756,300.3201111041256,6.28
370000,-21707009.900980756,300.13841596722233,6.28
380000,-21700894.869730756,299.87319784628625,6.28
390000,-21706403.994730756,300.10793570970344,6.28
400000,-21704075.213480756,300.258783575954,6.28
410000,-21713685.025980756,300.5718647013213,6.28
420000,-21707994.994730756,300.4856866634749,6.28
430000,-21701472.619730756,300.3093553063951,6.28
440000,-21710756.932230756,300.64631415635967,6.28
450000,-21704811.744730756,300.6365792173278,6.28
460000,-21718189.275980756,300.1579246619156,6.28
470000,-21717696.932230756,299.98663306681857,6.28
480000,-21704301.619730756,300.65526583312436,6.28
490000,-21718578.150980756,299.9001743324625,6.28
500000,-21699429.807230756,300.3526061187935,6.28
510000,-21710550.400980756,300.49608154270095,6.28
520000,-21707821.307230756,300.27966079658194,6.28
530000,-21717191.057230756,300.53353367949467,6.28
540000,-21706858.213480756,300.59461520224943,6.28
550000,-21708415.244730756,300.49275840505294,6.28
560000,-21718344.682230756,299.9672621495625,6.28
570000,-21709584.432230756,299.9476515628184,6.28
580000,-21711741.775980756,300.4783256883133,6.28
590000,-21709459.025980756,300.3556821355891,6.28
600000,-21714305.900980756,300.66333465155066,6.28
610000,-21711060.432230756,299.93239667138846,6.28
