#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-51546996.537469596,299.9203548171024,0
70000,-51545413.537469596,300.19933796498225,4.32
80000,-51551098.349969596,300.30331258085715,4.31
90000,-51533321.787469596,300.26545890831505,4.3
100000,-51550325.912469596,300.4330959174949,4.3
110000,-51538487.224969596,300.1766887567147,4.3
120000,-51537237.162469596,300.5392095965785,4.3
130000,-51552405.037469596,300.2403170397399,4.3
140000,-51550419.349969596,300.28231195876486,4.3
150000,-51537897.099969596,300.65840442483386,4.3
160000,-51531248.974969596,300.3109826137216,4.3
170000,-51543743.599969596,300.3450230401249,4.3
180000,-51544839.099969596,300.247113004531,4.3
190000,-51545436.412469596,300.19133884140973,4.3
200000,-51546868.224969596,300.2723341568165,4.3
210000,-51546902.912469596,300.2486228474093,4.3
220000,-51548356.912469596,300.27221019683606,4.31
230000,-51538312.849969596,300.252324954311,4.31
240000,-51538149.599969596,300.5635121810435,4.31
250000,-51548159.224969596,300.2464542833465,4.31
260000,-51545027.787469596,300.13522374392636,4.31
270000,-51535637.349969596,300.3215725061682,4.31
280000,-51532494.287469596,300.1107989832901,4.31
290000,-51544002.162469596,300.12479249237924,4.31
300000,-51539062.349969596,300.00775354524336,4.31
310000,-51541664.849969596,299.7886308019114,4.31
320000,-51545634.287469596,300.3947253375131,4.31
330000,-51550579.662469596,300.29447841277573,4.31
340000,-51540775.099969596,300.2521720015593,4.31
350000,-51525542.474969596,300.38515261528426,4.31
360000,-51542181.162469596,300.24673902468277,4.31
370000,-51546775.099969596,300.10587107041636,4.31
380000,-51543922.287469596,300.10674500994173,4.31
390000,-51538832.099969596,300.2746571204362,4.31
400000,-51540433.849969596,300.26108207978785,4.31
410000,-51548348.662469596,300.303630935904,4.31
420000,-51547737.849969596,300.4520138584678,4.31
430000,-51541842.037469596,300.17587324767095,4.31
440000,-51547306.974969596,300.4817021083452,4.31
450000,-51541783.974969596,300.2417869461578,4.31
460000,-51540945.287469596,300.0488683440275,4.31
470000,-51543309.662469596,300.0908241095875,4.32
480000,-51545041.787469596,300.2718076890417,4.31
490000,-51542928.287469596,300.0511598831934,4.31
500000,-51554858.662469596,300.4725891280793,4.31
510000,-51534858.724969596,300.1942558296441,4.32
520000,-51553128.349969596,300.3661174942033,4.32
530000,-51552549.724969596,300.4081698048141,4.32
540000,-51543101.912469596,300.38436377961773,4.32
550000,-51546862.787469596,300.4372907747946,4.32
560000,-51539905.287469596,300.21839192969856,4.32
570000,-51540003.162469596,300.3351908503968,4.32
580000,-51545461.662469596,300.19834788204844,4.32
590000,-51553362.724969596,300.3034886064788,4.32
600000,-51549986.787469596,300.3935601652044,4.32
610000,-51550087.537469596,300.3621184752339,4.32
620000,-51554203.787469596,300.3571442725085,4.32
630000,-51540020.599969596,300.40043882806555,4.32
640000,-51557459.599969596,300.4272482582638,4.32
650000,-51539024.537469596,300.2036414512256,4.32
660000,-51543864.474969596,299.94914709087146,4.32
670000,-51551885.162469596,300.1463142085197,4.32
680000,-51547323.099969596,300.6494738772021,4.32
690000,-51550054.724969596,300.2840551880792,4.32
700000,-51540666.287469596,300.3781659863228,4.32
710000,-51551430.849969596,299.8969353293973,4.32
720000,-51537480.912469596,300.2860919689041,4.32
730000,-51547879.537469596,300.30532508122633,4.32
740000,-51539167.537469596,300.35164601599547,4.32
750000,-51544179.599969596,300.4049096620337,4.32
