#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-11027778.060986042,300.38984196920507,0
70000,-11022708.412548542,300.1346709146758,13.8
80000,-11023918.857861042,299.899061154834,13.8
90000,-11028239.787548542,299.99639252805514,13.8
100000,-11021441.959423542,300.40050783790645,13.8
110000,-11022634.146923542,300.9372559766466,13.8
120000,-11023418.873486042,299.8296786959149,13.8
130000,-11025402.779736042,300.35211738325586,13.8
140000,-11021425.264111042,300.08321164620827,13.8
150000,-11024302.381298542,300.2288402953493,13.8
160000,-11022485.842236042,300.2395583886281,13.8
170000,-11020929.139111042,300.63519949743335,13.8
180000,-11033804.412548542,299.74770524378994,13.8
190000,-11023986.850048542,300.0613682907667,13.8
200000,-11026808.842236042,300.32769621024363,13.7
210000,-11027417.725048542,299.96109316330444,13.9
220000,-11025697.818798542,299.99134367365815,14.2
230000,-11024844.889111042,300.35403214597204,14.6
240000,-11017337.310986042,301.0768978957025,14.9
250000,-11022549.701611042,300.7358884847665,15.2
260000,-11024350.318798542,300.2002172153995,15.5
270000,-11029592.123486042,300.1266442234504,15.8
280000,-11024396.287548542,301.4371523608664,16
290000,-11024373.490673542,300.5687604616495,16.3
300000,-11022049.623486042,300.61477734633195,16.5
310000,-11022065.279736042,300.1414485650288,16.7
320000,-11026049.709423542,300.8877354792143,16.9
330000,-11021648.303173542,300.1806320799538,17.1
340000,-11027749.607861042,299.77654659173504,17.3
350000,-11022404.342236042,300.4347780107566,17.4
360000,-11025539.646923542,300.4046587163516,17.6
370000,-11027162.764111042,299.6361898716787,17.8
380000,-11020842.271923542,300.96709100861926,17.9
390000,-11028090.068798542,300.52981379317794,18
400000,-11029964.326611042,300.7326131995688,18.2
410000,-11021114.201611042,300.11166811459725,18.3
420000,-11023338.396923542,300.67463393116225,18.4
430000,-11024326.209423542,300.73265111632605,18.6
440000,-11022982.451611042,300.2714601081423,18.7
450000,-11026620.623486042,300.4051916151958,18.8
460000,-11028201.529736042,300.1089553904316,18.9
470000,-11022798.826611042,300.5484021839734,19
480000,-11027800.146923542,299.5835382248979,19.1
490000,-11022814.935986042,300.34118615767505,19.2
500000,-11022388.146923542,300.11726965847066,19.3
510000,-11021170.060986042,300.63046183110305,19.4
520000,-11023604.045361042,300.4203732934132,19.4
530000,-11027447.967236042,299.88107753562093,19.5
540000,-11026592.420361042,299.64210102416945,19.6
550000,-11022870.482861042,301.47334474657043,19.7
560000,-11026317.850048542,300.0059421655941,19.8
570000,-11025387.959423542,300.56326249171207,19.8
580000,-11025378.693798542,300.21795449604815,19.9
590000,-11018802.951611042,299.7271730198005,20
600000,-11021876.998486042,299.9276998479237,20
610000,-11024545.264111042,300.2400121497894,20.1
620000,-11025649.615673542,300.2671644630238,20.2
630000,-11029366.850048542,299.8541565807925,20.2
640000,-11023445.537548542,300.0921732792661,20.3
650000,-11025464.287548542,299.8869107195133,20.3
660000,-11029655.748486042,300.72989965257557,20.4
