#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-7486591.33900445,300.4781794649414,0
70000,-7487984.74525445,301.52145895227477,36.6
80000,-7491820.81556695,300.5403515924419,36.6
90000,-7485775.76869195,300.16095446201086,36.6
100000,-7481232.36244195,300.4453781297214,36.6
110000,-7493559.85462945,299.6261936622537,36.6
120000,-7495316.76869195,300.5840913415332,36.6
130000,-7496032.99525445,300.1266264561388,36.6
140000,-7497929.63587945,299.6870697095364,36.6
150000,-7492318.54212945,300.87702093703564,36.6
160000,-7490280.99525445,299.90652016152774,36.6
170000,-7493178.54212945,299.7804794989513,36.6
180000,-7491675.76087945,300.4640169984065,36.6
190000,-7486513.67494195,300.08710868863835,36.6
200000,-7496028.02650445,300.36307700156044,36.6
210000,-7498835.53431695,300.170257617127,36.6
220000,-7495525.62025445,301.0925599381652,36.6
230000,-7494327.06556695,300.11872238380613,36.6
240000,-7493105.59681695,300.74507141537475,36.6
250000,-7494828.47962945,299.81658250874756,36.6
260000,-7493075.51087945,300.27251529520305,36.6
270000,-7492273.58900445,299.9681837092994,36.6
280000,-7490422.27650445,300.0577521917057,36.6
290000,-7494910.71400445,300.3905853573021,36.6
300000,-7499623.19056695,299.9477681924945,36.6
310000,-7496255.03431695,300.47370496183277,36.6
320000,-7494826.54994195,300.88669020294395,36.6
330000,-7493780.10462945,300.75313614769703,36.6
340000,-7494528.01869195,300.5874374352078,36.6
350000,-7491876.63587945,300.50186855563544,36.6
360000,-7500280.88587945,300.5242873777908,36.6
370000,-7497288.47962945,300.66636449113975,36.6
380000,-7494145.90150445,299.95188859625796,36.6
390000,-7493297.69837945,300.7560989742094,36.6
400000,-7497121.08119195,299.82128186779363,36.6
410000,-7493790.03431695,300.1150607829392,36.6
420000,-7495988.57337945,300.87251843601956,36.6
430000,-7493669.04994195,300.6142543149276,36.6
440000,-7493674.61244195,300.6588405533626,36.6
450000,-7491726.15931695,299.1958824409244,36.6
460000,-7494717.06556695,300.1528074171802,36.6
470000,-7494727.21400445,300.6440860236241,36.6
480000,-7497348.57337945,300.96335134616396,36.6
490000,-7492965.50306695,300.42933394163856,36.6
500000,-7492055.34681695,299.8756669095043,36.6
510000,-7495161.16712945,299.84198560796546,36.6
520000,-7495456.47962945,300.1529898271925,36.6
530000,-7489530.90931695,300.1373010681606,36.6
540000,-7495192.45619195,300.49925519960556,36.6
550000,-7497056.69056695,300.03588293049074,36.6
560000,-7492141.44837945,299.9386728140605,36.6
570000,-7495856.27650445,299.7716154662655,36.6
580000,-7498019.27650445,300.5246722725917,36.6
590000,-7496448.87806695,299.62197856318227,36.6
600000,-7488242.23744195,300.0268470687883,36.6
610000,-7496489.86244195,301.0745758344193,36.6
620000,-7495460.39369195,299.8812891636192,36.6
630000,-7495855.69056695,300.450621861561,36.6
640000,-7496222.42494195,300.30287959583535,36.6
650000,-7489970.49525445,300.3494523306601,36.6
660000,-7489442.19837945,299.6465327091523,36.6
670000,-7489911.79212945,300.60544496516775,36.6
680000,-7488397.04994195,300.2873842368783,36.6
690000,-7495249.90150445,299.9609544757363,36.6
700000,-7491292.51869195,300.08931779964195,36.6
710000,-7490560.61244195,300.56695167938835,36.6
720000,-7495254.99525445,300.9597200514605,36.6
730000,-7495926.08119195,300.0139063331005,36.6
740000,-7493162.07337945,300.6335523052283,36.6
750000,-7495005.65150445,299.9727028629014,36.6
760000,-7495886.84681695,300.0590323910668,36.6
