target,runs,stable_runs,total_ns,first_run,last_run
ROCK2,897,547,9330,2026-04-11,2026-05-30
RIPK3,501,310,6990,2026-05-18,2026-05-30
LIMK2,457,380,5300,2026-04-11,2026-05-30
ROCK1,246,119,2730,2026-05-18,2026-05-30
KEAP1,241,234,23290,2026-05-30,2026-08-15
PGK1,232,209,21848,2026-06-26,2026-08-14
MAPK14,123,123,12210,2026-06-19,2026-07-28
MAPK12,102,101,10110,2026-05-30,2026-07-29
MAPK11,81,81,8100,2026-06-19,2026-07-21
MAPKAPK2,72,70,6840,2026-05-27,2026-07-30
MICU1,41,23,1040,2026-05-27,2026-06-21
HDAC2,41,39,3620,2026-05-02,2026-07-28
LDHA,36,36,3600,2026-06-26,2026-08-12
LRP4,14,6,1400,2026-07-22,2026-07-23
NFE2L2,10,5,100,2026-05-26,2026-05-30
DNM1L,8,8,800,2026-06-27,2026-08-16
MUSK,7,2,400,2026-05-02,2026-07-22
PERP,5,0,,2026-05-02,2026-05-02
HIF1A,5,4,500,2026-07-18,2026-08-01
MAPK13,5,5,500,2026-07-07,2026-07-10
MDM2,4,4,,2026-05-02,2026-05-02
LIMK1,4,3,40,2026-05-23,2026-05-29
CFL1,3,0,,2026-05-02,2026-05-02
CDK5,3,3,,2026-05-02,2026-05-02
PPARGC1A,3,3,300,2026-07-18,2026-07-19
MAPK3,3,3,300,2026-07-06,2026-07-11
CORO1C,2,2,,2026-05-02,2026-05-02
MAPK8,2,1,200,2026-07-17,2026-07-18
BDNF,2,1,200,2026-07-17,2026-08-04
CHRNA1,2,2,200,2026-07-20,2026-07-21
PRKAA1,2,2,200,2026-06-27,2026-07-17
MAPK10,2,2,20,2026-05-23,2026-05-28
MAPK9,2,2,200,2026-07-16,2026-07-17
MTOR,2,2,200,2026-07-08,2026-07-29
NRG1,2,2,200,2026-07-17,2026-07-17
RAPTOR_251_501,1,1,100,2026-07-20,2026-07-20
ERBB4_26_600,1,1,100,2026-07-28,2026-07-28
01_mapk14_x_tab1,1,0,100,2026-07-18,2026-07-18
UNK,1,0,100,2026-07-05,2026-07-05
PKM2,1,1,100,2026-06-26,2026-06-26
KEAP1_315_624,1,1,100,2026-07-19,2026-07-19
079_mapk9_x_gstp1,1,0,100,2026-07-19,2026-07-19
SMN1_260_294,1,0,100,2026-07-18,2026-07-18
ARTN,1,1,100,2026-07-18,2026-07-18
DEPTOR_322_409,1,1,100,2026-07-21,2026-07-21
LRP4_435_697,1,0,100,2026-08-03,2026-08-03
53_mapk1_x_dusp9,1,0,100,2026-08-01,2026-08-01
NRG1_FULL,1,0,100,2026-08-04,2026-08-04
NFE2L2_1_100,1,1,100,2026-07-19,2026-07-19
KCNA2,1,1,,2026-05-02,2026-05-02
KCNB1_1_180,1,1,100,2026-07-16,2026-07-16
37_hdac2_x_mta3_1_430,1,0,100,2026-08-02,2026-08-02
06_mapk14_x_mapkapk5,1,0,100,2026-07-18,2026-07-18
13_mapk1_x_rps6ka3_400_740,1,0,100,2026-07-19,2026-07-19
01_mapk14_x_mapkapk2,1,0,100,2026-07-18,2026-07-18
RICTOR_126_376,1,0,100,2026-08-02,2026-08-02
24_kcnb1_1_180_x_kcns3_1_200,1,0,100,2026-07-19,2026-07-19
PPARD,1,1,100,2026-06-27,2026-06-27
TSC2_1_251,1,1,100,2026-07-27,2026-07-27
TP53,1,1,10,2026-05-22,2026-05-22
PRKAA2,1,0,100,2026-07-28,2026-07-28
GFRA3,1,0,100,2026-07-29,2026-07-29
snrpd1_x_smn1,1,1,1,2026-07-09,2026-07-09
