#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5000,-75216.59849837044,304.51517864847244,0
10000,-75788.42955305794,302.4598055400357,1.19e+03
15000,-75625.6971922181,303.9121977480572,1.17e+03
20000,-75410.81517317513,305.5389259918738,1.18e+03
25000,-75427.6871519349,304.8056630469943,1.17e+03
30000,-75203.4989500306,299.3070376668243,1.17e+03
35000,-75791.34678938607,304.2177328671444,1.17e+03
40000,-75146.97157576302,297.88951834056394,1.16e+03
45000,-75084.12866499642,298.7936928984039,1.16e+03
50000,-75905.47139265755,297.15755953948064,1.16e+03
55000,-75897.99144270638,303.88921932679506,1.16e+03
60000,-75270.04850867012,300.5188532819543,1.15e+03
65000,-75704.98738386849,297.6916446626196,1.15e+03
70000,-75203.14163496712,299.52641209955453,1.15e+03
75000,-75332.50618269661,300.78745099503226,1.15e+03
80000,-75589.51285078743,303.53842548278305,1.15e+03
85000,-75513.26166060189,297.83157804246423,1.15e+03
90000,-75157.22555830696,306.0238120299259,1.15e+03
95000,-75254.87745955208,303.686179001535,1.15e+03
100000,-75947.14393904427,306.3988432682629,1.15e+03
105000,-75793.64212324837,298.2259863031045,1.15e+03
110000,-75643.82629683235,296.95399577262265,1.15e+03
115000,-75623.10200789192,306.9121422697531,1.15e+03
120000,-74721.56003096321,297.9938378556737,1.15e+03
125000,-76313.6644010804,302.21607407479047,1.15e+03
130000,-75649.08916762093,301.1591209090668,1.15e+03
135000,-75601.76021101692,304.8815103297551,1.15e+03
140000,-75825.34224226692,294.25965762288496,1.15e+03
145000,-75416.44862654427,294.8917688242415,1.15e+03
150000,-75356.87863447884,297.8963314429547,1.15e+03
155000,-75613.15483381966,298.4575765356,1.15e+03
160000,-75897.94522383431,299.8837445109854,1.15e+03
165000,-75242.74812605599,299.9346811100484,1.15e+03
170000,-75524.69267561653,306.78330217654025,1.15e+03
175000,-75496.08602431038,299.3145227835449,1.15e+03
180000,-75468.30450728157,303.49991276476163,1.15e+03
185000,-75223.65944197396,290.1635652463136,1.15e+03
190000,-75705.88374617317,308.049005583727,1.15e+03
195000,-75341.3251219056,302.2588708815415,1.15e+03
200000,-75265.1712370179,304.16479666635513,1.15e+03
205000,-75086.69948103646,305.1712668868672,1.15e+03
210000,-75505.7504759095,295.39135894742543,1.15e+03
215000,-75711.22896101692,305.7860311632943,1.15e+03
220000,-75350.2947035096,303.1863291393909,1.15e+03
225000,-75526.81309797982,299.4742102243957,1.15e+03
230000,-75597.2861967347,304.3783787114513,1.15e+03
235000,-75468.4103575013,307.21380813337333,1.15e+03
240000,-75508.22929671028,293.9315347181297,1.15e+03
245000,-75525.47001936653,296.0876818476842,1.15e+03
250000,-75457.80142500618,296.796299471435,1.15e+03
255000,-75197.74431135872,285.91590644314084,1.15e+03
260000,-75439.2386198304,295.96667719752645,1.15e+03
265000,-75957.56471541146,299.5473872388721,1.15e+03
270000,-75106.42100813607,299.93326731793746,1.15e+03
275000,-75654.35376265267,303.69851152103854,1.15e+03
280000,-75317.08755781868,299.62312536730815,1.15e+03
285000,-76047.63798811653,305.0440654977312,1.15e+03
290000,-75442.66029646614,303.6826915933442,1.15e+03
295000,-75469.53927901009,305.3622163130085,1.15e+03
300000,-75565.8267851136,305.4864003264757,1.15e+03
305000,-75969.74872114876,295.305875532677,1.15e+03
310000,-75202.89067366341,308.160611153551,1.15e+03
315000,-75151.60291960457,301.2666565848828,1.15e+03
320000,-75602.35289290169,306.6885141902096,1.15e+03
325000,-75678.99132063607,305.3799318258259,1.15e+03
330000,-75518.003405597,298.37192743256617,1.15e+03
335000,-75010.82951643685,307.90964915202926,1.15e+03
340000,-75781.44761946419,294.56588782543935,1.15e+03
345000,-75200.1318998597,302.10852318880376,1.15e+03
350000,-75891.10356428841,302.43387318731806,1.15e+03
355000,-75474.79671004036,295.2694769182384,1.15e+03
360000,-75539.90126326302,302.59290804221536,1.15e+03
365000,-75140.12358381966,298.51694795210267,1.15e+03
370000,-75354.20112898567,301.4239768053279,1.15e+03
375000,-75463.22838118294,304.73504208067175,1.15e+03
380000,-75184.48858168343,296.4345207846861,1.15e+03
385000,-75996.69200422982,305.0827526052131,1.15e+03
390000,-75305.81328108528,299.6993180651887,1.15e+03
395000,-76014.90825178841,301.5282569199418,1.15e+03
400000,-75741.26008894661,304.5206631537703,1.15e+03
405000,-75759.90675642708,301.75528393693577,1.15e+03
410000,-76067.65066817024,302.03616091482616,1.15e+03
415000,-75496.03920271614,303.25151157117784,1.15e+03
420000,-75249.76871016243,298.1445289719414,1.15e+03
425000,-75088.49049666146,296.57948946979093,1.15e+03
430000,-75365.37152006844,300.5001909626931,1.15e+03
435000,-75883.5031385682,303.42102592620256,1.15e+03
440000,-75914.60440352181,295.8574282754336,1.15e+03
445000,-76002.43223860482,297.19351810501945,1.15e+03
450000,-75155.32994368294,299.4991039324513,1.15e+03
455000,-75625.51520064095,298.1518999055205,1.15e+03
460000,-75677.14238264778,300.04296518084226,1.15e+03
465000,-75775.10109236458,301.2970135676841,1.15e+03
470000,-75643.99595930794,300.03584477961135,1.15e+03
475000,-75475.58940413216,300.11786424143804,1.15e+03
480000,-75462.16302778939,293.519796628135,1.15e+03
485000,-75177.68879988411,299.24241254378813,1.15e+03
490000,-75383.44697859505,304.4122634159596,1.15e+03
495000,-75535.34581282357,286.681246266864,1.15e+03
500000,-75425.86072066048,295.07297320297647,1.15e+03
505000,-75496.36338331917,303.6336719936333,1.15e+03
510000,-75882.69630720833,294.09343862968774,1.15e+03
515000,-75364.32919600228,306.89350335421994,1.15e+03
520000,-75156.48894026497,298.765351908935,1.15e+03
525000,-75382.83142378548,301.2828973366188,1.15e+03
530000,-74984.81096174935,294.8067523364178,1.15e+03
535000,-75389.30430891732,291.0442711247129,1.15e+03
540000,-75805.2052793763,295.7015506790938,1.15e+03
545000,-75389.60391524056,299.0603585794705,1.15e+03
550000,-75683.62570479134,297.70236237602927,1.15e+03
555000,-75102.20558455208,305.2874304128188,1.16e+03
560000,-75415.3040495179,303.92895156244253,1.16e+03
565000,-75583.51561262825,302.2102733551203,1.16e+03
570000,-75686.6430540345,300.55863732674555,1.16e+03
575000,-75745.53436568001,301.7349918160297,1.16e+03
580000,-75451.55595686653,300.19576244809383,1.16e+03
585000,-75688.10695173958,292.3992407275267,1.16e+03
590000,-75266.63075545052,306.36658297029186,1.16e+03
595000,-75548.46422102669,299.5688762582927,1.16e+03
600000,-75547.93132307747,297.9059680490885,1.16e+03
605000,-76132.50920393685,302.9053545802497,1.16e+03
610000,-75374.94154646614,297.1676552113213,1.16e+03
615000,-75647.51060774544,303.2382245863791,1.16e+03
620000,-75761.35655119637,294.7178398193977,1.16e+03
625000,-76131.88072493294,312.4206648498445,1.16e+03
630000,-75312.55415632942,291.0976087273674,1.16e+03
635000,-76074.5518217347,297.74425854591397,1.16e+03
640000,-75164.60963728646,310.25637094065866,1.16e+03
645000,-75611.23860457161,298.51028564989656,1.16e+03
650000,-75480.5667448304,295.66738035224074,1.16e+03
655000,-75245.13896467903,300.2135979924883,1.16e+03
660000,-75621.75654890755,303.0257539091302,1.16e+03
665000,-75295.53364851692,294.9062668713527,1.16e+03
670000,-75168.78575422982,300.4044203814558,1.16e+03
675000,-75847.38618757942,303.96173971246907,1.16e+03
680000,-76151.7139311097,303.21602205786235,1.16e+03
685000,-75568.06723311165,301.00732953537846,1.16e+03
690000,-75035.98607161263,300.9317543972473,1.16e+03
695000,-75528.91667463997,295.9702853374694,1.15e+03
700000,-75557.78795149544,297.13344153813296,1.16e+03
705000,-75843.01838972786,307.81797635666726,1.16e+03
710000,-75561.94517805794,302.11723541533036,1.16e+03
715000,-75647.09895613411,295.61212297747704,1.16e+03
720000,-75786.42601301888,298.70899638418877,1.16e+03
725000,-75279.27470686653,308.43189353198045,1.16e+03
730000,-75043.65779402474,296.64930195589335,1.16e+03
735000,-75508.15062239388,298.3930227023896,1.16e+03
740000,-75721.85031416634,294.60153489240446,1.16e+03
745000,-76115.15385725716,290.5804807911222,1.16e+03
750000,-75587.64369490364,304.8400731036237,1.16e+03
755000,-75085.70253279427,299.8222183136613,1.16e+03
760000,-76125.91051008919,294.95555259196135,1.16e+03
765000,-75502.68233015755,294.12319682242463,1.16e+03
770000,-75777.42209151009,309.2499762043405,1.16e+03
775000,-75728.5486021302,306.036448961564,1.16e+03
780000,-75652.10341932991,303.6447324898779,1.16e+03
785000,-75476.18875410774,303.5697981088456,1.16e+03
790000,-75927.86839583138,297.9458622731678,1.16e+03
795000,-75458.23640730599,298.7161014572755,1.16e+03
800000,-75041.4498472474,299.304964424738,1.16e+03
805000,-75584.90593245247,299.6294404671067,1.16e+03
810000,-75483.87390425423,289.6770366170678,1.16e+03
815000,-75566.71011641243,303.21471230236864,1.16e+03
820000,-75067.51640608528,299.16472412861515,1.16e+03
825000,-75946.7859068177,306.0678990027383,1.16e+03
830000,-75602.1765318177,300.3477786939286,1.16e+03
835000,-75622.7296934388,296.38493619084136,1.16e+03
840000,-75374.77759840706,302.5914206871299,1.16e+03
845000,-75633.98453047493,309.0745424258246,1.16e+03
850000,-75527.88749983528,297.12333845091194,1.16e+03
855000,-75208.43931868294,299.12491810128125,1.16e+03
860000,-75595.89685347298,295.1562783716295,1.16e+03
865000,-75705.88933088997,298.9740541841043,1.16e+03
870000,-75573.55507185677,298.3264519165968,1.16e+03
875000,-75567.21736433724,301.5834804110068,1.16e+03
880000,-75519.09064009407,303.06006854889057,1.16e+03
885000,-75723.60090925911,302.1752649136574,1.16e+03
890000,-75311.2107115052,297.5104706197141,1.16e+03
895000,-75401.88197615364,302.6099337479,1.16e+03
900000,-75468.16163923958,306.903227699698,1.16e+03
905000,-75595.84985640267,301.7859461704969,1.16e+03
910000,-75746.09669783333,296.23782233464067,1.16e+03
915000,-75618.4342222474,298.1705542977864,1.16e+03
920000,-76004.71873762825,297.4050333638384,1.16e+03
925000,-75154.24623396614,308.5976986840252,1.16e+03
930000,-75517.10234358528,306.56726942321643,1.16e+03
935000,-75805.85801985482,297.7051950259826,1.16e+03
940000,-75280.64461043099,298.55107584901043,1.16e+03
945000,-75861.23507979134,294.7927102655635,1.16e+03
950000,-75502.15266707161,297.86439716018765,1.16e+03
955000,-75395.4601621888,301.13149101998283,1.16e+03
960000,-75177.86577131966,297.09151316041624,1.16e+03
965000,-75663.19026472786,305.31128004958276,1.16e+03
970000,-75767.24251082161,301.8207268069754,1.16e+03
975000,-75855.21077254036,298.8361737572619,1.16e+03
980000,-75490.43997481087,299.37373747311744,1.16e+03
985000,-75474.95440962532,297.24807025950867,1.16e+03
990000,-75406.53978255013,298.8915637737334,1.16e+03
995000,-75386.84712507942,303.76527470874953,1.16e+03
1000000,-75284.12976362923,301.68757838170785,1.16e+03
1005000,-75250.99161055306,299.2400256708689,1.16e+03
1010000,-75462.85642531136,296.25370478430585,1.16e+03
1015000,-75379.59190657357,299.80605031771586,1.16e+03
1020000,-75961.99486067513,308.1812638256697,1.16e+03
1025000,-74878.20299055794,288.85359135974466,1.16e+03
1030000,-75462.09056380013,299.79575686112145,1.16e+03
1035000,-75728.25102522591,297.34288503623316,1.16e+03
1040000,-75816.75895979622,297.3559390680904,1.16e+03
1045000,-75308.7675047181,299.8076364767624,1.16e+03
1050000,-75973.90577986458,295.1000780314183,1.16e+03
1055000,-75425.95814802864,304.2832430568319,1.16e+03
1060000,-75170.55830672005,308.53337410722133,1.16e+03
1065000,-75676.56904890755,298.82338944515635,1.16e+03
1070000,-76016.40292647103,306.2144970171345,1.16e+03
1075000,-75592.09355452278,302.6687280815515,1.16e+03
1080000,-75545.11519148567,295.20715867580736,1.16e+03
1085000,-75997.26573469857,292.98333286149335,1.16e+03
1090000,-75714.69566633919,300.87369607606666,1.16e+03
1095000,-76136.11119368294,300.16730201998405,1.16e+03
1100000,-75518.72867109993,295.76585368620925,1.16e+03
1105000,-75294.76113417366,303.8528227252999,1.16e+03
1110000,-75947.6237974427,298.1152713533411,1.16e+03
1115000,-75195.30694868782,302.3426300603855,1.16e+03
1120000,-75156.69749739388,301.1735936266578,1.16e+03
1125000,-75453.69404890755,296.1016347977104,1.16e+03
1130000,-75605.07710554817,297.94853853798645,1.16e+03
1135000,-75729.58189680794,300.47570130898146,1.16e+03
1140000,-75782.74537947396,307.15011170958013,1.16e+03
1145000,-75156.90104963997,302.16124773478793,1.16e+03
1150000,-75765.51553633431,300.3937392534175,1.16e+03
1155000,-75148.44288923958,299.0475257707833,1.16e+03
1160000,-75443.93373396614,299.70506434624957,1.16e+03
1165000,-75292.913561847,298.4811538567909,1.16e+03
1170000,-75352.50255110482,298.1808705262998,1.16e+03
1175000,-75515.52739241341,302.4041216890248,1.16e+03
1180000,-75306.19320967415,297.4455409634788,1.16e+03
1185000,-75525.49872114876,298.71677019580204,1.16e+03
1190000,-75415.81334212044,302.3248130150823,1.16e+03
1195000,-75644.8573484681,302.4122481333315,1.16e+03
1200000,-75460.96358015755,301.63383424603893,1.16e+03
1205000,-75711.79465010384,297.86594651942664,1.16e+03
1210000,-75087.28425886849,298.02978246659075,1.16e+03
1215000,-76206.7564878724,297.25320361035585,1.16e+03
1220000,-76208.48872664192,304.7098302147683,1.16e+03
1225000,-75752.36265852669,302.184142724123,1.16e+03
1230000,-75592.82002547005,303.5639802580739,1.16e+03
1235000,-75193.8964109681,300.4636025831127,1.16e+03
1240000,-76211.13994124153,295.4428733535581,1.16e+03
1245000,-75358.12929060677,293.4236444467331,1.16e+03
1250000,-75464.28523543099,296.24855823959894,1.16e+03
1255000,-74866.36616804817,302.14212030695774,1.16e+03
1260000,-75452.62452986458,301.9836547880728,1.16e+03
1265000,-75583.40892317513,300.3348773466564,1.16e+03
1270000,-76097.45912459114,298.80191723603576,1.16e+03
1275000,-75288.47922041634,293.19992085224624,1.16e+03
1280000,-75383.58677962044,303.16146985609004,1.16e+03
1285000,-75133.03776838997,300.2712940728738,1.16e+03
1290000,-75133.899889972,293.7306930318132,1.16e+03
1295000,-75395.35197737435,303.0532766182765,1.16e+03
1300000,-75369.5230741761,294.35683460402015,1.16e+03
1305000,-75141.98472883919,290.9250526408037,1.16e+03
1310000,-75523.84727766732,296.5684435348074,1.16e+03
1315000,-75252.3443784974,302.2452852532282,1.16e+03
1320000,-75278.04954817513,293.4198749645744,1.16e+03
1325000,-75730.71721174935,297.97264209758896,1.16e+03
1330000,-74985.07192518929,294.80314035652964,1.16e+03
1335000,-75251.6916075013,301.75558761175927,1.16e+03
1340000,-75736.21257307747,309.7530683646197,1.16e+03
1345000,-75466.09599592903,299.2305099943579,1.16e+03
1350000,-75236.08619978646,298.23618491995023,1.16e+03
1355000,-75252.79283430794,304.28391085774336,1.16e+03
1360000,-75444.88157942513,301.88102682456866,1.16e+03
1365000,-75216.57521345833,300.16526511482317,1.16e+03
1370000,-75946.08052351692,299.2785294372945,1.16e+03
1375000,-75321.80263045052,291.30284085713043,1.16e+03
1380000,-75149.31862166146,298.2227689880906,1.16e+03
1385000,-75246.38463118294,302.6698659746422,1.16e+03
1390000,-75389.81756880501,299.0942195246138,1.16e+03
1395000,-75513.54970839241,303.55595505488543,1.16e+03
1400000,-75192.8453550599,307.33319824784746,1.16e+03
1405000,-75860.18414595345,299.4053314460347,1.16e+03
1410000,-75770.06482222298,293.71863947008546,1.16e+03
1415000,-75317.23613264778,306.2574410176069,1.16e+03
1420000,-76004.56999495247,300.2678317049458,1.16e+03
1425000,-75418.87303450325,293.4357954927006,1.16e+03
1430000,-75724.17022993782,295.63599740062006,1.16e+03
1435000,-75416.07033064583,298.54548327601,1.16e+03
1440000,-75146.58510115364,303.0467116919568,1.16e+03
1445000,-75317.65242293099,300.72021280676074,1.16e+03
1450000,-75431.12138655403,301.85779338664224,1.16e+03
1455000,-75295.4333677552,295.9211934390133,1.16e+03
1460000,-75731.91862776497,304.5114551227917,1.16e+03
1465000,-75502.83467390755,294.22597309646784,1.16e+03
1470000,-75514.34623244026,295.18306344994613,1.16e+03
1475000,-75575.3347349427,300.4788931836338,1.16e+03
1480000,-75892.22813704232,304.1234494827282,1.16e+03
1485000,-75753.505358722,298.85426232841894,1.16e+03
1490000,-75516.75630476692,297.1161268606809,1.16e+03
1495000,-75396.79054548958,302.65590222105243,1.16e+03
1500000,-75274.74319746712,304.9639974629962,1.16e+03
1505000,-75564.52823164681,305.70546542862957,1.16e+03
1510000,-75484.85649397591,307.83000010429873,1.16e+03
1515000,-75464.80916121224,301.66051942961366,1.16e+03
1520000,-75872.69291975716,297.59703403425266,1.16e+03
1525000,-75364.48161604622,291.11386179665266,1.16e+03
1530000,-75892.15193464974,297.53451910986934,1.16e+03
1535000,-75671.17717268685,298.4195439325676,1.16e+03
1540000,-75571.19362166146,300.35415194785577,1.16e+03
1545000,-75624.76085188607,298.4996975622928,1.16e+03
1550000,-75504.13295271614,297.11026940888223,1.16e+03
1555000,-75815.90712263802,301.2940546885419,1.16e+03
1560000,-75233.04161360482,300.0606300381496,1.16e+03
1565000,-75654.78236677864,299.0013112504871,1.16e+03
1570000,-75231.00596907357,299.0571048160759,1.16e+03
1575000,-75450.8937559388,306.0907567006679,1.16e+03
1580000,-75537.02732374886,302.08889288768734,1.16e+03
1585000,-75642.70021345833,301.39359781525144,1.16e+03
1590000,-75618.68886091927,296.9093607852547,1.16e+03
1595000,-75555.1021909974,314.029533155439,1.16e+03
1600000,-75609.77339461067,304.32381349036444,1.16e+03
1605000,-75479.84318831185,295.27088405646214,1.16e+03
1610000,-75647.3486967347,309.88420078624233,1.16e+03
1615000,-75181.70732405403,298.42731326585016,1.16e+03
1620000,-75555.19856550911,309.5851320835463,1.16e+03
1625000,-75402.56968977669,287.44697987693723,1.16e+03
1630000,-75637.60637953499,302.28397575675024,1.16e+03
1635000,-75561.78642561653,298.1031365246958,1.16e+03
1640000,-75652.53099348763,294.1598845498172,1.16e+03
1645000,-75569.97655012825,303.42573111386207,1.16e+03
1650000,-75445.96255018929,293.7408912521741,1.16e+03
1655000,-75541.6775083802,300.0318846814456,1.16e+03
1660000,-75200.84146406868,300.1368439780933,1.16e+03
1665000,-74902.02659895638,292.5199849868463,1.16e+03
1670000,-75562.26378157357,293.23192706483286,1.16e+03
1675000,-75562.76449873665,304.8236798498996,1.16e+03
1680000,-75717.71034529427,303.19461570356873,1.16e+03
1685000,-75324.97316267708,300.7532325622213,1.16e+03
1690000,-75849.04518416146,298.5196319968818,1.16e+03
1695000,-75493.98788740853,310.741396640284,1.16e+03
1700000,-75295.47490217903,299.4923679254473,1.16e+03
1705000,-75993.19333174446,302.24096011469953,1.16e+03
1710000,-75282.36101057747,305.0531767158929,1.16e+03
1715000,-75315.93721297005,302.89316627940724,1.16e+03
1720000,-75451.03865339974,299.1054524244375,1.16e+03
1725000,-75069.58848860482,298.74731902253336,1.16e+03
1730000,-75389.28192427376,298.09972226017504,1.16e+03
1735000,-75725.52116682747,292.76723631798353,1.16e+03
