#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-2068180.3323482946,300.4271616376254,0
70000,-2068356.8518795446,300.1560879398241,140
80000,-2069069.4300045446,299.86158932843927,140
90000,-2069478.6135982946,298.29672511123016,140
100000,-2068613.8518795446,301.50711749622155,140
110000,-2068450.7327389196,301.4796336205755,140
120000,-2067322.9475826696,300.2061123969951,140
130000,-2067992.3479732946,300.03420419409815,140
140000,-2066614.5882076696,301.10330330099475,141
150000,-2068972.3167232946,299.98187053102794,141
160000,-2066020.4221920446,302.510223295973,141
170000,-2071262.8655514196,301.2818991713203,141
180000,-2068536.3284420446,299.96546471275275,141
190000,-2070461.8010982946,299.93510686335236,140
200000,-2071283.0569576696,300.89296694042815,140
210000,-2069893.6819576696,301.03648483127176,140
220000,-2069862.3694576696,299.21633191020106,140
230000,-2069134.5882076696,300.5874898287092,140
240000,-2069209.2112545446,299.7176281116904,140
250000,-2066883.2190670446,301.0300359988777,141
260000,-2065305.4651607946,300.8415872385752,141
270000,-2067507.6468014196,299.40952846395345,141
280000,-2068752.9378170446,300.8513311182497,141
290000,-2069382.2913326696,299.8239937095022,141
300000,-2066821.9514889196,299.7475435215367,142
310000,-2068602.4710201696,300.0468296465632,142
320000,-2066431.1507076696,300.22315499477736,142
330000,-2069348.6526607946,299.63296687669384,142
340000,-2068172.6526607946,301.1500133603391,142
350000,-2067578.9593014196,300.56678450406974,143
360000,-2070354.9143795446,298.90100941836005,143
370000,-2069920.3108639196,300.8726912649546,143
380000,-2068390.7229732946,301.2059458508236,143
390000,-2067240.2932857946,300.0899380235732,143
400000,-2070562.6350826696,300.6252340215814,143
410000,-2069789.3968014196,299.5473410910332,144
420000,-2069887.2034420446,299.4980770960046,144
430000,-2067908.1175045446,301.12411578206627,144
440000,-2070040.7425045446,300.8823649342354,144
450000,-2068741.7053951696,299.8927876694197,144
460000,-2068092.5901607946,300.64924533508054,144
470000,-2069006.4475826696,298.74699432853674,144
480000,-2065720.3382076696,299.83983144963383,144
490000,-2069380.7014889196,299.66972554447943,144
500000,-2067845.8264889196,300.1079195540172,144
510000,-2068324.7913326696,300.23437770713014,144
520000,-2069728.8499264196,299.0916421518143,144
530000,-2068794.9885982946,300.2828315354663,144
540000,-2071965.1448482946,301.24762617866463,144
550000,-2068966.6350826696,298.6332509119352,144
