#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-2118091.4320233464,299.73661607728116,0
70000,-2121428.2464764714,300.2371478941572,136
80000,-2119547.3831952214,301.12357149025235,137
90000,-2119145.9652264714,299.6648180019372,137
100000,-2118083.6195233464,299.8583336718083,137
110000,-2119762.7406170964,300.53009944837305,137
120000,-2119194.0335858464,300.1804104426875,138
130000,-2118755.4593670964,300.55525251983323,138
140000,-2117146.0706952214,299.47420763623893,138
150000,-2120279.7171795964,301.32938968580515,138
160000,-2118550.4769452214,299.73427978601705,138
170000,-2121380.4925702214,300.7051296785273,139
180000,-2117310.4124920964,299.29433593591125,139
190000,-2119544.3343670964,301.19856224603666,139
200000,-2117348.7992108464,299.63156429632534,139
210000,-2120093.6644452214,300.1651995967052,139
220000,-2117604.2113202214,301.4159373026088,139
230000,-2116728.0570233464,301.5004213419359,139
240000,-2120121.9496014714,300.55022794316204,139
250000,-2118506.8617108464,301.16274255835106,139
260000,-2118680.5257733464,299.87985779835407,139
270000,-2115754.0824139714,300.4742183378393,139
280000,-2119312.0121014714,300.36039006319464,139
290000,-2119983.0218670964,299.98763322285413,139
300000,-2120894.0257733464,300.69504902017087,139
310000,-2118492.8128827214,301.1355014673229,139
320000,-2118625.2074139714,300.1181778280249,138
330000,-2119696.0550702214,299.8475825232876,138
340000,-2117945.6976483464,300.66272773421207,138
350000,-2117741.0746014714,301.69391167812165,138
360000,-2119017.4027264714,300.2137856659583,138
370000,-2118503.3988202214,300.8672012550647,139
380000,-2120230.2992108464,301.0571510267015,139
390000,-2118397.4769452214,299.43942180476716,139
400000,-2117968.5140545964,301.8661226293092,139
410000,-2120998.2425702214,301.5145847187479,139
420000,-2119892.0726483464,301.76616040381805,139
430000,-2121551.0824139714,300.21534652652764,139
440000,-2120267.8773358464,300.13164091028847,139
450000,-2119080.9593670964,299.02211715254657,139
460000,-2121109.6058514714,298.51844286625794,139
470000,-2117177.8167889714,300.9763562521947,139
480000,-2122295.1917889714,299.9299784273711,139
490000,-2119239.9632733464,299.80167749343025,140
500000,-2119507.5003827214,300.1359413500837,140
510000,-2118043.7015545964,300.4608049107807,140
520000,-2120039.2484295964,301.7740111196149,140
530000,-2119051.1683514714,299.72625421074525,140
540000,-2117997.4378827214,299.88907698556574,140
550000,-2116092.4378827214,301.01632212883,140
560000,-2121677.4261639714,299.50687156877143,140
570000,-2120216.4007733464,299.3865773295705,140
580000,-2120694.3070233464,300.00106442476647,140
590000,-2118655.9242108464,301.06022122743525,140
600000,-2118820.5140545964,301.264385571608,140
610000,-2120572.9593670964,299.95404311156204,140
620000,-2120558.4437420964,299.56328400310093,140
630000,-2120692.1390545964,299.87729723719616,140
640000,-2119723.7640545964,301.26673162327097,140
650000,-2121110.7523358464,300.66919392997437,140
660000,-2119033.6488202214,300.43595351767186,141
670000,-2122025.9437420964,299.34957128980733,141
680000,-2119572.9574139714,299.87045274992425,141
690000,-2119181.1253827214,300.3966669532611,141
700000,-2122497.5824139714,299.8547102244697,141
710000,-2120429.8265545964,300.66825074749613,141
720000,-2119966.7503827214,300.72489008842194,141
730000,-2114578.4320233464,301.20903008538295,141
740000,-2119069.9085858464,299.6940580785433,141
750000,-2119702.5355389714,300.54470505618656,141
760000,-2115967.2679608464,300.1399506504046,141
770000,-2119188.6527264714,301.2858499971314,141
780000,-2119383.1429608464,299.6291895854091,141
790000,-2121063.5472577214,299.575630232192,141
800000,-2119393.0316327214,299.5575136829457,141
810000,-2118107.0374920964,300.19926428352005,141
820000,-2118891.5746014714,300.8595822307303,141
830000,-2118657.0863202214,298.80028404576973,141
840000,-2121299.7406170964,300.7567441249527,141
850000,-2118997.5531170964,298.91325472011346,141
860000,-2117631.4632733464,299.2729272278111,141
870000,-2118361.4144452214,301.4198429862337,141
880000,-2119680.7660077214,300.98559550327553,141
890000,-2119225.4066327214,299.2863407589992,141
900000,-2121175.7503827214,301.01515255322374,141
910000,-2119546.4925702214,300.64972078512665,141
920000,-2121083.4300702214,300.9760620764204,141
930000,-2120432.8265545964,300.47538948581365,141
940000,-2119414.6410077214,300.5273718067581,141
950000,-2120742.0081952214,299.34121773176304,141
960000,-2118885.7035077214,300.0760800134769,141
970000,-2123359.8265545964,301.67104236969794,141
980000,-2118302.0218670964,300.31880215137625,141
990000,-2118230.9886639714,300.21150889466026,141
1000000,-2120874.9710858464,300.0485132645989,141
1010000,-2118619.1605389714,300.3118761527197,141
1020000,-2117797.1859295964,300.0587959274528,141
