#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-2393210.2151903324,300.33017951847074,0
70000,-2393483.1019090824,299.7227721558702,120
80000,-2390975.2601122074,299.904664969906,120
90000,-2392498.8382372074,300.84764912961833,119
100000,-2391062.2718309574,300.07579258194824,120
110000,-2392485.0237840824,300.04836584516397,120
120000,-2391067.3245653324,299.849618597441,120
130000,-2391542.0980028324,300.043445802687,120
140000,-2390962.2503465824,300.04518138185614,120
150000,-2390465.0784715824,300.60668833682416,120
160000,-2389381.3714403324,299.1296291265964,120
170000,-2392251.4124559574,299.288314504633,120
180000,-2391417.3714403324,300.74865238100807,120
190000,-2393637.0081590824,299.2197534774508,120
200000,-2389240.9476122074,301.60315100595176,120
210000,-2391162.3538622074,300.0971283079738,120
220000,-2390137.2776903324,301.93930835016056,120
230000,-2391385.3343309574,301.16193229120444,120
240000,-2391666.2698778324,300.0312727849781,120
250000,-2393268.5726122074,299.44041422205567,120
260000,-2392055.9554247074,300.4818841215654,120
270000,-2393690.4183153324,300.8728761842579,121
280000,-2391988.0394090824,300.1474168927756,121
290000,-2391216.6331590824,300.5192331844656,121
300000,-2391450.4827684574,300.3756126453717,121
310000,-2393341.9651903324,298.86522476712616,121
320000,-2392897.5569872074,299.9269418728041,122
330000,-2392608.0823778324,300.9088974353511,122
340000,-2390713.7581590824,299.6215229425279,122
350000,-2393910.3929247074,300.83661806664696,122
360000,-2392014.1897997074,301.1301597042649,122
370000,-2390645.1722215824,300.1174335637499,122
380000,-2389592.6702684574,300.29366089718815,122
390000,-2390864.9026903324,299.1719354558734,122
400000,-2394860.5765184574,300.1865759322441,122
410000,-2392867.2073778324,300.1081480470449,122
420000,-2388503.5022997074,301.2833566946507,122
430000,-2392812.0042528324,300.34408219294875,122
440000,-2390229.5726122074,300.90745747905527,122
450000,-2390578.9515184574,299.7179570202153,122
460000,-2397197.4007372074,300.23113899351534,122
470000,-2391390.0608934574,300.53559271678256,122
480000,-2392993.8968309574,300.146301453458,122
490000,-2390174.3401903324,300.60486806649624,122
500000,-2388618.5218309574,299.2667718187825,122
510000,-2390014.9925340824,300.8128712760761,122
520000,-2392269.6897997074,301.46699646709374,122
530000,-2392910.9944872074,301.8140204353272,122
540000,-2391750.9905809574,299.11947965578423,122
550000,-2392218.2659715824,301.17140417657106,122
