#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-1170306.5342609053,300.9857399031056,0
70000,-1170021.9698077803,299.1703427002599,233
80000,-1166722.8174640303,299.0019478545639,233
90000,-1170435.4239093428,299.4142925344863,234
100000,-1168622.6992999678,300.17900901990146,235
110000,-1169256.5225421553,299.955764968288,235
120000,-1170839.1397296553,300.66821178335863,235
130000,-1168918.9141437178,298.799352286481,235
140000,-1170623.8662921553,299.04642421150174,235
150000,-1171358.7940265303,298.3159150728646,235
160000,-1168696.1719562178,300.88621299280817,235
170000,-1169392.8799640303,300.13219849328,235
180000,-1169922.9571124678,299.09192234312997,235
190000,-1170431.9834796553,298.8645255425215,235
200000,-1169081.6914874678,301.5855222758581,235
210000,-1171647.1035968428,301.02844687404524,235
220000,-1170219.0420734053,299.3171438647377,235
230000,-1171342.6602374678,299.69702544440383,235
240000,-1168745.7188312178,301.5903014682861,235
250000,-1171261.5957843428,299.7120440731836,235
260000,-1168939.6211749678,298.32857255925546,235
270000,-1168977.4248859053,302.90079844230684,235
280000,-1169520.1719562178,300.7882560567206,235
290000,-1169527.7754718428,299.4431326149448,235
300000,-1170112.0244952803,299.0858067862142,235
310000,-1171879.0664874678,301.21483543409596,235
320000,-1170675.0616046553,300.30646538027764,235
330000,-1169656.3623859053,300.46429364935904,235
340000,-1168217.6543780928,300.40384217373696,235
350000,-1169781.5840655928,299.1392717128164,235
360000,-1170686.0977374678,300.37022980044065,235
370000,-1172045.5918780928,299.5094575988204,235
380000,-1170425.8418780928,299.4609782838994,235
390000,-1169611.5362140303,299.70231598549475,235
400000,-1170081.1407062178,298.1351639645007,235
410000,-1168404.1778155928,300.0355888071405,235
420000,-1168618.5782062178,300.50303413160276,235
430000,-1169068.8037921553,298.4542752305456,235
440000,-1169822.6524249678,299.5606862048852,235
450000,-1169750.2354327803,298.66455095268657,235
460000,-1171415.7110187178,300.0384037106488,235
470000,-1170842.7969562178,299.0368691102985,235
480000,-1171451.4600421553,300.01702742246283,235
490000,-1168969.2705890303,299.95423299488164,235
500000,-1170803.0752765303,299.76501539248466,235
510000,-1168917.7266437178,300.5703876095434,235
520000,-1169064.9121905928,298.80037696493554,235
530000,-1169423.2373859053,299.8066929452987,235
540000,-1171920.5889484053,300.13633047459524,235
550000,-1170563.8155109053,299.29325567705615,235
560000,-1169577.8018390303,301.3390765951788,235
570000,-1168759.3555499678,299.5783759311699,235
580000,-1170408.2364093428,300.92553244337665,236
590000,-1170305.7500812178,301.24567046415274,236
600000,-1167722.6690265303,298.06497751229614,236
610000,-1169169.8389484053,298.2533608254511,236
620000,-1169630.4629718428,300.280402450957,236
630000,-1170421.5694171553,299.6198585065148,236
640000,-1170059.5889484053,300.34776051441327,236
650000,-1168831.5664874678,299.05676409089756,236
660000,-1168541.6348468428,299.8577431732682,236
670000,-1170048.9629718428,300.1725889561937,236
680000,-1168748.7842609053,298.9956287316139,236
690000,-1171407.0860187178,300.0598331125512,236
700000,-1169223.3614093428,298.08803287426235,236
710000,-1169602.7325030928,300.45580734868787,236
720000,-1170066.2549640303,299.26322990600266,236
730000,-1170852.2168780928,299.08596373088363,236
740000,-1169556.8262530928,302.14525300628924,236
750000,-1169804.3848468428,301.4401391114868,236
760000,-1169768.8379718428,301.36964272335535,236
770000,-1172000.3604327803,299.2741640882781,236
780000,-1169604.0508624678,299.23762038220576,236
790000,-1170300.0869952803,299.3972063744709,236
800000,-1169120.0430499678,302.1371369609466,236
810000,-1170955.5098468428,301.27493074041365,236
820000,-1169758.4297687178,300.2035993723085,236
830000,-1168859.9268390303,299.9908281617327,236
840000,-1170399.3018390303,301.01787418263774,236
850000,-1169288.8535968428,299.7754345420996,236
860000,-1170513.1690265303,299.5712341932081,236
870000,-1169452.8301593428,300.6265020273582,236
880000,-1171522.8916827803,300.6978568221447,236
890000,-1170482.2920734053,298.20664740862287,236
900000,-1170580.7481280928,299.6139735717885,236
910000,-1169920.4004718428,300.8358027260979,236
920000,-1171347.4825030928,300.7816313895289,236
930000,-1170714.6553546553,299.1540032796494,236
940000,-1168453.6104327803,300.39114739610926,236
950000,-1169080.6934405928,300.5321053662844,237
960000,-1171134.3614093428,299.79847899545274,237
970000,-1169202.7666827803,299.7578294253223,237
980000,-1170858.8194171553,300.16513971527365,237
990000,-1171080.8487140303,300.8560805297978,237
1000000,-1170171.2325030928,300.419050523889,237
1010000,-1168916.2617999678,299.1179743907668,237
1020000,-1171576.1094562178,299.53241212851395,237
1030000,-1169040.4053546553,299.99453833110005,237
1040000,-1169100.6846515303,298.8657687629549,237
1050000,-1168885.0557452803,298.3640569841782,237
1060000,-1170145.6709796553,300.73103561842424,237
1070000,-1172338.4170734053,299.0696007829647,237
1080000,-1168749.8086749678,300.2934975908631,237
1090000,-1169991.4366046553,299.3978335057904,237
1100000,-1169325.1045734053,301.288623418205,237
1110000,-1169437.2022296553,300.3088328178949,237
1120000,-1169062.6211749678,299.4727249050935,236
1130000,-1170397.0625812178,301.73163397124534,236
1140000,-1168869.5830890303,299.41480785727185,236
1150000,-1170785.6924640303,301.680686623378,236
1160000,-1170755.7442218428,300.9954831576062,236
1170000,-1169017.2325030928,301.43271458415165,236
1180000,-1171139.4961749678,301.52443327954967,236
1190000,-1169013.6836749678,301.30208521343593,236
1200000,-1169607.6807452803,300.82874311809655,236
1210000,-1171215.0381671553,299.8866481041658,236
1220000,-1168359.3809405928,299.76480230402433,236
1230000,-1171570.5801593428,300.01034993415055,236
1240000,-1169381.8233234053,302.1708995660835,236
1250000,-1169043.0323077803,300.3740959036579,236
1260000,-1169856.8301593428,301.4673868923119,236
1270000,-1170458.0108234053,299.7670142994256,236
1280000,-1168826.5166827803,299.9557499821123,236
1290000,-1169443.6875812178,299.6252314200004,236
1300000,-1168576.9092609053,299.4188019459662,236
1310000,-1169982.7871905928,299.636306063544,236
