#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-544946.8556506336,296.3742355895147,0
70000,-545731.4611193836,298.3831639737208,551
80000,-545729.8204943836,300.53239550097305,552
90000,-544766.1554553211,299.94204907942856,555
100000,-546572.5919787586,297.953418444307,556
110000,-546113.1969592273,300.4817933070975,553
120000,-544947.7174670398,298.9768563298494,551
130000,-544550.3410021961,302.29141939111906,550
140000,-546015.5245959461,300.7487675537573,508
150000,-545054.0988146961,299.60301413785913,441
160000,-545452.8659045398,297.0043231547961,399
170000,-544963.0397326648,301.5837184326501,370
180000,-546424.0763537586,301.6998894980165,349
190000,-546218.9288928211,301.01070779873504,333
200000,-545591.2726428211,298.641250172329,320
210000,-547130.4303576648,302.76681768469865,311
220000,-545555.0866076648,300.10869271465043,303
230000,-545797.9264514148,300.9300958485827,299
240000,-545883.9601428211,299.7784024248946,294
250000,-546977.0031115711,299.19816351567226,289
260000,-545966.8112170398,299.9890811229062,285
270000,-546319.4601428211,299.2229766810164,282
280000,-546455.6388537586,296.6965733893468,279
290000,-545962.5885607898,300.2293799950452,276
300000,-545869.5704943836,300.5666162409959,274
310000,-544834.2745959461,298.49684762548134,272
320000,-545191.4567248523,300.7763716241987,270
330000,-545193.8654162586,299.4985473159121,268
340000,-545821.5919787586,300.01176428608363,267
350000,-545435.1627795398,300.3526482189872,265
360000,-545464.6285998523,302.85916771288873,264
370000,-547257.5831896961,300.13728204979026,262
380000,-547410.4572131336,302.0971903774074,261
390000,-545698.0241076648,298.74772910390084,260
400000,-545946.8659045398,302.0376045745329,258
410000,-544818.6935412586,301.3994902258824,258
420000,-545945.4220568836,301.02450895359556,257
430000,-545039.6476428211,299.60639929140143,256
440000,-545462.1940295398,300.10602040920776,255
450000,-545412.2682482898,301.18973137455725,254
460000,-546938.7199084461,299.57561691401025,253
470000,-545977.6012561023,298.69904942033713,253
480000,-546410.8493029773,301.28778420074065,252
490000,-544566.3712756336,300.6066500148414,252
500000,-546629.0411975086,300.389943719671,251
510000,-545623.6256701648,299.915067073544,250
520000,-546298.4498889148,298.93341924631113,250
530000,-545238.7404162586,300.42820842425226,250
540000,-546157.0919787586,299.71112632307444,249
550000,-545552.0870959461,299.7841622900506,249
560000,-546575.0109240711,300.06863987935526,248
570000,-546107.2560412586,299.3992596556043,248
580000,-545378.7824084461,299.97044823917327,248
590000,-547730.9430529773,301.08477618605093,247
600000,-544404.7223498523,300.42569301900215,247
610000,-546466.0162951648,299.46451264145185,247
620000,-546388.3136584461,299.1762282076202,247
630000,-545654.4928576648,302.02828656248636,246
640000,-546321.3146350086,298.7000178952227,246
650000,-545114.8424670398,298.1681158946881,246
660000,-546714.2550646961,298.5414703996283,245
670000,-546520.2916857898,299.0124546494119,245
680000,-547142.7243029773,297.16139148119464,245
690000,-546195.5275256336,302.33144936823055,244
700000,-544767.4440295398,301.7706846589811,244
710000,-546014.3483264148,301.8258908072506,244
720000,-545633.1652209461,302.98600917598606,244
730000,-545275.2702014148,300.1784427553804,243
740000,-546079.2555529773,299.19903359322694,243
750000,-545590.5480334461,301.4541271403901,243
760000,-546185.3082873523,297.51759941491355,243
770000,-545255.5729357898,299.4946776371382,242
780000,-546886.9601428211,301.8016803191271,242
790000,-546220.9777209461,300.06515890148137,242
800000,-545772.0568225086,301.4050131998216,242
810000,-546715.4620959461,299.75168805166845,242
820000,-545829.2423693836,301.74332826011965,241
830000,-545209.4332873523,299.1186451173267,241
840000,-545511.3248889148,300.029118817239,241
850000,-545235.4743029773,302.6890212172236,240
860000,-546598.5245959461,300.033595362055,240
870000,-545147.0314318836,298.6618962159345,239
880000,-547658.6188342273,300.8175535069387,239
890000,-545369.8751818836,296.69563967731085,239
900000,-545802.5245959461,300.7066233688292,238
910000,-546050.3087756336,306.00547185948056,238
920000,-545463.2902209461,298.16049529919326,238
930000,-546232.1202990711,298.6402005895277,238
940000,-546200.9581896961,299.81911803685335,238
950000,-547294.9332873523,298.3239243016657,238
960000,-547098.2653186023,297.84526447503083,238
970000,-545762.4757678211,301.41267227074957,238
980000,-545753.7638537586,297.5137475398604,238
990000,-546177.3864123523,302.2178816448664,238
1000000,-546748.0153186023,300.10123860719324,238
1010000,-545584.7423693836,301.89234824117307,237
1020000,-545527.6022326648,299.53314092935256,237
1030000,-545668.3463732898,301.28564895487443,237
1040000,-545729.5651232898,299.5567643137751,237
1050000,-544296.2340686023,299.78939836504594,237
1060000,-545910.4122912586,297.91749663618646,237
1070000,-547037.9528186023,298.71346225667816,237
1080000,-544200.9279162586,302.3021550600769,237
1090000,-546479.3668811023,300.21104440968065,237
1100000,-546222.6398303211,300.18149272254294,237
1110000,-546499.2282092273,300.16107199265974,237
1120000,-546500.5294787586,300.669691475594,236
1130000,-546457.1867053211,296.81753430358674,236
1140000,-546177.1549670398,300.35011388945526,236
1150000,-545459.9596545398,298.19549865029154,236
1160000,-545854.4098498523,299.2193912689565,236
1170000,-546545.2516467273,296.3724148052703,236
1180000,-545959.5783068836,299.43791209918874,236
1190000,-544823.5162951648,300.12108010848056,236
1200000,-545714.6056506336,299.2268494437234,236
1210000,-545714.9952990711,299.36879533548307,236
1220000,-545607.6950061023,296.3424334155123,236
1230000,-547003.8019396961,301.6973604851914,236
1240000,-545952.7072131336,298.86769362540593,235
1250000,-545248.7223498523,299.6927656897458,235
1260000,-546459.9869982898,298.9964476324295,235
1270000,-545108.6998889148,300.72978214680495,235
1280000,-545949.6163928211,302.4412815876661,235
1290000,-546466.8395373523,301.28571162407474,235
1300000,-546069.4166857898,300.9604204543311,235
1310000,-545752.4459826648,299.72406548741435,235
1320000,-544794.0919787586,298.6862323401566,235
1330000,-545736.8038928211,300.62551796094243,235
1340000,-546208.1671740711,301.21968596451,235
1350000,-546606.9000842273,299.2860340350961,235
1360000,-546766.9923693836,299.01368455932214,235
1370000,-547803.4616076648,299.6884280845495,235
1380000,-545331.6100451648,300.17938669035595,235
1390000,-545755.9186389148,300.84912285644253,235
1400000,-546718.7394396961,299.7950530089869,235
1410000,-545047.5700061023,300.6305180709822,235
1420000,-545546.0773303211,297.0031823712421,235
1430000,-545991.5538928211,300.2336757030366,234
1440000,-546155.9035021961,299.61135663253475,234
1450000,-547468.1232287586,300.98647901353894,233
1460000,-546121.8244006336,301.7120872285507,233
1470000,-545289.0480334461,303.46369485740024,233
1480000,-546239.9630725086,303.33732426917095,233
1490000,-545828.6793811023,299.0632726543809,233
1500000,-546750.8790881336,298.89959957626064,232
1510000,-546839.1608264148,300.47580306387846,232
1520000,-544408.8234240711,302.6666518971898,231
1530000,-544964.7951037586,301.2074035266955,231
1540000,-545941.5709826648,300.0869600046737,231
1550000,-545882.9196154773,298.6008309575981,230
1560000,-546789.6056506336,300.1183436590402,230
1570000,-546267.2975451648,300.360634592189,230
1580000,-544018.7877795398,301.97180756920426,230
1590000,-546189.9357287586,301.21402061912676,230
1600000,-546374.2052600086,300.6262290181208,229
1610000,-545899.7301623523,298.9015745296654,229
1620000,-546452.5617053211,302.30057560384876,229
1630000,-545681.1017443836,302.17587858809117,229
1640000,-544918.4308459461,301.89288789572834,228
1650000,-545306.1378771961,299.3216360995666,228
1660000,-546412.4503771961,300.68245505158734,228
1670000,-545951.6085803211,301.13616443737106,228
1680000,-546470.3629748523,300.5190244697419,228
1690000,-545893.8693225086,298.93517662267266,227
1700000,-545844.4782092273,302.64145298077125,227
1710000,-546278.0846545398,299.1354499115619,227
1720000,-545737.5924670398,300.6006284850461,227
1730000,-547079.8160998523,300.5073431608829,227
1740000,-545392.9957873523,302.23744679429694,226
1750000,-544197.2072131336,301.97330415941644,226
1760000,-547794.0714709461,299.7590904480187,226
1770000,-545633.2203967273,299.3627242490601,226
1780000,-546123.3981311023,299.1289114446258,226
1790000,-545031.2819201648,300.219690304851,226
1800000,-546139.4181506336,301.76132031282503,225
1810000,-546872.7794787586,300.91525087164393,225
1820000,-546311.5685412586,301.8452499314861,225
1830000,-545663.2653186023,300.47818139243464,225
1840000,-546332.1657092273,300.1033497637994,225
1850000,-546242.5870959461,301.8497544088727,225
1860000,-546163.6364123523,298.59028265989355,225
1870000,-546237.5797717273,297.7746337006953,223
1880000,-545148.4074084461,300.5034380290035,223
1890000,-546421.7487170398,300.19346020068576,223
1900000,-545991.3722521961,300.9644394899687,223
1910000,-545483.8522326648,301.3199459113845,223
1920000,-546770.2750842273,298.11410214909233,223
1930000,-546532.3785998523,299.67252279434115,222
1940000,-545382.2828967273,299.43835932031243,222
1950000,-546412.8722521961,297.28993426305874,222
1960000,-546833.6593615711,300.02123345242995,221
1970000,-545920.5372912586,299.00134951273907,221
1980000,-546077.2028186023,297.7037131043463,220
1990000,-546444.4152209461,304.1166978522129,219
2000000,-545124.2394396961,300.0487572059196,218
2010000,-545506.7106311023,296.330760333251,218
2020000,-546378.1369006336,297.3721414945737,217
2030000,-546125.2042834461,302.59378444333584,217
2040000,-546151.9161975086,300.7020244956482,216
2050000,-545828.0236193836,300.3156327404286,216
2060000,-545935.2750842273,299.04400976466167,216
2070000,-545519.8790881336,301.2027006829581,216
2080000,-545432.5411975086,302.2663484958028,216
2090000,-545725.6456896961,298.365945232535,216
2100000,-546709.2081896961,300.4357290641123,216
