#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-7909122.675918728,299.9705332897918,0
70000,-7911074.941543728,300.5840376595326,34.4
80000,-7905787.879043728,300.4367904568766,34.4
90000,-7909822.941543728,300.896554137301,34.4
100000,-7910917.339981228,300.1494059034879,34.4
110000,-7910272.191543728,300.39195640154134,34.4
120000,-7911017.972793728,300.91901337777307,34.4
130000,-7907481.644668728,300.19495287138693,34.4
140000,-7914709.714981228,301.4970523492372,34.4
150000,-7910046.746231228,300.29562522842866,34.4
160000,-7906125.793106228,300.3025789006009,34.4
170000,-7910998.144668728,299.9094968773684,34.4
180000,-7916291.808731228,300.64671617325,34.4
190000,-7913330.316543728,300.1792077481234,34.4
200000,-7915368.082168728,300.81771130379735,34.4
210000,-7912559.707168728,299.7507987440959,34.4
220000,-7913159.980606228,300.514212881603,34.4
230000,-7912989.754043728,300.57858352909875,34.4
240000,-7913929.941543728,300.4735397407991,34.4
250000,-7901093.636856228,299.3186929348012,34.4
260000,-7909494.894668728,300.29753613702553,34.4
270000,-7911538.839981228,299.5689112424481,34.4
280000,-7910822.941543728,300.28776312733225,34.4
290000,-7911965.824356228,301.21389593323096,34.4
300000,-7913670.308731228,300.4228285659789,34.4
310000,-7911163.261856228,300.2098599056146,34.4
320000,-7915056.800918728,299.7475089766442,34.4
330000,-7909497.964981228,299.8656150657872,34.4
340000,-7913764.074356228,299.95800676235615,34.4
350000,-7911005.019668728,300.46335039243655,34.4
360000,-7911488.261856228,301.1028865713207,34.4
370000,-7910106.746231228,300.7163953536528,34.4
380000,-7913194.175918728,300.0063252198561,34.4
390000,-7917442.277481228,300.63930463178076,34.4
400000,-7911633.543106228,300.23181954057765,34.4
410000,-7915890.129043728,300.4186658295727,34.4
420000,-7913984.668106228,300.9851257091194,34.4
430000,-7912997.371231228,299.22513729722795,34.4
440000,-7911876.324356228,300.08445317495267,34.4
450000,-7912517.832168728,299.57345330694505,34.4
460000,-7916005.082168728,300.1405223860443,34.4
470000,-7908950.597793728,300.43469700987464,34.4
480000,-7915886.949356228,300.44688590968684,34.4
490000,-7911230.168106228,300.3102129758324,34.4
500000,-7911948.793106228,300.6487312826472,34.4
510000,-7908235.707168728,299.9858053300245,34.4
520000,-7912577.871231228,300.1370151903292,34.4
530000,-7911229.621231228,299.6080904025772,34.4
540000,-7914056.363418728,300.1677254828565,34.4
550000,-7914105.964981228,300.7007010346155,34.4
560000,-7915524.871231228,300.4897928387631,34.4
570000,-7912350.011856228,300.1076537379686,34.4
