#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-11108952.573325343,300.55242275504764,0
70000,-11113773.815512843,301.01654154942025,39.2
80000,-11111478.253012843,300.81511482038803,39.2
90000,-11117051.018637843,299.66426082770784,39.2
100000,-11112602.667075343,300.51961687278293,39.2
110000,-11109750.190512843,300.336096410453,39.2
120000,-11111990.299887843,300.0113766630572,39.2
130000,-11114143.831137843,300.173458852603,39.2
140000,-11115228.221762843,299.5704826512612,39.2
150000,-11118358.604575343,300.7328102968219,39.2
160000,-11111329.737387843,299.91895995722444,39.2
170000,-11113315.495200343,300.17332288808063,39.2
180000,-11116321.526450343,300.2139718708112,39.1
190000,-11111080.526450343,300.3465471073444,39.1
200000,-11116115.518637843,300.0202775939931,39.1
210000,-11113173.753012843,300.1783396481394,39.1
220000,-11114581.128012843,300.41328224759536,39.1
230000,-11111437.753012843,300.23763869156875,39.1
240000,-11111217.104575343,300.1446634483732,39.1
250000,-11120447.573325343,300.02825783810806,39.1
260000,-11114526.338950343,300.05292934092455,39.2
270000,-11115600.104575343,300.3022652975377,39.2
280000,-11113873.448325343,299.81448385035696,39.2
290000,-11115399.753012843,300.24138819862196,39.2
300000,-11114346.424887843,300.46063292105674,39.2
310000,-11114029.284262843,300.26672271913804,39.2
320000,-11114677.971762843,300.4734865049711,39.2
330000,-11114706.760825343,300.38698342725723,39.2
340000,-11117064.237387843,300.31641236677126,39.2
350000,-11118114.526450343,300.34074748737874,39.2
360000,-11111133.565512843,300.28641107479984,39.2
370000,-11111170.010825343,299.67553326861,39.2
380000,-11117711.370200343,299.99586491929887,39.2
390000,-11115449.612387843,300.71494841793094,39.2
400000,-11112546.768637843,300.9701360662204,39.2
410000,-11114304.081137843,300.4939270979721,39.2
420000,-11121690.432700343,300.4031353507646,39.2
430000,-11112158.963950343,299.87203012200183,39.2
440000,-11113709.612387843,300.22956797156627,39.2
450000,-11112880.667075343,300.8080879462298,39.2
460000,-11115686.917075343,301.00141109199865,39.2
470000,-11117119.917075343,300.40882410696537,39.2
480000,-11115112.424887843,300.44933676968196,39.2
490000,-11113864.456137843,300.5741858252286,39.2
500000,-11112671.635825343,300.5925919565827,39.2
510000,-11120407.628012843,300.11338055618813,39.2
520000,-11117598.909262843,300.21876039756074,39.2
