#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-2280619.484175505,301.0572928488824,0
70000,-2280605.394331755,299.79345609108736,99.6
80000,-2282241.777144255,299.8387974784533,99.6
90000,-2283164.734175505,299.376413047711,99.6
100000,-2280472.65019113,299.8477877765582,99.5
110000,-2278114.519331755,300.1371235150836,99.5
120000,-2280747.800581755,301.19520492426676,99.5
130000,-2281073.80253488,301.0661828479768,99.5
140000,-2282231.36894113,300.98260053707526,99.5
150000,-2278781.999800505,300.19719738519115,99.5
160000,-2284005.882613005,300.5661595005347,99.5
170000,-2281612.882613005,301.10292247430016,99.5
180000,-2281807.335738005,300.19433756931244,99.5
190000,-2280513.24003488,301.5525412462373,99.5
200000,-2281293.398238005,300.13979098116556,99.5
210000,-2279850.13065988,299.38667236448964,99.5
220000,-2278426.616988005,299.4098453441134,99.5
230000,-2281416.17362863,300.98497029783437,99.5
240000,-2283922.52909738,300.0877269654059,99.5
250000,-2281257.99394113,300.0623191949713,99.5
260000,-2281614.06425363,299.47085094181875,99.5
270000,-2281789.058394255,299.9553352029797,99.5
280000,-2283756.09940988,299.03802364918835,99.5
290000,-2280397.702925505,300.95856128182504,99.5
300000,-2281153.941206755,299.4856697552727,99.5
310000,-2282443.421675505,301.529846867906,99.5
320000,-2280405.40409738,301.01063474438604,99.5
330000,-2282308.702925505,299.77478791561515,99.4
340000,-2282379.69315988,299.05045544133554,99.4
350000,-2279754.312300505,300.7612502553861,99.4
360000,-2281125.80644113,301.581584878858,99.4
370000,-2282475.542769255,301.2940113684619,99.4
380000,-2280904.44706613,300.84885155051256,99.4
390000,-2283746.22440988,300.2009352117461,99.4
400000,-2279683.081831755,300.359744134367,99.4
410000,-2280047.22440988,299.9784227324365,99.4
420000,-2282329.542769255,300.92882306634976,99.4
430000,-2281169.12284738,299.6469634856809,99.4
440000,-2280431.39237863,300.97630045281653,99.4
450000,-2280468.61894113,300.1192662851024,99.4
460000,-2282068.81034738,299.9054068966874,99.4
470000,-2282013.331831755,299.36899165409915,99.4
480000,-2280794.355269255,299.38912106753884,99.4
490000,-2278056.92753488,300.02454518021875,99.4
500000,-2282158.99784738,301.4310974810955,99.4
510000,-2282970.652144255,298.5720615469625,99.4
520000,-2284290.695113005,300.99503113029596,99.4
530000,-2282265.07987863,300.8291025919768,99.4
540000,-2285716.898238005,301.76080664941253,99.4
550000,-2281581.34940988,299.94310710034813,99.4
560000,-2281865.781050505,300.9553762652107,99.4
570000,-2279281.624800505,299.7958795426402,99.4
580000,-2278093.601363005,299.4759591062392,99.4
590000,-2282210.38847238,300.6533888521688,99.4
600000,-2279512.949019255,300.4143023702511,99.4
610000,-2280510.28690988,301.1262339472649,99.4
620000,-2277616.34550363,300.4591725705569,99.4
630000,-2283672.11894113,300.15168615101476,99.4
640000,-2282682.081831755,298.9417473321317,99.4
650000,-2279971.22440988,299.65295237494644,99.4
660000,-2282148.847456755,301.26807907819426,99.4
670000,-2279314.60331613,298.7454051426331,99.4
680000,-2281799.191206755,299.859259656896,99.4
690000,-2280948.991988005,299.6083317621842,99.4
700000,-2280041.925581755,300.178540358663,99.4
710000,-2280861.636519255,300.0250507198063,99.4
720000,-2280722.624800505,300.3435118776253,99.4
730000,-2279848.616988005,300.803972194581,99.4
740000,-2282707.46269113,299.3237698073224,99.4
750000,-2280495.417769255,299.42411758911703,99.4
760000,-2278773.288863005,300.4507023491318,99.4
770000,-2283355.41972238,299.1239357673278,99.4
780000,-2282744.320113005,300.40978283019,99.4
790000,-2281715.335738005,300.54116798901237,99.4
800000,-2279551.10722238,299.55059119705174,99.4
810000,-2282895.89628488,300.89705490110043,99.4
820000,-2281232.202925505,299.0774268755329,99.4
830000,-2282867.63065988,299.1575629882442,99.4
840000,-2280650.851363005,300.15208886501614,99.4
850000,-2280498.718550505,300.8075443963738,99.4
860000,-2280661.32206613,300.93701955905635,99.4
870000,-2280552.64237863,300.33557200030737,99.4
880000,-2282964.15800363,299.1489883992798,99.4
890000,-2281314.79472238,300.76419341202956,99.4
900000,-2282060.109175505,300.47180240790885,99.4
910000,-2280932.081831755,300.95300348791847,99.4
920000,-2280510.671675505,299.1114040204751,99.4
930000,-2281059.00175363,300.4221904573733,99.4
940000,-2284942.796675505,299.00939753102944,99.4
950000,-2281230.50175363,299.5588484324111,99.4
960000,-2284208.63456613,299.32577780603356,99.4
970000,-2283290.60331613,299.46530417766616,99.4
980000,-2281794.93534738,300.11142640675837,99.4
990000,-2285667.456831755,300.8789295350459,99.4
1000000,-2281294.51347238,302.2166960837219,99.4
1010000,-2279955.74784738,300.27122097963087,99.4
1020000,-2282370.722456755,300.62050901353336,99.4
1030000,-2279441.52519113,301.61717620677325,99.4
1040000,-2279799.39628488,300.5201719208472,99.4
1050000,-2283401.63847238,300.0112897703549,99.4
1060000,-2281892.78690988,300.369962936558,99.4
1070000,-2277313.890425505,300.2725681330172,99.4
1080000,-2283666.699019255,299.75385267168525,99.4
1090000,-2282164.074019255,299.5619644882722,99.4
1100000,-2280389.202925505,299.8737079993873,99.4
1110000,-2279348.613081755,299.85025034867436,99.4
1120000,-2282809.65409738,301.9675599154946,99.4
1130000,-2282191.788863005,299.5355536588318,99.4
1140000,-2280449.60722238,300.7207198451674,99.4
1150000,-2279399.109175505,300.26868444511064,99.4
1160000,-2279883.79081613,300.6795795032526,99.4
1170000,-2282135.20878488,300.1144082792342,99.4
1180000,-2283520.913863005,299.7343801615496,99.4
1190000,-2282667.16190988,299.58424739258095,99.4
1200000,-2280653.089644255,302.26993286085303,99.4
1210000,-2281658.21659738,299.77530059117174,99.4
1220000,-2282869.13847238,300.56693451983443,99.4
1230000,-2281487.917769255,300.04538876433975,99.4
1240000,-2281729.656050505,299.75105334844744,99.4
1250000,-2280550.097456755,301.2349148812804,99.4
1260000,-2279781.734175505,300.99128366507733,99.4
1270000,-2278986.89237863,299.20826199668653,99.4
1280000,-2283533.370894255,301.3613539028358,99.4
1290000,-2282538.92753488,300.8328479549398,99.4
1300000,-2283030.24394113,301.3087456542284,99.4
1310000,-2283773.25565988,300.34724041044393,99.4
1320000,-2283444.113081755,301.9423754399848,99.4
1330000,-2282062.16972238,300.6053582738361,99.4
1340000,-2282234.327925505,301.1040869001972,99.4
1350000,-2282720.062300505,300.14323360482587,99.4
1360000,-2282850.773238005,300.36917402950775,99.4
1370000,-2279788.40409738,299.3205930136236,99.4
1380000,-2280956.09940988,300.17295549196433,99.4
1390000,-2282928.54862863,299.9703341311425,99.4
1400000,-2284439.95878488,300.48042945824045,99.4
1410000,-2280105.163863005,301.3583553530125,99.4
1420000,-2280863.37675363,299.17163292381906,99.4
1430000,-2282543.59159738,300.6178912841804,99.4
1440000,-2283830.702925505,300.8765022511076,99.4
1450000,-2282247.52128488,298.83134484326695,99.4
1460000,-2283007.72440988,301.0375828818545,99.4
1470000,-2280449.25956613,300.2592981710166,99.4
1480000,-2282499.26347238,300.3900255706661,99.4
1490000,-2281359.585738005,301.9353831605839,99.4
1500000,-2282476.49784738,301.11360931391584,99.4
1510000,-2283031.488081755,300.1018989926723,99.4
1520000,-2280523.00175363,300.90541508413077,99.4
1530000,-2281009.738081755,301.67937265950746,99.4
1540000,-2278823.96659738,301.45462565546165,99.4
1550000,-2281773.25956613,299.4346691386243,99.4
1560000,-2279655.921675505,301.59140861659307,99.4
1570000,-2279783.718550505,300.6015444140107,99.4
1580000,-2279937.59550363,299.3376420334013,99.4
1590000,-2280345.00565988,299.4491080934808,99.4
1600000,-2280672.98222238,299.26145314500815,99.4
1610000,-2282182.601363005,300.7885305004899,99.4
1620000,-2282122.777144255,300.86246919158737,99.4
1630000,-2282369.77519113,299.36216897858895,99.4
1640000,-2279914.855269255,301.02223515290797,99.4
1650000,-2280825.67362863,299.2628431692834,99.4
1660000,-2283753.429488005,300.09667371007356,99.4
1670000,-2281368.58378488,300.48475712232056,99.4
1680000,-2280577.952925505,300.3163085077795,99.4
1690000,-2283254.04081613,299.314028963226,99.4
1700000,-2281724.00175363,299.65401737885065,99.4
1710000,-2283709.31034738,301.2019556849542,99.4
1720000,-2280358.007613005,299.16158453535047,99.4
1730000,-2283765.07206613,300.3427412354383,99.4
1740000,-2282862.56815988,300.1270104722937,99.4
1750000,-2280767.16581613,298.7343777858092,99.4
1760000,-2283774.64237863,300.8184163639862,99.4
1770000,-2281665.687300505,302.04100658635303,99.4
1780000,-2281916.195113005,300.7534121879656,99.4
1790000,-2282893.941206755,301.3364816621067,99.4
1800000,-2284353.79081613,301.11608772447977,99.4
1810000,-2281020.300581755,302.02051510640945,99.4
1820000,-2282494.23222238,300.79814996427854,99.4
1830000,-2279703.65019113,299.9563412301648,99.4
1840000,-2282091.749800505,299.549298100825,99.4
1850000,-2281714.023238005,300.5076639858115,99.4
1860000,-2282399.253706755,300.78990398176575,99.4
1870000,-2282300.991988005,300.27958165701034,99.4
1880000,-2279576.034956755,299.48601052635973,99.4
1890000,-2281803.25175363,300.92965879742394,99.4
