#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-2179815.6424368974,301.21203870405543,0
70000,-2180604.9080618974,300.71612901492534,137
80000,-2178660.6814993974,301.11263090137345,138
90000,-2179211.6893118974,301.2923917552051,138
100000,-2179429.3826712724,300.96787711103826,138
110000,-2180696.1932181474,299.9788240148922,138
120000,-2178502.0838431474,298.954881455474,138
130000,-2181325.5682181474,301.6931946048849,138
140000,-2180062.5486868974,298.2210049708662,138
150000,-2180394.4510306474,301.2164856968638,138
160000,-2179428.6424368974,301.368105420163,138
170000,-2179825.7244681474,299.35837219666064,138
180000,-2178645.8123587724,300.3268200339498,138
190000,-2179646.9139212724,300.22806295961806,137
200000,-2179088.1912650224,300.3758868031227,137
210000,-2175799.9100150224,301.1109335075573,136
220000,-2179312.2068900224,300.2050068494496,136
230000,-2177729.7615775224,300.1495398823962,136
240000,-2179224.7459525224,300.4333173428474,135
250000,-2179247.9373587724,299.7659390853969,135
260000,-2178166.9412650224,301.66135018668166,135
270000,-2177482.6463431474,300.8355523461546,134
280000,-2179155.4490775224,299.3063228642387,134
290000,-2182385.7635306474,300.80685118616225,134
300000,-2181684.6404837724,299.94432611677587,134
310000,-2179267.1658743974,300.05941097725344,133
320000,-2180016.3709525224,300.35369669709064,133
330000,-2180016.9236868974,301.40992846172185,133
340000,-2182241.1541556474,300.02652592469366,133
350000,-2180640.4041556474,299.6702969539408,133
360000,-2179695.9490775224,299.714025021759,133
370000,-2181622.3221243974,298.6558341541307,133
380000,-2178640.4217337724,300.29660721840025,133
390000,-2179841.3631400224,300.6171047231593,133
400000,-2183008.4666556474,301.28443696113237,133
410000,-2180251.1854056474,299.9351655319952,133
420000,-2179325.6756400224,299.5936416937413,133
430000,-2179860.4314993974,301.0617558515239,134
440000,-2177958.7791556474,300.64764863193847,134
450000,-2179024.3182181474,298.87456455035965,134
460000,-2179891.3514212724,300.04932430263636,134
470000,-2181812.8982962724,301.3814109918392,134
480000,-2180448.8240775224,300.29919750706347,134
490000,-2177850.3182181474,298.8796141613055,134
500000,-2181004.1756400224,300.1893667648419,133
510000,-2178493.3553275224,299.9729402446643,133
520000,-2179046.6854056474,301.6695277727364,133
530000,-2179256.3357962724,301.14234549425976,133
540000,-2180964.2127493974,299.40430057501015,133
550000,-2179779.6600150224,300.38778156254324,133
560000,-2178090.7147025224,300.4959878616081,133
570000,-2181417.3533743974,300.0005044162802,133
580000,-2181178.4080618974,299.5909075126073,133
590000,-2181324.0057181474,299.7459738562355,133
600000,-2179854.0467337724,301.424373578233,133
610000,-2179467.3592337724,299.7279354667569,133
620000,-2179661.8201712724,300.52328189363755,133
630000,-2178633.3807181474,300.083979550798,133
640000,-2181117.9471243974,299.1345950728185,133
650000,-2182640.4920462724,299.3783747490152,133
660000,-2179947.7693900224,300.9829205787393,133
670000,-2177909.8377493974,300.64073318214383,133
680000,-2180865.7654837724,299.93930890362117,133
690000,-2181011.8494681474,300.4063508000113,133
700000,-2180792.1346243974,298.7404919515404,133
710000,-2177947.0955618974,301.2775054783595,133
720000,-2180303.9686087724,300.3595012173732,134
730000,-2179466.4959525224,299.4271477101158,134
740000,-2182428.4217337724,300.19102304217137,134
750000,-2178521.7869681474,300.5977578788372,134
760000,-2179393.2615775224,300.58803716446187,134
770000,-2178616.0232962724,298.66328934827396,134
780000,-2181022.5799368974,300.6678495804839,134
790000,-2178780.4080618974,299.09852915477654,134
800000,-2181027.2459525224,300.87850111073135,134
810000,-2181698.4041556474,299.4598443943211,134
820000,-2177956.8182181474,300.96971217076157,134
830000,-2179653.7400931474,300.6471284247906,133
840000,-2178463.5936087724,300.482753627646,133
850000,-2180299.2830618974,299.53928818138047,133
860000,-2181353.5193900224,299.9469870970542,133
870000,-2181095.0721243974,299.4550492353673,133
880000,-2180772.2752493974,301.3087394243791,133
890000,-2182489.6404837724,302.0374286962876,133
900000,-2178638.1561087724,301.2121147544449,133
910000,-2179751.1307181474,299.8800511626423,133
920000,-2179343.5252493974,301.82976542376497,133
930000,-2180331.5447806474,298.8996327998722,133
940000,-2178225.2205618974,300.01527519444477,133
950000,-2183059.9783743974,301.1904558959285,133
960000,-2180294.8904837724,300.2972919782015,133
970000,-2180623.9061087724,301.234815445438,133
980000,-2180627.7713431474,300.37590448813353,133
990000,-2179440.0272025224,300.3465304299693,133
1000000,-2181662.6287650224,301.36018028010716,133
1010000,-2180651.8123587724,301.05659723511917,133
1020000,-2181602.2205618974,301.3644203093405,133
1030000,-2180161.5369681474,300.9489238480673,133
1040000,-2179483.3064993974,300.3144462676742,133
1050000,-2176502.8572806474,301.12856428328587,133
1060000,-2177734.0174368974,299.7991769505876,133
1070000,-2181301.0506400224,300.5291250512825,133
1080000,-2180481.3943900224,299.9544375489593,133
1090000,-2179108.2439993974,298.9621898166903,133
1100000,-2178869.8045462724,300.8673935013814,132
1110000,-2179024.5857962724,300.52156418950926,132
1120000,-2178864.8572806474,298.42730264553916,132
1130000,-2182329.6658743974,300.9809096766916,132
1140000,-2179143.7186087724,300.70647366099143,132
1150000,-2178133.7674368974,300.31551499771916,132
1160000,-2182087.9354056474,300.0781800083879,132
1170000,-2181734.4920462724,300.6044328658213,132
1180000,-2181188.6580618974,301.7255235860087,132
1190000,-2177607.2947806474,301.1360560027893,132
1200000,-2182424.5799368974,299.9088949953716,132
1210000,-2180841.5818900224,301.8953044852248,132
1220000,-2179409.1150931474,301.4778852826908,132
1230000,-2180891.8670462724,301.2517397073305,132
1240000,-2180188.4998587724,299.86462324394824,132
1250000,-2178227.1346243974,300.0243992033845,132
1260000,-2177840.7225150224,299.93222980976094,132
1270000,-2181280.0857962724,299.80413226597943,132
1280000,-2178926.4061087724,300.7566013228463,132
1290000,-2180650.2439993974,300.3856958709364,132
1300000,-2182527.5897025224,299.4172816240952,132
1310000,-2181167.2303275224,301.3229976188498,132
1320000,-2179212.4451712724,303.2664456307561,132
1330000,-2179723.9393118974,300.5506698429564,132
1340000,-2178649.6814993974,300.8740081786533,132
1350000,-2181926.2615775224,301.0196682205718,132
1360000,-2182108.0154837724,300.1743597393955,132
1370000,-2179283.9451712724,301.2089471434915,132
1380000,-2181531.9061087724,299.87989789329094,132
1390000,-2181912.1033743974,299.2886530416678,132
1400000,-2182174.0369681474,299.86291648639383,132
1410000,-2177586.0350150224,302.02891848095175,132
1420000,-2177197.7596243974,299.8072525347276,132
1430000,-2181975.0330618974,301.03657591401736,132
1440000,-2178645.2303275224,299.9521660350819,132
1450000,-2182105.9119681474,300.7978574813508,132
1460000,-2181025.4764212724,300.9596166503439,132
1470000,-2180666.5369681474,300.65094017843205,132
1480000,-2180250.8201712724,300.6566082763816,132
1490000,-2179418.2967337724,300.1069642903182,132
1500000,-2177519.2732962724,299.0141687163129,132
1510000,-2178218.1482962724,300.3482477773448,132
1520000,-2182345.8162650224,299.1210110899291,132
1530000,-2179010.1131400224,300.96486020145034,132
1540000,-2179948.1971243974,299.6413202496541,132
1550000,-2179628.1971243974,300.2351905643657,132
1560000,-2179566.6639212724,299.9591535469326,132
1570000,-2180684.5135306474,300.8858929130491,132
1580000,-2178613.5350150224,301.9521379170134,132
1590000,-2181151.0330618974,299.92089209184485,132
1600000,-2180941.2947806474,301.0785207566576,132
1610000,-2179461.9959525224,300.6424309562509,132
1620000,-2179222.3338431474,300.81774242500614,132
1630000,-2180781.5018118974,301.06245606598617,132
1640000,-2180067.6482962724,300.28545543938276,132
1650000,-2179500.3982962724,299.4013897133383,132
1660000,-2181706.1541556474,301.0544663853712,132
1670000,-2183145.3123587724,300.4532869704462,132
1680000,-2177326.4529837724,301.9845283822841,132
1690000,-2178029.3377493974,299.3726321389676,132
1700000,-2182020.1814993974,300.55457767058965,131
1710000,-2182215.5506400224,300.62269349289255,131
1720000,-2183818.4647025224,300.5115749491035,131
1730000,-2178610.4881400224,300.42416739175536,131
1740000,-2183220.9373587724,300.68424095692257,131
1750000,-2179862.7693900224,301.3917202812153,131
1760000,-2181662.8475150224,300.3906625734757,131
1770000,-2178552.9217337724,300.0347012564466,131
1780000,-2180220.4275931474,300.9932815946045,131
1790000,-2178921.2674368974,299.93820845082314,131
1800000,-2180324.3436087724,298.86320332127485,131
1810000,-2181473.4803275224,299.142820291872,131
1820000,-2181493.3123587724,298.9278921152585,131
1830000,-2178622.2342337724,300.78558506393244,131
1840000,-2181225.8260306474,300.7612753256507,131
1850000,-2181434.0994681474,299.99731454321807,131
1860000,-2180997.1150931474,300.8991213900633,131
1870000,-2179517.4842337724,300.11359779558296,131
1880000,-2180935.9959525224,300.9061802372619,131
1890000,-2181252.4393118974,300.8602337499636,131
1900000,-2180165.8143118974,300.6211878889156,131
1910000,-2178685.6111868974,300.6555206228579,131
1920000,-2179590.6932181474,300.90916401058234,131
1930000,-2181119.3592337724,298.2668196802813,131
1940000,-2179340.9119681474,301.29512353648835,131
1950000,-2180631.0018118974,300.1673238123029,131
1960000,-2180334.8904837724,300.8305215215292,131
1970000,-2180176.8064993974,299.77254528978546,131
1980000,-2179561.6229056474,299.1671184272234,131
1990000,-2178485.4119681474,301.7350834118134,131
2000000,-2181322.6912650224,300.7026157267893,131
2010000,-2182544.0799368974,299.7329564299361,131
2020000,-2181147.4256400224,300.1509080385179,132
2030000,-2179575.7186087724,299.3823598618401,132
2040000,-2181471.9647025224,301.44432806490414,132
2050000,-2179476.5408743974,300.01660537927927,132
2060000,-2179559.3104056474,299.0326222163972,132
2070000,-2180231.8865775224,300.58736888093466,132
2080000,-2180955.8182181474,298.5253707633477,132
2090000,-2179867.6736868974,300.2791496185402,132
2100000,-2179313.4451712724,300.12561135908015,132
2110000,-2181617.0936087724,301.37378063829306,132
2120000,-2178504.0037650224,299.2238706149092,132
2130000,-2178908.6385306474,301.2181431067391,132
2140000,-2182419.4979056474,299.5523346015666,132
2150000,-2179864.8201712724,300.2029164325302,132
2160000,-2180399.9334525224,300.60706183206895,132
2170000,-2181861.0486868974,299.4712842848735,132
2180000,-2179669.3025931474,299.9263297150877,132
2190000,-2180609.7791556474,299.2836571718088,132
2200000,-2181333.2205618974,299.9569137928887,132
2210000,-2179107.7127493974,299.0819360940711,132
2220000,-2181022.9197806474,300.6922848422068,132
2230000,-2181155.5232962724,300.51093373699507,132
2240000,-2181647.2654837724,301.0608353972786,132
2250000,-2178305.2869681474,300.7839551594379,132
2260000,-2176729.4314993974,300.0714049433214,132
2270000,-2179336.3904837724,301.2887588439871,132
2280000,-2177658.3943900224,300.46051714043807,132
2290000,-2179282.0389212724,300.2101189664983,132
2300000,-2178247.2537650224,300.63982749150597,132
2310000,-2179394.6873587724,300.8223130919418,132
2320000,-2179498.7225150224,299.11770593559316,132
2330000,-2177402.1541556474,301.1849822994929,132
2340000,-2182870.7459525224,299.61823111695924,132
2350000,-2180857.5174368974,301.25871979250223,132
2360000,-2179949.6072806474,300.6339370266753,132
2370000,-2180056.8787650224,300.68550355622585,132
2380000,-2180831.6697806474,301.44832768257305,132
2390000,-2178913.6131400224,299.4194705754566,132
2400000,-2181807.9900931474,299.65862069825613,132
2410000,-2180692.0272025224,299.5437193807819,132
2420000,-2179927.6522025224,301.5957120034154,132
2430000,-2178592.6092337724,300.103682846855,132
2440000,-2182497.7869681474,300.5151497209934,132
2450000,-2178770.7244681474,301.8921805699035,132
2460000,-2180719.2869681474,299.3426221636822,132
2470000,-2178819.1482962724,301.0369713708428,132
2480000,-2180624.2518118974,300.8394216390302,132
2490000,-2177971.2752493974,300.2480097597909,132
2500000,-2179182.0857962724,300.84672506456354,132
2510000,-2180644.7361868974,299.87598558662273,133
2520000,-2179092.7029837724,299.82925799758044,133
2530000,-2179568.0213431474,301.6196705827324,133
2540000,-2179931.7439993974,302.25675987955975,133
2550000,-2180795.7889212724,300.902733648648,133
2560000,-2179514.6834525224,301.8455961107666,133
