#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-308884.80429452355,300.68219408043103,0
70000,-308700.49441903527,298.7111788150789,842
80000,-310247.23733895714,301.51470026309545,858
90000,-309673.56171029503,300.6906573892908,863
100000,-310606.96623605187,299.97058020149024,865
110000,-309692.81265633996,299.1422577601484,867
120000,-309808.82175057824,303.3477734925168,868
130000,-310806.1730689376,298.82304377275676,868
140000,-309684.5459937423,301.4316649320279,868
150000,-309540.70065682824,301.5737790148799,868
160000,-309527.79816049035,300.8037053683978,868
170000,-309154.1986426681,298.59696052838444,868
180000,-308263.8521155685,301.51696893047904,868
190000,-309593.163059172,299.2126534479612,868
200000,-309591.6081885665,301.9961345942054,868
210000,-309971.2876014083,299.12705574062375,868
220000,-309922.62152474816,300.9934749569704,868
230000,-309624.6584205001,300.97211687489056,868
240000,-309939.78573983605,299.3085112986114,868
250000,-309839.9245032638,302.0710133638264,868
260000,-310156.43011849816,298.8782297323341,867
270000,-309694.29538339074,300.35601185687227,867
280000,-309118.1436499923,299.00481825499054,867
290000,-310276.0666541427,299.69561069474094,867
300000,-310074.52777474816,296.177018396413,866
310000,-309672.14136117394,301.33310516775407,866
320000,-309465.8633765548,300.5577386539688,866
330000,-309040.95303719933,305.21287094055015,866
340000,-309639.4929541915,298.81657548125287,866
350000,-310770.15082162316,301.4988899436681,865
360000,-309826.04410165246,299.12821749627255,865
370000,-308390.04733651574,298.9795079671589,865
380000,-310466.88324349816,298.5566753461596,865
390000,-308640.661899504,298.80990292732673,864
400000,-309268.19241708214,299.92557296231365,864
410000,-309593.10538094933,300.5856270232227,864
420000,-310388.59988778527,300.7181493931089,864
430000,-309234.3860968917,300.3339846084859,864
440000,-309672.6960791915,297.57941157300985,863
450000,-309363.41702645714,299.39501891804906,863
460000,-309604.97128671105,301.2830191697,863
470000,-310023.28018563683,302.1741808647073,863
480000,-310195.5426062911,303.4733782116356,863
490000,-309637.6196631759,299.2491323874187,862
500000,-309981.08359139855,297.88965177667,862
510000,-309673.35184091027,299.46459114992706,862
520000,-309274.0031470626,299.8939862198451,862
530000,-308929.42218392785,302.80022629941215,862
540000,-309905.3534888595,299.9905297006342,862
550000,-309891.7749060958,304.1593874583339,862
560000,-310068.101352629,297.9116161384767,862
570000,-309224.23953622277,300.7907451617583,862
580000,-308730.8797339767,302.53336717583943,862
590000,-309812.7160682052,297.4807855538629,861
600000,-309829.56668466027,301.93012963458006,861
610000,-309338.8846167892,301.55067663060106,861
