#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-398115.4310067969,300.332909745954,0
70000,-397688.7299569922,295.263004596338,738
80000,-397965.83882845216,298.6840176253282,737
90000,-398275.1276925879,300.223786092184,737
100000,-398962.2291330176,299.8277627604379,737
110000,-398177.9122995215,302.7147495835878,737
120000,-397574.6013254004,299.17374945495425,737
130000,-397608.96131075197,298.88964571590856,737
140000,-398182.69473970705,300.6598844387316,736
150000,-397542.31677950197,300.77469264363333,735
160000,-398114.813666709,301.40745441250886,735
170000,-398379.6095651465,296.75723747156997,735
180000,-396807.9852365332,298.46090975295067,735
190000,-399157.1042550879,300.93242267290304,735
200000,-398912.75009859377,301.80246583729365,734
210000,-398088.6146920996,299.81663933158933,734
220000,-398121.31641329103,297.65372182890854,734
230000,-397809.7172311621,300.52163542862166,734
240000,-399283.48224581056,302.8604244783219,734
250000,-398483.9824899512,302.3452310917442,734
260000,-398431.92505586916,301.25886848685957,734
270000,-397855.3310006934,302.3107065103623,734
280000,-397747.71717012697,299.6482880952598,734
290000,-397243.2918771582,300.2013818474373,734
300000,-398529.7833627539,296.23536520108144,734
310000,-397792.6911691504,301.21183054322154,734
320000,-398431.31751192384,298.824788077305,734
330000,-398790.88556612306,299.147566715057,734
340000,-397780.98657930666,299.23085704466035,734
350000,-397798.4599069434,299.7117744129357,734
360000,-398044.19153536134,303.1767714192365,733
370000,-397998.01911104494,299.97025612644813,733
380000,-398168.72571504884,301.1356808541007,733
390000,-398106.0467599707,301.45505102073275,733
400000,-397695.1428903418,301.77058850008643,733
410000,-398048.3287423926,297.46644411845955,733
420000,-398664.7182077246,301.32225173586124,732
430000,-397600.08133638673,298.0534995153118,732
440000,-396711.8428415137,303.2787766849239,732
450000,-398632.2203439551,298.6937470781735,732
460000,-398176.1047128516,301.285816694337,732
470000,-397783.9996103125,298.29768420816737,732
480000,-399049.96778047853,301.1977536061817,732
490000,-398238.37079561525,300.46972067234447,732
500000,-397184.1285165625,301.57333215799036,732
510000,-398549.70200289064,300.3480183693481,731
520000,-399130.17050875,302.9841430392015,731
530000,-397650.1043008643,301.73955410140076,731
540000,-398503.8711618262,299.40111004660315,731
550000,-398473.5378488379,301.42414451071596,731
560000,-398985.52509249025,298.1020570092938,731
570000,-397797.1422189551,298.99848002184893,731
580000,-397329.9118722754,306.3510322483633,731
590000,-398033.7690500098,300.9538349273193,731
600000,-397320.243934043,300.21175144530315,731
610000,-399187.4711984473,302.6632721884497,731
620000,-398179.3898080664,297.1343879551387,731
630000,-398389.0842965918,302.76929216186926,731
640000,-398567.8235544043,301.25951167402695,731
650000,-398774.80145967775,299.2697308897654,730
660000,-398356.1344064551,299.23971147613196,730
670000,-397749.9932016211,300.5025114986135,730
680000,-397259.50513399416,301.31171772046565,730
690000,-399180.8161691504,300.2501859641242,730
700000,-397899.2263254004,299.7487849585698,730
710000,-397462.9869455176,301.3761197065756,730
720000,-398080.9080880957,299.82397734123003,730
730000,-397881.31330049806,301.39226140528456,730
740000,-398701.4345163184,304.3105862094427,730
750000,-398597.9727243262,300.96247458079034,730
760000,-398081.4005807715,301.94959878893195,730
770000,-398621.93384493166,301.26078476015596,730
780000,-399054.0545724707,300.6015647104685,730
790000,-397905.43634737306,298.5050461289007,730
800000,-398779.7108224707,298.4561470449571,730
810000,-398291.72638643556,303.7083979041573,729
820000,-398595.07056368166,301.2262114080387,729
830000,-397206.6145700293,298.4090732355105,729
840000,-398222.9333261328,301.4369036899768,729
850000,-398984.63251436525,298.5630581384035,729
860000,-397722.21649874025,299.36543992985105,728
870000,-398366.57295931154,301.6855163712454,728
880000,-398699.2579721289,299.05977550546953,728
890000,-398913.72150362306,296.01007050326353,728
900000,-397702.48935640627,303.87152001150855,728
910000,-398569.63935030275,301.8934321725326,728
920000,-398657.46271456056,297.9455064180076,728
930000,-398979.1962045508,300.34789608250776,728
940000,-397337.8087838965,302.58338526950774,728
950000,-399244.0058053809,300.05883513038316,728
960000,-397811.99829805666,300.0705771201662,728
970000,-397810.81348360353,302.6112093425035,728
980000,-397415.52283418947,301.99038726840195,728
990000,-398921.6823800879,300.74982481847957,728
1000000,-399648.0971139746,300.9803990455588,727
1010000,-398744.63416231447,300.2792858428891,727
1020000,-398810.92462862306,301.3580754113198,727
1030000,-397906.2299569922,300.3227423568145,727
1040000,-399196.86798799806,302.12088408694245,727
1050000,-398346.6727365332,299.4063402122468,727
1060000,-399715.8378061133,298.4560770518018,727
1070000,-398682.07422579103,302.29284871086986,726
1080000,-398288.3925241309,295.4386912774139,726
1090000,-397114.6653512793,303.10748868587615,726
1100000,-397775.22278536134,299.2868183207707,726
1110000,-398460.6494821387,298.16395011416915,726
1120000,-397567.26325166994,302.343654188035,726
1130000,-397712.9134286719,301.1657346300932,726
1140000,-398658.0559762793,297.3119887655285,726
1150000,-397639.33631075197,300.243382430199,726
1160000,-398289.18843782716,301.4236879801095,726
1170000,-398244.53809297853,301.09117998531036,726
1180000,-398002.6733468848,298.25710801287477,726
1190000,-398856.4002755957,300.68656943890704,726
1200000,-397643.5422891455,299.50948555508876,726
1210000,-398430.57675875,301.5584443836773,726
1220000,-397540.0487436133,301.1285660525749,726
1230000,-398149.8330453711,302.32138245961585,726
1240000,-398981.18482149416,299.2745796818929,726
1250000,-398034.3512033301,294.6529851494844,726
1260000,-398482.7499460059,301.57113653496185,726
1270000,-397602.1842111426,302.4781917546126,726
1280000,-398582.2106698828,302.8812043449351,726
1290000,-397625.4407419043,299.7327551730276,726
1300000,-397894.7917550879,302.26921306288887,726
1310000,-398275.05103243166,300.1925358445891,726
1320000,-399186.33997286134,301.7585888121348,725
1330000,-398865.6271737891,299.88444695102186,725
1340000,-398325.70087374025,298.8415521132573,725
1350000,-398385.1575692969,297.22161439841517,725
1360000,-397400.54041231447,302.0409670331822,725
1370000,-398404.58203829103,301.87913555660816,725
1380000,-399234.87500704103,298.2792782745015,725
1390000,-398027.4478830176,300.06469560478644,725
1400000,-398217.44141329103,304.05693571642655,725
1410000,-397622.95435274416,304.21318550977446,725
1420000,-397976.21021211916,298.8199881647904,725
1430000,-399000.06665743166,299.67130284059516,725
1440000,-398543.4888986426,297.90942040252895,725
1450000,-398661.01056612306,298.62139548483304,725
1460000,-398145.35407198244,300.82505065365376,725
1470000,-397941.70783174806,301.10413557880787,725
1480000,-398216.8472970801,304.9120377619365,725
1490000,-397452.28430879884,300.76121613132227,725
1500000,-398447.3717111426,301.92644787266653,725
1510000,-398859.14380586916,301.7616324654242,725
1520000,-398732.80786836916,298.1830593457438,725
1530000,-398392.7384713965,299.2196308498426,725
1540000,-398606.37439668947,298.30917214439614,725
1550000,-397130.1198800879,300.6521393205725,725
1560000,-397145.5896066504,300.61676870140525,725
1570000,-398383.6027597266,300.0866943032951,725
1580000,-397338.30017793947,300.19957509771325,725
1590000,-397056.4624093848,299.3171927128682,725
1600000,-398069.7302316504,298.1146617818785,725
1610000,-399208.0696481543,299.06474504756216,725
1620000,-398238.58216036134,299.6066678806119,725
1630000,-397693.73993624025,302.9930120265333,725
1640000,-397528.7645944434,301.86800017135,725
1650000,-398629.16345918947,300.04098207574924,725
1660000,-398296.7708505469,297.6507823882964,725
1670000,-398161.167182334,301.28361659533874,725
1680000,-397716.67548311525,298.55511320048083,725
1690000,-398822.1629709082,298.6304662170034,725
1700000,-398096.57254732423,298.89171850351624,725
1710000,-397862.22266329103,300.84693902740696,724
1720000,-397322.6924356299,301.0936678491998,724
1730000,-398469.0850290137,299.8943806314718,724
1740000,-398578.8545602637,301.5169216349295,724
1750000,-399679.84387911134,300.74518241718863,724
1760000,-398675.29379976564,298.4973906782259,724
1770000,-398022.0186227637,294.95356864646806,724
1780000,-398375.69544161134,300.02921460658825,724
1790000,-398396.1272653418,301.01766329483024,724
1800000,-398948.1881173926,298.35061525495485,724
1810000,-398353.3603891211,300.8205409049743,724
1820000,-397145.9721139746,300.71960962212484,724
1830000,-399092.47852266603,300.64423634456915,724
1840000,-398697.24607027345,299.7997309944905,724
1850000,-397818.3659433203,294.81683177365795,724
1860000,-398612.51531160646,299.0968358133366,724
1870000,-397706.50644625,300.5624419139301,724
1880000,-397698.87039888673,301.21150117146243,724
1890000,-398321.04016817384,299.8048855545805,724
1900000,-396818.17243135744,298.99507295749595,723
1910000,-397357.3048776465,299.14816843465917,723
1920000,-398685.64017427736,300.14649322947963,723
1930000,-396697.2917245703,300.75193130850295,723
1940000,-397638.6299508887,298.1936545971875,723
1950000,-397893.9301828223,300.23089674317674,723
1960000,-398428.0165475684,300.52248213557704,723
1970000,-398240.68857515627,300.10428913426233,723
1980000,-397647.8813546973,299.7192057742793,723
1990000,-396774.0880502539,301.71210749057855,723
2000000,-397627.1062387305,297.9015537121596,723
2010000,-398383.95783174806,301.1177678240515,723
2020000,-398418.17685640627,301.9387718703273,723
2030000,-397795.31497896486,301.68920448281045,722
2040000,-398978.29352510744,304.01092717073817,722
2050000,-398020.8147653418,301.3109527985317,722
2060000,-398105.78711641603,299.46662690866526,722
2070000,-397431.4356149512,300.04703433651974,722
2080000,-398413.45215547853,300.2162810482843,722
2090000,-398999.56836641603,299.84377294976787,722
2100000,-397253.94681490236,298.95834644958234,722
2110000,-397669.11270845705,300.04694335826264,722
2120000,-396544.67743624025,302.1554023298978,722
2130000,-398686.7738717871,300.5283629670035,722
2140000,-399092.24231661134,303.1789095579704,722
2150000,-398348.5288156348,299.05738373301244,722
