#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-5826568.509801183,300.39211652020356,0770000,-5822968.552769933,300.76277421943564,61.8080000,-5826157.146519933,299.86092361194426,61.9090000,-5826022.505894933,300.24977524068015,61100100000,-5826790.638707433,300.19788260252295,11000110000,-5826439.029332433,300.88546383954383120000120000,-5825896.759801183,299.589260394756,130130000,-5828969.435582433,301.2627833624814,60140140000,-5829854.884801183,300.1087070140907,60.15150000,-5826586.244176183,301.2055739300247,61600160000,-5825263.712926183,299.5513386187415170000170000,-5831515.814488683,300.6032022437697180000180000,-5827681.134801183,300.2754450224555190000190000,-5828450.763707433,299.6677818728132200000200000,-5830519.650426183,300.9227751805418210000,210000,-5830210.005894933,300.821648754623220000,-220000,-5827215.916051183,300.45114559994230000,-230000,-5829840.607457433,300.681954327459240000,-240000,-5827251.673863683,300.541625844908250000,-250000,-5825923.384801183,300.517594592541260000,-260000,-5827187.841832433,299.8429651002270000,-5270000,-5829979.931676183,299.93068111502280000,-5280000,-5829143.369176183,300.6185316838290000,290000,-5829985.947301183,300.2973357949857300000300000,-5828044.888707433,300.04672136862183310000310000,-5826419.189488683,300.56510272292246320000320000,-5828693.548863683,299.7102516582525330000330000,-5831975.763707433,299.4964861166918340000340000,-5828066.478551183,301.1951916671831350000,350000,-5828657.853551183,300.304408624085360000,360000,-5830311.119176183,300.6926494878819370000370000,-5828503.541051183,299.8770175206712,38000380000,-5828619.251988683,301.27332715504144,39000390000,-5829402.455113683,300.4192509635548,64000400000,-5829279.048863683,300.4193155992996,64100410000,-5829227.318394933,300.201117068878,60420420000,-5832289.509801183,300.3223983165228,60.43430000,-5829734.228551183,299.4025882492844,60.34440000,-5825405.517613683,299.65776134893673,60.34450000,-5830277.857457433,300.143700443354,60.3
460000,-5830526.248082433,300.85446718065754,60.3
470000,-5830174.857457433,299.2529840154868,60.3
480000,-5831112.986363683,299.4247716349956,60.3
490000,-5831606.755894933,300.33273809053577,60.3
500000,-5830378.017613683,301.10069364428256,60.3
510000,-5828032.119176183,301.0092410329454,60.3
520000,-5831068.353551183,300.2997958415541,60.3
530000,-5829875.470738683,300.3866885386296,60.2
540000,-5830306.451207433,300.2971378239505,60.2
550000,-5827421.482457433,301.10270161006315,60.25560000,-5828237.638707433,300.1930639029415,60.25570000,-5828916.154332433,300.38962284341267,60.58580000,-5832707.384801183,300.2454288267983,60.25590000,-5830566.931676183,300.49436200965334,60.26600000,-5830036.970738683,299.76425665234706,60.26610000,-5832156.841832433,300.46164499420496,60.26620000,-5828016.951207433,300.6719929650333,60.26630000,-5831084.603551183,300.3534919166417,60.2
640000,-5830839.236363683,300.2305646621337,60.1
650000,-5831504.209019933,301.2274823723025,60.1
660000,-5829439.603551183,300.5861011523917,60.1
670000,-5830297.181676183,300.3424159573268,60.1
680000,-5829237.943394933,299.7633231582187,60.1
690000,-5831020.810582433,300.22159917438495,60.1
700000,-5829157.560582433,299.6171781276187,60.1
710000,-5828104.177769933,300.3731387022773,60.1
720000,-5828984.361363683,300.43838481694183,60.1
730000,-5830323.904332433,299.4209723703232,60.1
740000,-5829883.970738683,299.84779047054644,60.1
750000,-5830457.248082433,299.91508985403124,60.1
760000,-5831430.935582433,300.39359298505167,60.1
770000,-5831918.189488683,299.8636965066724,60.1
780000,-5830112.017613683,299.8428015262433,60.1
790000,-5830107.220738683,299.80795676274073,60.1
800000,-5828580.209019933,300.65625805247566,60
810000,-5830291.283238683,300.97380297821735,60
820000,-5827521.037144933,300.77464827026563,60
830000,-5826658.478551183,299.77727069522786,60
840000,-5829918.681676183,300.48044945770437,60
850000,-5831037.419957433,300.06189509975576,60
860000,-5828170.931676183,300.9327569491388,60
870000,-5832445.349644933,300.64205665921145,60
880000,-5829063.501988683,299.70877273420473,60
890000,-5825679.517613683,300.75202342929316,60
900000,-5828450.201207433,300.6967002129019,60
910000,-5831614.224644933,300.8363350772391,60
920000,-5831276.197301183,299.35879498852114,60
930000,-5832780.712926183,298.899598469154,60
940000,-5828977.865269933,299.4124985752092,60
950000,-5830072.595738683,300.1649149141276,60
960000,-5830317.896519933,299.7442299639539,60
970000,-5827706.998082433,300.2526763991473,60
980000,-5827253.408238683,299.7555986890853,60
990000,-5826676.201207433,299.6168711265036,60
1000000,-5827140.431676183,301.09274261816563,60
1010000,-5827543.279332433,299.397802283966,60
1020000,-5829060.888707433,300.2987774640088,60
1030000,-5829874.084019933,300.0844991348058,60
1040000,-5829536.888707433,300.41556847749905,60
1050000,-5828765.271519933,300.8678584617619,60
1060000,-5826271.982457433,299.5034857196011,59.9
1070000,-5830014.728551183,299.876578634179,59.9
1080000,-5825567.521519933,300.0604652202642,59.9
1090000,-5827719.193394933,299.9719930759769,59.9
1100000,-5831386.548863683,301.0539028019442,59.9
1110000,-5830313.259801183,300.1092583528569,59.9
1120000,-5831124.248082433,300.9791231798234,59.9
1130000,-5827835.556676183,300.3756292915994,59.9
1140000,-5831033.462926183,300.6462906865506,59.9
1150000,-5829806.154332433,300.40412260812667,59.9
1160000,-5830615.990269933,300.6550520214114,59.9
1170000,-5832686.427769933,299.9291668985181,59.9
1180000,-5833305.451207433,300.1761799643429,59.9
1190000,-5830651.209019933,300.1101879156981,59.9
1200000,-5829373.412144933,299.83593989095357,59.9
1210000,-5831260.556676183,300.7686907661325,59.9
1220000,-5829679.806676183,300.1318524627701,59.9
1230000,-5827497.197301183,299.96688500133,59.9
1240000,-5833475.451207433,298.8345083856545,59.9
1250000,-5829980.146519933,299.87728393551777,59.9
1260000,-5830487.423863683,300.35280522630364,59.9
1270000,-5825492.279332433,300.328773865716,59.9
1280000,-5828936.001988683,300.62485896901745,59.9
1290000,-5831855.689488683,299.9081389008215,59.9
1300000,-5828865.474644933,300.51073980496534,59.9
1310000,-5834307.478551183,301.22709768951563,59.9
1320000,-5830335.841832433,299.69867799323356,59.9
1330000,-5824170.916051183,300.2408370996669,59.9
1340000,-5829889.552769933,299.3906537511844,59.9
1350000,-5829402.595738683,300.3367890943659,59.9
1360000,-5834247.505894933,299.84147857965615,59.9
1370000,-5830915.537144933,299.6005435367219,59.9
1380000,-5829390.142613683,300.7638716858689,59.9
1390000,-5830778.431676183,299.47213899326704,59.9
1400000,-5832529.169957433,300.7665544985449,59.9
1410000,-5828967.763707433,300.34146452923875,59.9
1420000,-5829493.552769933,300.5172933371963,59.9
1430000,-5823727.334019933,301.0406952813625,59.9
1440000,-5830664.849644933,299.8683882455697,59.9
1450000,-5831396.904332433,300.1314220433401,59.9
1460000,-5833944.334019933,299.77370441347296,59.9
1470000,-5826975.099644933,300.7063034454764,59.9
1480000,-5828182.373082433,299.4654574092333,59.9
1490000,-5829196.455113683,300.76400360144936,59.9
1500000,-5830059.619176183,300.433351968586,59.9
1510000,-5827539.525426183,300.04366800602656,59.9
1520000,-5829361.197301183,299.78574012478146,59.9
1530000,-5831681.748082433,300.50209962821225,59.9
1540000,-5829072.376988683,300.1472633673673,59.9
1550000,-5831499.994176183,299.9632082701666,59.9
1560000,-5827361.056676183,300.7711493734928,59.9
1570000,-5826914.693394933,300.61596633469117,59.9
1580000,-5829171.482457433,300.18624188896825,59.9
1590000,-5833296.423863683,299.80825713265665,59.9
1600000,-5825387.947301183,300.6127516098089,59.9
1610000,-5830766.705113683,299.74745316227006,59.9
1620000,-5831842.544957433,300.8375239668596,59.9
1630000,-5829601.361363683,300.0796339146333,59.9
1640000,-5830226.834019933,300.419693698454,59.9
1650000,-5831651.248082433,301.35955537878027,59.9
1660000,-5827451.865269933,300.07309888378586,59.9
1670000,-5830715.271519933,299.7446483998906,59.9
1680000,-5829385.494176183,301.20177317001014,59.9
1690000,-5828177.908238683,299.98107432531236,59.9
1700000,-5830776.404332433,300.2916708960978,59.9
1710000,-5833381.005894933,300.2817464860245,59.9
1720000,-5830675.916051183,301.210979305297,59.9
1730000,-5833094.166051183,300.42486941607126,59.9
1740000,-5829141.552769933,300.5230113740742,59.9
1750000,-5828829.783238683,299.8094946608287,59.9
1760000,-5828107.544957433,300.6711559461425,59.9
1770000,-5830380.291051183,299.74172343838245,59.9
1780000,-5829310.474644933,300.35278227743385,59.9
1790000,-5830854.322301183,300.391452175826,59.9
1800000,-5824972.822301183,300.4380292942991,59.9
1810000,-5826831.220738683,299.52366137102297,59.9
1820000,-5830259.814488683,301.1233588030155,59.9
1830000,-5828969.943394933,300.8211067541033,59.9
1840000,-5830772.626988683,301.07191681092183,59.9
1850000,-5830057.447301183,300.7133840138904,59.9
1860000,-5829749.228551183,300.6690055771381,59.9
1870000,-5830967.537144933,300.54117526282914,59.9
1880000,-5828214.345738683,300.09417921039375,59.9
1890000,-5827352.685582433,301.19530833508134,59.9
1900000,-5831369.412144933,301.0995086693561,59.9
1910000,-5830570.123082433,300.17162217580943,59.9
1920000,-5826764.966832433,300.25281425493637,59.9
1930000,-5827397.798863683,300.3353606247323,59.9
1940000,-5827419.373082433,300.6734455189393,59.9
1950000,-5828288.615269933,300.16386938232716,59.9
1960000,-5830724.451207433,301.23712050747673,59.9
1970000,-5824942.998082433,299.63555662515927,59.9
1980000,-5830383.291051183,301.0189143920021,59.9
1990000,-5832265.084019933,300.58452939163783,59.9
