#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-6068788.6510662995,300.3602101095801,0
70000,-6070248.5573162995,300.17067243403477,71.5
80000,-6073625.8620037995,300.0931315312575,71.5
90000,-6069988.6159100495,300.0785916126546,71.6
100000,-6073461.7838787995,299.98778996280663,71.6
110000,-6071464.2721600495,300.5575494243413,71.6
120000,-6074523.1041912995,300.3164421500867,71.7
130000,-6070482.0729412995,299.8525916473364,71.7
140000,-6069920.2174725495,299.2451708442108,71.7
150000,-6071457.7096600495,300.5234102176642,71.7
160000,-6075049.5573162995,300.8137398805665,71.7
170000,-6072827.6940350495,300.52572780794924,71.7
180000,-6075728.2565350495,300.8661980238362,71.7
190000,-6068557.8034100495,300.3750441102529,71.7
200000,-6071811.0260662995,300.94259055810346,71.7
210000,-6077248.8502850495,300.6165367948235,71.7
220000,-6073345.8346600495,300.0457420022436,71.7
230000,-6074991.0377850495,300.12686763490615,71.7
240000,-6073632.6471600495,300.19539029365245,71.7
250000,-6077571.2252850495,299.46865783929917,71.7
260000,-6070400.0143475495,300.5429945386538,71.7
270000,-6074694.4635662995,300.45985910608385,71.6
280000,-6075647.7213787995,300.2769764113195,71.7
290000,-6076995.1705975495,299.90852786029797,71.7
300000,-6074336.6198162995,300.18256128720145,71.6
310000,-6071635.2604412995,299.76227829523873,71.6
320000,-6078640.6979412995,299.91021790734965,71.6
330000,-6075042.3776287995,299.91511824670556,71.6
340000,-6077094.4557537995,300.7423328964415,71.6
350000,-6075061.8502850495,300.5898829060571,71.6
360000,-6075479.4948162995,301.1065418166602,71.6
370000,-6076917.5338787995,300.0149325858655,71.6
380000,-6074136.0768475495,300.0323136261895,71.6
390000,-6075650.8932537995,299.8182870402509,71.6
400000,-6072116.5221600495,300.54947392536036,71.6
410000,-6076517.6237225495,300.36846410072616,71.6
420000,-6073513.7526287995,300.2156821466298,71.6
430000,-6070157.8190350495,299.659243841394,71.6
440000,-6074192.5885662995,299.35146073623224,71.6
450000,-6074943.9245037995,301.5929995018728,71.6
460000,-6077280.3815350495,300.43963108632965,71.6
470000,-6076415.8190350495,300.87720237138285,71.6
480000,-6075807.4049725495,300.0642061213227,71.6
490000,-6077010.7291912995,300.5180297946462,71.6
500000,-6074619.9948162995,300.67295219132933,71.6
510000,-6071634.5182537995,300.51121374218485,71.6
520000,-6072798.3502850495,300.592246074618,71.6
530000,-6073484.6471600495,300.039224984023,71.6
540000,-6074038.5299725495,299.9170855925242,71.6
550000,-6074273.5729412995,299.0352033633535,71.6
560000,-6077805.0573162995,298.9836362068299,71.6
570000,-6075652.3698162995,299.4718410321251,71.6
580000,-6071672.6627850495,299.92062028505796,71.6
590000,-6074771.6510662995,299.7633938878224,71.6
600000,-6073914.2291912995,300.3176006490856,71.6
610000,-6073376.8073162995,299.80986823927935,71.6
620000,-6076810.0495037995,299.6033192860482,71.6
630000,-6076790.2174725495,300.6020619794656,71.6
640000,-6074071.6159100495,300.2701568990061,71.6
650000,-6077852.9127850495,300.11979147607116,71.6
660000,-6079327.0807537995,300.1417271302982,71.6
670000,-6074936.5807537995,300.1770948168497,71.6
680000,-6077529.3620037995,300.31697353674133,71.6
690000,-6072703.2721600495,300.2712936510663,71.6
700000,-6072432.0221600495,300.08944278457375,71.6
710000,-6070914.3776287995,300.3828701224488,71.6
720000,-6078045.2096600495,300.67806818562065,71.6
730000,-6075864.3932537995,299.8554674349002,71.6
740000,-6072560.0573162995,300.6492379688443,71.6
750000,-6072188.5807537995,299.96057257132173,71.6
760000,-6079294.1237225495,300.15927514220425,71.6
770000,-6077497.4479412995,299.6338750424517,71.6
780000,-6073440.2916912995,299.66438039931506,71.6
790000,-6077105.6823162995,300.2710395777454,71.6
800000,-6072412.1276287995,300.6173671796918,71.6
810000,-6072403.2135662995,299.6867627943722,71.7
820000,-6075974.8620037995,299.58999442916564,71.7
830000,-6074190.4049725495,300.32432893039726,71.7
