#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-11509861.693762377,300.31729501348156,0
150000,-11507934.850012377,300.0169395615843,23.5
200000,-11511608.287512377,299.55687537472295,23.5
250000,-11516318.607824877,300.0350794695223,23.5
300000,-11515674.303137377,299.5735511543209,23.5
350000,-11508548.662512377,299.91038218490957,23.5
400000,-11508067.850012377,300.3187019637659,23.5
450000,-11518775.256262377,300.58030495885095,23.5
500000,-11512984.225012377,300.4040102425602,23.5
550000,-11506021.209387377,299.84841070370794,23.5
600000,-11509614.584387377,301.05878878668625,23.5
650000,-11511412.475012377,300.24559242386147,23.5
700000,-11510217.373449877,300.1382792123899,23.5
750000,-11512805.771887377,300.5275139314888,23.5
800000,-11507936.240637377,300.6194190410629,23.5
850000,-11511029.631262377,299.54814764138024,23.5
900000,-11511620.482824877,299.83037820083285,23.5
950000,-11514524.240637377,300.49907095430234,23.5
1000000,-11509820.803137377,300.4221415849581,23.5
1050000,-11512890.740637377,300.81047645182343,23.5
1100000,-11510974.365637377,300.0711815135442,23.5
1150000,-11506409.256262377,299.7094969700556,23.5
1200000,-11511501.240637377,299.85414502244856,23.5
1250000,-11514502.553137377,299.7720539740773,23.5
1300000,-11513021.818762377,299.84399477854504,23.5
1350000,-11513081.068762377,300.2778118810559,23.5
1400000,-11509681.295324877,300.15062007194877,23.5
1450000,-11512900.029699877,299.77683835751515,23.5
1500000,-11514626.631262377,300.24363174202034,23.5
1550000,-11515502.904699877,300.122167919036,23.5
1600000,-11511339.420324877,300.1658517299052,23.5
1650000,-11515356.834387377,299.99585466831655,23.5
1700000,-11514103.170324877,300.1890556803468,23.5
1750000,-11513658.021887377,300.0110956942855,23.5
1800000,-11513360.053137377,300.6790266048953,23.5
1850000,-11519570.271887377,300.40185573073495,23.5
1900000,-11512330.357824877,300.3098273920921,23.5
1950000,-11509301.248449877,300.6900162388009,23.5
2000000,-11511303.709387377,300.14924577165664,23.5
2050000,-11504518.834387377,299.885638636448,23.5
2100000,-11509518.287512377,300.78113871425285,23.5
2150000,-11514353.928137377,300.67425177251005,23.5
2200000,-11509461.060949877,299.8810220906967,23.5
2250000,-11518891.787512377,300.01670163460847,23.5
2300000,-11514184.928137377,300.07377908575614,23.5
2350000,-11507738.623449877,300.0268132575896,23.5
2400000,-11500929.967199877,300.58622152879394,23.5
2450000,-11508719.756262377,300.21095646684694,23.5
2500000,-11512643.803137377,300.4085536169926,23.5
2550000,-11511014.756262377,300.44622861728203,23.5
2600000,-11518035.560949877,300.20645723344524,23.5
2650000,-11510850.545324877,301.0704303973586,23.5
2700000,-11512828.857824877,300.76133900962213,23.5
2750000,-11512893.975012377,300.42020578293136,23.5
2800000,-11515541.850012377,300.46239452012827,23.5
2850000,-11515370.975012377,300.26284880259215,23.5
2900000,-11514399.967199877,300.4654671217472,23.5
2950000,-11513006.904699877,300.2882732436612,23.5
3000000,-11509182.818762377,300.393014389022,23.5
3050000,-11509711.006262377,300.3485339838458,23.5
3100000,-11511584.834387377,300.36075930601265,23.5
3150000,-11510864.146887377,300.87528406225124,23.5
3200000,-11511413.068762377,299.76991439136077,23.5
3250000,-11514530.264074877,300.237319954188,23.5
3300000,-11513984.373449877,299.9289209925978,23.5
3350000,-11511894.029699877,300.0707904550576,23.5
3400000,-11512967.764074877,300.10911358326393,23.5
3450000,-11513912.709387377,300.67530538127744,23.5
3500000,-11511831.303137377,300.2709671606193,23.5
3550000,-11512832.990637377,300.42408758480417,23.5
3600000,-11506192.834387377,299.47436384743634,23.5
3650000,-11505158.412512377,300.1892097447626,23.5
3700000,-11518280.146887377,300.9875888037017,23.5
3750000,-11516003.951574877,300.28443413701217,23.5
3800000,-11513971.506262377,300.7136644452355,23.5
3850000,-11514782.428137377,300.8637438828321,23.5
3900000,-11512816.021887377,299.4643665841221,23.5
3950000,-11513931.850012377,300.2958508115012,23.5
4000000,-11512404.225012377,300.0055960306055,23.5
4050000,-11510323.506262377,299.6937047075159,23.5
4100000,-11505111.365637377,300.05677622063456,23.5
4150000,-11509529.857824877,300.9046981680866,23.5
4200000,-11515032.592199877,299.89626982831794,23.5
4250000,-11509561.537512377,300.68180791494837,23.5
4300000,-11514388.990637377,299.98672415929957,23.5
4350000,-11507294.154699877,300.22250051930337,23.5
4400000,-11514005.959387377,300.63254839589325,23.5
4450000,-11509990.373449877,299.6588054704427,23.5
4500000,-11511689.170324877,300.55638533311503,23.5
4550000,-11512844.795324877,300.83345925459656,23.5
4600000,-11515940.146887377,300.91242709651135,23.5
4650000,-11512951.623449877,300.5450912814628,23.5
4700000,-11514159.443762377,300.68343422168283,23.5
4750000,-11511463.803137377,300.0677642248412,23.5
4800000,-11507611.740637377,300.2951782547763,23.5
4850000,-11509619.834387377,300.23376190258205,23.5
4900000,-11512021.889074877,300.0424856558888,23.5
4950000,-11516213.998449877,299.85888612706515,23.5
5000000,-11509822.100012377,300.6808716109567,23.5
5050000,-11516043.053137377,300.84008533383627,23.5
5100000,-11514681.100012377,300.2055338883789,23.5
5150000,-11514834.115637377,300.3924450003955,23.5
5200000,-11511513.834387377,300.22501456897857,23.5
5250000,-11514618.967199877,299.8793512219622,23.5
5300000,-11510939.935949877,300.20528730891806,23.5
5350000,-11509369.685949877,299.566908715877,23.5
5400000,-11511734.896887377,299.96355723525954,23.5
5450000,-11510753.975012377,300.4536044505289,23.5
5500000,-11519281.428137377,300.2093045129968,23.5
5550000,-11511546.732824877,300.3550927439379,23.5
5600000,-11514435.092199877,299.80041949273055,23.5
5650000,-11509857.475012377,300.4077644139407,23.5
5700000,-11509642.576574877,300.86104732584266,23.5
5750000,-11511123.717199877,300.1795119408364,23.5
5800000,-11509184.053137377,299.9213927026576,23.5
5850000,-11510401.092199877,300.3509124380208,23.5
5900000,-11513161.756262377,300.4087876684268,23.5
5950000,-11514668.842199877,301.46268541300145,23.5
6000000,-11517930.889074877,300.15400358537875,23.5
6050000,-11516821.725012377,300.29403725621387,23.5
6100000,-11512064.318762377,300.5950602485281,23.5
6150000,-11512781.967199877,300.54197893635404,23.5
6200000,-11513659.326574877,299.8364777825836,23.5
6250000,-11514695.506262377,300.682092815284,23.5
6300000,-11506920.146887377,300.51352285981744,23.5
6350000,-11513427.053137377,300.7924401369028,23.5
6400000,-11509445.803137377,300.36378871862956,23.5
