#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-6215981.234610051,300.601093485938,0
70000,-6215685.851797551,300.2580007327468,32.2
80000,-6221519.500235051,300.7047651372894,32.2
90000,-6217871.843985051,300.05746992721157,32.2
100000,-6216716.359610051,301.22190173622334,32.2
110000,-6218092.515860051,300.1980982737047,32.2
120000,-6216386.054922551,301.0928988982875,32.2
130000,-6214778.664297551,300.00449609254144,32.2
140000,-6220474.343985051,299.72298204097734,32.2
150000,-6215377.531485051,300.5517784924429,32.2
160000,-6219359.023672551,299.8684052830708,32.2
170000,-6216968.133047551,299.9939047590666,32.2
180000,-6222462.367422551,300.13147428165735,32.2
190000,-6214679.258047551,300.2527462300404,32.2
200000,-6217159.320547551,299.7654519708502,32.2
210000,-6216240.758047551,299.74961416473786,32.2
220000,-6217393.297110051,299.7753990347417,32.2
230000,-6211632.843985051,300.4937416295965,32.2
240000,-6217518.164297551,300.73115344627615,32.2
250000,-6213254.000235051,300.03125168993824,32.2
260000,-6214960.898672551,300.10303980280486,32.2
270000,-6211589.039297551,300.70288070587657,32.2
280000,-6215819.133047551,299.9067937651839,32.2
290000,-6220017.195547551,300.4100177353895,32.2
300000,-6218416.562735051,300.39180247893785,32.2
310000,-6222221.078360051,300.9999867458286,32.2
320000,-6215256.437735051,299.1068686490446,32.2
330000,-6214143.687735051,300.6496911566805,32.2
340000,-6218128.984610051,300.5363477367299,32.2
350000,-6218434.336172551,300.4600850121926,32.2
360000,-6215963.281485051,298.9672054653251,32.2
370000,-6218938.133047551,300.79344438286137,32.2
380000,-6216734.601797551,300.57762223668107,32.2
390000,-6213055.484610051,300.23506422962413,32.2
400000,-6218004.406485051,301.0289293496218,32.2
410000,-6221539.609610051,300.0347476763198,32.2
420000,-6213125.492422551,299.85973533371885,32.2
430000,-6216831.000235051,301.0270081881786,32.2
440000,-6216704.328360051,301.0120505001446,32.2
450000,-6222891.383047551,300.25635570235687,32.2
460000,-6213336.914297551,300.1500601522328,32.2
470000,-6213296.672110051,300.19883567062715,32.2
480000,-6213162.968985051,300.3813728243394,32.2
490000,-6218807.937735051,299.3961908704913,32.2
500000,-6215180.281485051,300.40039733789854,32.2
510000,-6213769.890860051,299.67821143650974,32.2
520000,-6217137.625235051,299.93761568867137,32.2
530000,-6218486.468985051,300.50232669882024,32.2
540000,-6217478.859610051,300.4638725710126,32.2
550000,-6216641.617422551,300.36908114749514,32.2
560000,-6213305.054922551,300.59491567509014,32.2
570000,-6216287.445547551,300.53065690885927,32.2
580000,-6218885.633047551,299.6205025434261,32.2
590000,-6219715.562735051,300.3548384712314,32.2
600000,-6215877.039297551,299.267262780668,32.2
610000,-6215841.781485051,300.8206364899515,32.2
620000,-6217023.508047551,299.92044305271867,32.2
630000,-6212702.656485051,300.44975678908935,32.2
640000,-6217979.117422551,300.1042326768204,32.2
650000,-6216788.726797551,299.72435207528207,32.2
660000,-6218531.195547551,300.0926675419582,32.2
670000,-6219819.609610051,300.734166886461,32.2
680000,-6212087.609610051,301.33565095194086,32.2
690000,-6215883.468985051,300.4908599578519,32.2
700000,-6212092.203360051,301.0189679465959,32.2
710000,-6217818.883047551,300.5598678959848,32.2
720000,-6219991.039297551,300.2694108910292,32.2
730000,-6215262.242422551,300.79839847158064,32.2
740000,-6210620.937735051,301.39154056451326,32.2
750000,-6216619.109610051,300.30610228080917,32.2
760000,-6212709.984610051,300.3068685942388,32.2
770000,-6218050.289297551,300.40651861091357,32.2
780000,-6217205.414297551,300.84865358838346,32.2
790000,-6216467.359610051,300.6278474355446,32.2
800000,-6214383.195547551,300.3049943830266,32.2
810000,-6213006.062735051,300.58090706578,32.2
820000,-6213168.109610051,299.6551134560444,32.2
830000,-6217320.875235051,299.81685681616375,32.2
840000,-6215906.672110051,299.8071772281503,32.2
850000,-6218844.742422551,300.9246676476465,32.2
860000,-6224579.750235051,300.69602295288536,32.2
870000,-6214476.797110051,301.276186412138,32.2
880000,-6218769.836172551,300.7041909759488,32.2
890000,-6216869.781485051,301.3577600049633,32.2
900000,-6214325.672110051,300.43864182244863,32.2
910000,-6214518.101797551,300.22765577802704,32.2
920000,-6216378.929922551,300.2073715923442,32.2
930000,-6214414.218985051,300.9658903965151,32.2
940000,-6218426.929922551,299.9049229790311,32.2
950000,-6220023.523672551,300.63925995040074,32.2
960000,-6218016.633047551,300.4356273094873,32.2
970000,-6216440.351797551,299.4927487843284,32.2
980000,-6211225.492422551,300.14682274106895,32.2
990000,-6220975.758047551,300.62053857864515,32.2
1000000,-6218777.148672551,299.324489053553,32.2
1010000,-6218628.101797551,300.6585612681706,32.2
1020000,-6215583.695547551,301.46048559370644,32.2
1030000,-6216066.078360051,301.077729652256,32.2
1040000,-6218414.984610051,300.16965641852397,32.2
1050000,-6213590.093985051,298.57183054664927,32.2
1060000,-6219952.179922551,300.2104314087588,32.2
1070000,-6216900.523672551,300.53168252119474,32.2
1080000,-6215360.234610051,300.73178005155387,32.2
1090000,-6215539.437735051,299.8241034897211,32.2
1100000,-6218105.593985051,300.77145167175667,32.2
1110000,-6218799.383047551,299.6319717799695,32.2
1120000,-6213242.867422551,300.39932409923307,32.2
1130000,-6220554.140860051,299.7432732501507,32.2
1140000,-6213550.054922551,300.44295523092643,32.1
1150000,-6220404.187735051,300.9265471615541,32.1
1160000,-6214922.351797551,300.53979899626705,32.1
1170000,-6215833.062735051,300.1062235711573,32.1
1180000,-6213674.109610051,299.6708225301268,32.1
1190000,-6215314.133047551,300.5663852242575,32.1
1200000,-6215508.093985051,300.0739813833155,32.1
1210000,-6217460.023672551,300.52721253578227,32.1
1220000,-6214540.008047551,300.4625770825227,32.1
1230000,-6217092.968985051,300.96942173545085,32.1
1240000,-6219409.836172551,299.82150563833795,32.1
1250000,-6219061.570547551,300.4193961908904,32.1
1260000,-6217656.617422551,300.04034298001847,32.1
1270000,-6215681.273672551,299.514150858716,32.1
1280000,-6216824.523672551,300.0167387892731,32.1
1290000,-6220186.328360051,299.7675645207526,32.1
1300000,-6219678.828360051,300.735228630145,32.1
1310000,-6218518.172110051,300.52070082083816,32.1
1320000,-6219778.875235051,299.4194526494177,32.1
1330000,-6216909.500235051,299.9106787351887,32.1
1340000,-6214699.304922551,300.1736686544,32.1
1350000,-6216082.672110051,300.2727749166906,32.1
1360000,-6214712.328360051,300.6933354495188,32.1
1370000,-6217953.726797551,300.0359628247158,32.1
1380000,-6219999.601797551,299.9125253520309,32.1
1390000,-6216302.320547551,299.7696303644014,32.1
1400000,-6219441.711172551,299.8106672131774,32.1
1410000,-6218605.812735051,299.25584738501016,32.1
1420000,-6218012.343985051,300.16558986456425,32.1
1430000,-6221030.468985051,299.3658578863392,32.1
1440000,-6217656.586172551,301.08169812943447,32.1
1450000,-6216787.445547551,299.495805666907,32.1
1460000,-6219150.140860051,300.06348931584904,32.1
1470000,-6218135.804922551,300.0446762493008,32.1
1480000,-6219253.859610051,300.6481286963565,32.1
1490000,-6217514.297110051,300.3325879224508,32.1
1500000,-6219747.297110051,301.0069922574774,32.1
1510000,-6220807.687735051,299.9319258473909,32.1
1520000,-6218596.547110051,299.92559636936227,32.1
1530000,-6223407.789297551,300.4452595647469,32.1
1540000,-6217246.328360051,300.38183209403337,32.1
1550000,-6221393.195547551,299.98848157719556,32.1
1560000,-6216533.250235051,300.27671485229774,32.1
1570000,-6218905.343985051,299.9493303974455,32.1
1580000,-6216844.375235051,300.99266627578487,32.1
1590000,-6212517.211172551,301.001165357937,32.1
1600000,-6213447.625235051,300.69578936022134,32.1
1610000,-6216913.273672551,300.0636128117484,32.1
1620000,-6221817.367422551,301.00433582899575,32.1
1630000,-6219172.633047551,300.4808888054223,32.1
1640000,-6220250.687735051,299.71274972341223,32.1
1650000,-6215609.656485051,300.45740119934425,32.1
1660000,-6216065.164297551,301.23101710177366,32.1
1670000,-6220412.562735051,300.64466604627864,32.1
1680000,-6216869.109610051,300.6518081343689,32.1
1690000,-6215384.078360051,300.3632732412359,32.1
1700000,-6215384.718985051,298.7977632843673,32.1
1710000,-6214689.203360051,301.2144524706966,32.1
1720000,-6217380.711172551,300.131420873712,32.1
1730000,-6213331.750235051,299.19315473483226,32.1
1740000,-6218630.367422551,301.0505185756679,32.1
1750000,-6217528.875235051,300.4966637032827,32.1
1760000,-6217009.101797551,300.04788231738013,32.1
1770000,-6216657.953360051,300.5747571035532,32.1
1780000,-6211407.812735051,299.72926151011427,32.1
1790000,-6217388.047110051,299.7121259026422,32.1
1800000,-6216784.562735051,299.87242622017106,32.1
1810000,-6212267.679922551,300.486542790983,32.1
1820000,-6215614.742422551,299.9180972150597,32.1
1830000,-6216355.297110051,300.2808691898131,32.1
1840000,-6216773.383047551,300.80310139506184,32.1
1850000,-6213151.937735051,299.86699674959885,32.1
1860000,-6217457.258047551,300.2136372146428,32.1
1870000,-6215301.679922551,300.4231935430516,32.1
1880000,-6213579.047110051,299.8950564413699,32.1
1890000,-6218715.687735051,299.21135367202106,32.1
1900000,-6213234.804922551,298.6490226943372,32.1
1910000,-6216045.265860051,299.6273520647147,32.1
1920000,-6215932.539297551,301.13526026688515,32.1
1930000,-6220638.984610051,300.2232361511405,32.1
1940000,-6218760.851797551,300.4228152286167,32.1
1950000,-6219262.320547551,299.50212758383327,32.1
1960000,-6213353.961172551,301.2069248629887,32.1
1970000,-6219555.914297551,299.8231482403004,32.1
1980000,-6216892.812735051,300.43090171572544,32.1
1990000,-6215908.859610051,299.14299013119677,32.1
2000000,-6218485.789297551,300.49698986853673,32.1
2010000,-6215770.711172551,300.1903399209105,32.1
2020000,-6217634.711172551,300.04050386489024,32.1
2030000,-6214308.515860051,300.66008091985543,32.1
2040000,-6213344.226797551,300.59265164188537,32.1
2050000,-6219482.515860051,299.8923739106666,32.1
2060000,-6219289.867422551,300.4721751492205,32.1
2070000,-6212499.218985051,299.50382289838757,32.1
2080000,-6217791.883047551,301.48669577377655,32.1
2090000,-6214182.304922551,299.8377835174481,32.1
2100000,-6215565.515860051,300.1282351679271,32.1
2110000,-6222044.226797551,299.6286007765125,32.1
2120000,-6217393.304922551,300.4109363530029,32.1
2130000,-6219815.367422551,300.3777940399194,32.1
2140000,-6220060.547110051,299.9237874737982,32.1
2150000,-6220557.070547551,300.81902243432876,32.1
2160000,-6216084.445547551,301.05309820259134,32.1
2170000,-6216250.593985051,299.8611867630641,32.1
2180000,-6218512.351797551,300.01121608995476,32.1
2190000,-6216882.687735051,300.16562251289304,32.1
2200000,-6221914.664297551,300.5462613576097,32.1
2210000,-6218649.343985051,299.84290355789466,32.1
2220000,-6215247.133047551,300.6902699788405,32.1
2230000,-6218223.617422551,300.73331618541994,32.1
2240000,-6218699.273672551,300.85518950358073,32.1
2250000,-6220794.492422551,299.63593953614685,32.1
2260000,-6214098.789297551,300.55636028819475,32.1
2270000,-6215501.203360051,300.1962608994937,32.1
2280000,-6218725.953360051,299.7033928757556,32.1
2290000,-6219625.218985051,300.298760532521,32.1
2300000,-6215440.922110051,300.5707387338286,32.1
2310000,-6218652.133047551,299.8270553378194,32.1
2320000,-6221345.031485051,300.0828877703053,32.1
2330000,-6221081.258047551,300.40509788690304,32.1
2340000,-6219540.117422551,300.4960418883767,32.1
2350000,-6213292.797110051,300.4502156904678,32.1
2360000,-6217892.211172551,299.9597297014282,32.1
2370000,-6215096.383047551,300.1247108182171,32.1
2380000,-6218705.203360051,298.9007261581016,32.1
2390000,-6218330.328360051,299.9073514413662,32.1
2400000,-6215561.609610051,299.7682480736689,32.1
2410000,-6220630.297110051,300.8479783404065,32.1
2420000,-6217020.781485051,299.658583068032,32.1
2430000,-6219678.758047551,300.1317809463693,32.1
2440000,-6214488.203360051,300.7396417545587,32.1
2450000,-6217845.781485051,299.8715127834423,32.1
2460000,-6218678.008047551,301.2739083569241,32.1
2470000,-6219967.562735051,300.4258798155807,32.1
2480000,-6218002.937735051,300.8658199417004,32.1
2490000,-6212781.836172551,300.7957272130958,32.1
2500000,-6214218.468985051,300.71361480313715,32.1
2510000,-6214434.703360051,300.62513516818257,32.1
2520000,-6215678.492422551,300.5013561962442,32.1
2530000,-6218846.672110051,299.3409117851731,32.1
2540000,-6215047.718985051,300.87539390227784,32.1
2550000,-6215402.976797551,301.03031739723605,32.1
2560000,-6218037.304922551,300.63505406443505,32.1
2570000,-6216659.476797551,299.9632468611922,32.1
2580000,-6212709.476797551,300.6472622652534,32.1
2590000,-6220359.148672551,300.8060717511255,32.1
2600000,-6216705.578360051,300.3795993395998,32.1
2610000,-6215504.383047551,299.84461579347595,32.1
2620000,-6223029.047110051,300.33316398923114,32.1
2630000,-6221125.265860051,300.63740668847674,32.1
2640000,-6218702.593985051,301.2755980402378,32.1
2650000,-6216647.015860051,299.91809622376695,32.1
2660000,-6221322.648672551,300.0142498204915,32.1
2670000,-6215677.968985051,300.0593179947706,32.1
2680000,-6218246.109610051,300.9750907148319,32.1
2690000,-6216303.672110051,299.260139898862,32.1
2700000,-6216627.039297551,300.307495136647,32.1
2710000,-6216190.054922551,300.0163305446729,32.1
2720000,-6215134.726797551,300.56839166218947,32.1
2730000,-6215029.125235051,300.6056090910756,32.1
2740000,-6219721.117422551,299.5850728324422,32.1
2750000,-6214495.383047551,300.88669290618,32.1
2760000,-6213559.492422551,300.28344680230754,32.1
2770000,-6219497.906485051,299.59341828894094,32.1
2780000,-6213318.625235051,300.19034076968694,32.1
2790000,-6217950.289297551,300.057079040494,32.1
2800000,-6217341.242422551,300.3184710428834,32.1
2810000,-6219062.812735051,299.62581176049946,32.1
2820000,-6217934.734610051,300.4859632182612,32.1
2830000,-6218535.836172551,300.38117951744033,32.1
2840000,-6216832.547110051,299.241401233892,32.1
2850000,-6216730.054922551,300.0686040504401,32.1
2860000,-6216016.664297551,299.98604312539504,32.1
2870000,-6216692.078360051,300.53998843843954,32.1
2880000,-6217377.273672551,299.9630657930612,32.1
2890000,-6217490.179922551,300.37239136237486,32.1
2900000,-6219995.656485051,300.555941161658,32.1
2910000,-6215347.039297551,300.7783542927583,32.1
2920000,-6219435.406485051,301.31200272579485,32.1
2930000,-6218641.922110051,299.5181841468804,32.1
2940000,-6219666.156485051,300.08612364335306,32.1
2950000,-6219150.867422551,301.3923482733339,32.1
2960000,-6220218.117422551,300.49214067965545,32.1
2970000,-6220987.867422551,300.0094707547205,32.1
2980000,-6218888.304922551,299.70571714118563,32.1
2990000,-6217584.890860051,300.482786240967,32.1
3000000,-6217677.922110051,299.73088195285766,32.1
3010000,-6215537.101797551,300.3113409527099,32.1
3020000,-6216811.828360051,300.0202110796096,32.1
3030000,-6218096.539297551,299.2485350052017,32.1
3040000,-6216608.570547551,299.9670100931742,32.1
3050000,-6215454.070547551,300.56020282727,32.1
3060000,-6218112.961172551,300.3701605459154,32.1
3070000,-6219803.351797551,300.09276679275854,32.1
3080000,-6212407.156485051,300.70271649094957,32.1
3090000,-6216232.140860051,300.4809645774388,32.1
3100000,-6216472.273672551,299.92868827871,32.1
3110000,-6217983.648672551,301.2161892329186,32.1
3120000,-6217696.695547551,300.432794593767,32.1
3130000,-6216230.773672551,300.1954575873386,32.1
3140000,-6222694.898672551,299.6236399512713,32.1
3150000,-6217452.476797551,300.3523498723678,32.1
3160000,-6213257.953360051,300.2070762295445,32.1
3170000,-6218182.453360051,300.8496049138564,32.1
3180000,-6217582.414297551,300.0662207148669,32.1
3190000,-6218984.195547551,299.82186860037416,32.1
3200000,-6216098.765860051,301.0677082138258,32.1
3210000,-6214752.000235051,300.7109295003643,32.1
3220000,-6215942.633047551,300.2447257367115,32.1
3230000,-6220396.570547551,299.7017756436828,32.1
3240000,-6212933.062735051,300.5876900882628,32.1
3250000,-6220175.953360051,300.63563251115994,32.1
3260000,-6219636.484610051,300.020773315768,32.1
3270000,-6212084.992422551,300.77480804353115,32.1
3280000,-6218934.976797551,299.33937212052615,32.1
3290000,-6216161.226797551,299.56074673743615,32.1
3300000,-6216722.797110051,300.19652939866535,32.1
3310000,-6219505.968985051,300.11881238288277,32.1
