cell_type	gene
Purkinje	CALB1
Purkinje	PVALB
Purkinje	PCP2
Purkinje	CALB2
Purkinje	CA8
Purkinje	ITPR1
Purkinje	PCP4
Purkinje	HOMER3
Purkinje	CBLN1
Purkinje	CBLN3
Purkinje	GRID2
Granule	GABRA6
Granule	NEUROD1
Granule	RBFOX3
Granule	ETV1
Granule	ATOH1
Granule	ZIC1
Granule	ZIC2
Granule	CBLN4
Granule	GRIA2
Granule	GRM4
MLI	SORCS3
MLI	PVALB
MLI	CARTPT
MLI	KIT
MLI	SST
BergmannGlia	GDF10
BergmannGlia	AQP4
BergmannGlia	S100B
BergmannGlia	SLC1A3
BergmannGlia	GFAP
BergmannGlia	HOPX
DCN	SLC17A6
DCN	ROBO3
DCN	LHX9
DCN	MEIS2
Afferents	VGLUT1
Afferents	VGLUT2
Afferents	GRIK2
