accession	uid	taxon	n_samples	title	discovered_via	tissue_cerebellum	disease_sma	has_sma_contrast	verdict	reject_reason
GSE174841	200174841	Mus musculus	18	Examining Pathogenesis in Genome Instability Associated Neurodegenerative Mouse Model [polyA-RNA-seq]	(spinal muscular atrophy[All Fields] OR SMN1[All Fields] OR SMN2[All Fields]) AND (cerebel	True	True	False	ALS_CONTAMINATED	ALS study, not SMA
GSE117217	200117217	Drosophila melanogaster	14423	Remapping the SRA: Drosophila melanogaster RNA-Seq data from the Sequence Read Archive	(spinal muscular atrophy OR SMN deficiency OR Smn1) AND brain AND expression profiling by 	False	False	False	NEITHER	neither cerebellum tissue nor SMA contrast
GSE168622	200168622	Homo sapiens	5	Mutations in GEMIN5 cause a neurodevelopmental ataxia syndrome by a loss-of-1function mechanism	(spinal muscular atrophy[All Fields] OR SMN1[All Fields] OR SMN2[All Fields]) AND (cerebel	True	True	False	NEITHER	neither cerebellum tissue nor SMA contrast
GSE19090	200019090	Homo sapiens	182	Exon arrays of ENCODE tier 1, tier 2 and tier 3 cell types	SMA[All Fields] AND cerebellum[All Fields] AND expression[All Fields]	True	True	False	NEITHER	neither cerebellum tissue nor SMA contrast
GSE289197	200289197	Homo sapiens	79	Transcript data from a severe malaria study	(spinal muscular atrophy OR SMN deficiency OR Smn1) AND brain AND expression profiling by 	False	False	False	NEITHER	neither cerebellum tissue nor SMA contrast
GSE30263	200030263	Homo sapiens	174	CTCF Binding Sites by ChIP-seq from ENCODE/University of Washington	SMA[All Fields] AND cerebellum[All Fields] AND expression[All Fields]	False	False	False	NEITHER	neither cerebellum tissue nor SMA contrast
GSE35583	200035583	Homo sapiens	171	Histone Modifications by ChIP-seq from ENCODE/University of Washington	SMA adult type 3 cerebellum	True	True	False	NEITHER	neither cerebellum tissue nor SMA contrast
GSE54418	200054418	Mus musculus	48	Dysregulated Expression of Lipid Storage and Membrane Dynamics Factors  in Tia1 Knock-Out Mouse Nervous Tissue	SMA[All Fields] AND cerebellum[All Fields] AND expression[All Fields]	True	True	False	NEITHER	neither cerebellum tissue nor SMA contrast
GSE102204	200102204	Mus musculus	20	Transcriptome and translatome profiling from brains of  a mouse model of severe SMA	(spinal muscular atrophy OR SMN deficiency OR Smn1) AND brain AND expression profiling by 	False	True	False	SMA_WRONG_TISSUE	SMA contrast but no cerebellum tissue
GSE115706	200115706	Mus musculus	168	RNAseq of motor neurons and neurons with differential vulnerability isolated from a mouse model of spinal muscular atrophy using laser capture microdissection	(spinal muscular atrophy OR SMN deficiency OR Smn1) AND brain AND expression profiling by 	False	True	True	SMA_WRONG_TISSUE	SMA contrast but no cerebellum tissue
GSE143161	200143161	Mus musculus	30	The homeobox transcription factor MNX1 regulates the expression of many non-MN-specific neuronal genes in motor neurons	(spinal muscular atrophy OR SMN deficiency OR Smn1) AND brain AND expression profiling by 	False	True	False	SMA_WRONG_TISSUE	SMA contrast but no cerebellum tissue
GSE197638	200197638	Mus musculus	12	Plastin 3 rescues deficient TrkB/BDNF signaling and protects from dysregulations in Ca2+ homeostasis in SMA mouse models	(spinal muscular atrophy OR SMN deficiency OR Smn1) AND brain AND expression profiling by 	False	True	True	SMA_WRONG_TISSUE	SMA contrast but no cerebellum tissue
GSE232391	200232391	Homo sapiens	47	Cell-mediated cytotoxicity surrounding the brain in spinal muscular atrophy	(spinal muscular atrophy OR SMN deficiency OR Smn1) AND brain AND expression profiling by 	False	True	False	SMA_WRONG_TISSUE	SMA contrast but no cerebellum tissue
GSE290979	200290979	Homo sapiens	31	Targeted Antisense Oligonucleotide Treatment Rescues Developmental Alterations in Spinal Muscular Atrophy Organoids [bulk RNA-seq]	(spinal muscular atrophy OR SMN deficiency OR Smn1) AND brain AND expression profiling by 	False	True	True	SMA_WRONG_TISSUE	SMA contrast but no cerebellum tissue
GSE290980	200290980	Homo sapiens	8	Targeted Antisense Oligonucleotide Treatment Rescues Developmental Alterations in Spinal Muscular Atrophy Organoids [scRNA-seq]	(spinal muscular atrophy OR SMN deficiency OR Smn1) AND brain AND expression profiling by 	False	True	True	SMA_WRONG_TISSUE	SMA contrast but no cerebellum tissue
GSE69175	200069175	Homo sapiens	4	Selective Death in Spinal Muscular Atrophy: Genome-Wide RNA-Seq Using Purified Patient-Derived Motor Neurons	(spinal muscular atrophy OR SMN deficiency OR Smn1) AND brain AND expression profiling by 	False	True	False	SMA_WRONG_TISSUE	SMA contrast but no cerebellum tissue
