gene	pubmed_sma	pubmed_cerebellum	pubmed_any	sma_novelty
PVALB	0	9	262	NOVEL
CALB1	1	88	917	UNDER
PCP2	0	104	216	NOVEL
CALB2	9	66	1384	ESTABLISHED
CA8	0	16	199	NOVEL
ITPR1	0	115	1005	NOVEL
PCP4	0	25	169	NOVEL
HOMER3	0	10	84	NOVEL
CBLN1	0	66	144	NOVEL
CBLN3	0	9	22	NOVEL
GRID2	0	41	145	NOVEL
GABRA6	0	34	156	NOVEL
NEUROD1	2	31	1334	UNDER
RBFOX3	0	7	350	NOVEL
ETV1	2	8	544	UNDER
ATOH1	0	162	854	NOVEL
ZIC1	1	74	366	UNDER
ZIC2	0	30	381	NOVEL
CBLN4	0	14	51	NOVEL
GRIA2	1	4	267	UNDER
GRM4	0	1	87	NOVEL
SORCS3	0	1	65	NOVEL
CARTPT	0	0	103	NOVEL
KIT	828	78	107487	ESTABLISHED
SST	40	32	8993	ESTABLISHED
