cell_type	dataset	n_markers_total	n_markers_detected	mean_log2FC
Afferents	GSE290979_organoid	1	1	-0.1050517569802065
Afferents	GSE302774_Hb9-iMN	1	1	-0.498911942616189
Afferents	GSE302774_iN	1	1	-0.818207975131637
Afferents	GSE87281_SH-SY5Y	1	1	-0.0562569486808763
Afferents	GSE87281_hiPSC-MN	1	1	0.1407866093946769
BergmannGlia	GSE290979_organoid	6	6	-0.6420322498509075
BergmannGlia	GSE302774_Hb9-iMN	4	4	-0.1430993093037748
BergmannGlia	GSE302774_iN	2	2	-0.5918789761785325
BergmannGlia	GSE87281_SH-SY5Y	6	3	0.9000965846054548
BergmannGlia	GSE87281_hiPSC-MN	6	5	-0.03879293251263418
DCN	GSE290979_organoid	3	3	-0.2397026502658293
DCN	GSE302774_Hb9-iMN	3	3	-0.2742481355212982
DCN	GSE302774_iN	4	4	-0.4725406913188545
DCN	GSE87281_SH-SY5Y	4	3	0.09930701306552474
DCN	GSE87281_hiPSC-MN	4	4	0.08380995609412278
Granule	GSE290979_organoid	8	8	-0.29866938947496763
Granule	GSE302774_Hb9-iMN	5	5	0.15840569128667992
Granule	GSE302774_iN	8	8	-0.21530448460061766
Granule	GSE87281_SH-SY5Y	10	7	-0.12329313713518249
Granule	GSE87281_hiPSC-MN	10	8	0.1642524539467222
MLI	GSE290979_organoid	4	4	-0.21026302053726398
MLI	GSE302774_Hb9-iMN	4	4	-0.5279457643517439
MLI	GSE302774_iN	5	5	-1.1246219588435196
MLI	GSE87281_SH-SY5Y	5	3	0.8166734852492912
MLI	GSE87281_hiPSC-MN	5	5	0.39602698458629365
Purkinje	GSE290979_organoid	10	10	-0.6379374110171455
Purkinje	GSE302774_Hb9-iMN	9	9	-0.2770264111376723
Purkinje	GSE302774_iN	10	10	0.07082450056812599
Purkinje	GSE87281_SH-SY5Y	11	7	-0.2822149173288261
Purkinje	GSE87281_hiPSC-MN	11	10	0.005315392253316453
